index1	index2	LSA	lag	p.valueBound
Otu0003	Otu0014	0.766388	0	0
Otu0003	Otu1194	0.802573	0	0
Otu0003	Otu3972	0.790849	0	0
Otu0007	Otu0879	0.753903	0	0
Otu0007	Otu1107	0.757756	0	0
Otu0007	Otu1928	0.809552	0	0
Otu0014	Otu0879	0.754242	0	0
Otu0014	Otu3972	0.923587	0	0
Otu0015	Otu3065	0.75043	0	0
Otu0021	Otu0042	0.848794	0	0
Otu0021	Otu0115	0.836414	0	0
Otu0021	Otu0118	0.920868	0	0
Otu0021	Otu2112	0.835981	0	0
Otu0021	Otu3391	0.845955	0	0
Otu0021	Otu4796	0.798869	0	0
Otu0029	Otu0059	0.831312	0	0
Otu0029	Otu0081	0.794379	0	0
Otu0029	Otu0370	0.815572	0	0
Otu0029	Otu1035	0.77365	0	0
Otu0029	Otu1176	0.821193	0	0
Otu0042	Otu0115	0.826556	0	0
Otu0042	Otu0118	0.847648	0	0
Otu0042	Otu3391	0.786886	0	0
Otu0042	Otu4796	0.834293	0	0
Otu0042	Otu6240	0.783291	0	0
Otu0044	Otu1202	0.835271	0	0
Otu0045	Otu0466	0.779952	0	0
Otu0045	Otu0752	0.783031	0	0
Otu0059	Otu0081	0.856071	0	0
Otu0059	Otu0331	0.887679	0	0
Otu0059	Otu0370	0.764417	0	0
Otu0059	Otu1035	0.845442	0	0
Otu0059	Otu1176	0.870076	0	0
Otu0069	Otu4605	0.789284	0	0
Otu0074	Otu0180	0.761618	0	0
Otu0074	Otu1928	0.784585	0	0
Otu0080	Otu0752	0.825711	0	0
Otu0080	Otu1113	0.812552	0	0
Otu0080	Otu1415	0.805671	0	0
Otu0080	Otu2367	0.751252	0	0
Otu0081	Otu0331	0.784694	0	0
Otu0081	Otu0370	0.767593	0	0
Otu0081	Otu1176	0.778029	0	0
Otu0115	Otu0118	0.90561	0	0
Otu0115	Otu0258	0.783024	0	0
Otu0115	Otu1755	0.791669	0	0
Otu0115	Otu2112	0.886998	0	0
Otu0115	Otu4796	0.915103	0	0
Otu0115	Otu6240	0.864216	0	0
Otu0118	Otu0258	0.847749	0	0
Otu0118	Otu1755	0.828764	0	0
Otu0118	Otu2112	0.811969	0	0
Otu0118	Otu3391	0.841327	0	0
Otu0118	Otu4796	0.92589	0	0
Otu0118	Otu5128	0.788213	0	0
Otu0118	Otu6240	0.84315	0	0
Otu0122	Otu1583	0.810937	0	0
Otu0143	Otu0424	0.759509	0	0
Otu0143	Otu2043	0.838663	0	0
Otu0147	Otu1823	0.79487	0	0
Otu0180	Otu1211	0.889488	0	0
Otu0180	Otu1928	0.754734	0	0
Otu0199	Otu0212	0.940662	0	0
Otu0224	Otu5292	0.792219	0	0
Otu0232	Otu1411	0.790156	0	0
Otu0252	Otu0466	0.764684	0	0
Otu0252	Otu0752	0.849243	0	0
Otu0252	Otu2367	0.824702	0	0
Otu0258	Otu1755	0.970412	0	0
Otu0258	Otu1905	0.836056	0	0
Otu0258	Otu4796	0.929261	0	0
Otu0258	Otu5128	0.957469	0	0
Otu0258	Otu6240	0.932077	0	0
Otu0267	Otu5178	0.840461	0	0
Otu0267	Otu5415	0.873686	0	0
Otu0278	Otu0879	0.879561	0	0
Otu0278	Otu1928	0.783582	0	0
Otu0322	Otu1462	0.791971	0	0
Otu0331	Otu1035	0.849917	0	0
Otu0331	Otu1176	0.755571	0	0
Otu0332	Otu0370	0.88413	0	0
Otu0332	Otu1035	0.766443	0	0
Otu0370	Otu1035	0.824869	0	0
Otu0370	Otu3058	0.761443	0	0
Otu0393	Otu0466	0.789792	0	0
Otu0407	Otu1231	0.843346	0	0
Otu0425	Otu2261	0.830062	0	0
Otu0425	Otu5218	0.864399	0	0
Otu0425	Otu6242	0.797687	0	0
Otu0431	Otu1757	0.834683	0	0
Otu0466	Otu0752	0.812462	0	0
Otu0466	Otu4475	0.799215	0	0
Otu0498	Otu4584	0.771047	0	0
Otu0569	Otu4475	0.789482	0	0
Otu0579	Otu1188	0.753547	0	0
Otu0752	Otu1113	0.809065	0	0
Otu0752	Otu1415	0.755352	0	0
Otu0752	Otu2367	0.852897	0	0
Otu0879	Otu1107	0.768415	0	0
Otu0879	Otu1928	0.887423	0	0
Otu1035	Otu1176	0.766247	0	0
Otu1035	Otu3058	0.846197	0	0
Otu1049	Otu1462	0.782955	0	0
Otu1107	Otu1928	0.802937	0	0
Otu1113	Otu2367	0.750312	0	0
Otu1170	Otu4462	0.782583	0	0
Otu1188	Otu4209	0.790239	0	0
Otu1194	Otu1467	0.760413	0	0
Otu1748	Otu6242	0.75356	0	0
Otu1755	Otu1905	0.841062	0	0
Otu1755	Otu4796	0.930585	0	0
Otu1755	Otu5128	0.956174	0	0
Otu1755	Otu6240	0.954861	0	0
Otu1905	Otu5128	0.835951	0	0
Otu1928	Otu3972	0.784334	0	0
Otu2112	Otu3391	0.759068	0	0
Otu2261	Otu5218	0.756782	0	0
Otu2261	Otu6242	0.866381	0	0
Otu3010	Otu4209	0.79139	0	0
Otu3717	Otu4195	0.799467	0	0
Otu3717	Otu5602	0.846049	0	0
Otu4195	Otu5602	0.882964	0	0
Otu4796	Otu5128	0.906215	0	0
Otu4796	Otu6240	0.96327	0	0
Otu5128	Otu6240	0.940841	0	0
Otu5178	Otu5415	0.945416	0	0
Otu5218	Otu6242	0.823173	0	0
