lakeid,year4,daynum,sampledate,depth,rep,sta,event,cl,so4,ca,mg,na,k,fe,mn,cond,flagcl,flagso4,flagca,flagmg,flagna,flagk,flagfe,flagmn,flagcond
"CB",2005,234,2005-08-22,1.75,1,1,"Non-chem",,,,,,,,,,,,,,,,,,
"CB",2005,234,2005-08-22,2.00,1,1,"Non-chem",,,,,,,,,,,,,,,,,,
"CB",2005,250,2005-09-07,0.00,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2005,250,2005-09-07,0.00,2,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2005,250,2005-09-07,0.25,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2005,250,2005-09-07,0.50,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2005,250,2005-09-07,0.75,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2005,250,2005-09-07,1.00,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2005,250,2005-09-07,1.25,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2005,250,2005-09-07,1.50,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2005,250,2005-09-07,1.75,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2005,250,2005-09-07,2.00,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2005,263,2005-09-20,0.00,1,1,"Non-chem",,,,,,,,,,,,,,,,,,
"CB",2005,263,2005-09-20,0.25,1,1,"Non-chem",,,,,,,,,,,,,,,,,,
"CB",2005,263,2005-09-20,0.50,1,1,"Non-chem",,,,,,,,,,,,,,,,,,
"CB",2005,263,2005-09-20,0.75,1,1,"Non-chem",,,,,,,,,,,,,,,,,,
"CB",2005,263,2005-09-20,1.00,1,1,"Non-chem",,,,,,,,,,,,,,,,,,
"CB",2005,263,2005-09-20,1.00,2,1,"Non-chem",,,,,,,,,,,,,,,,,,
"CB",2005,263,2005-09-20,1.25,1,1,"Non-chem",,,,,,,,,,,,,,,,,,
"CB",2005,263,2005-09-20,1.50,1,1,"Non-chem",,,,,,,,,,,,,,,,,,
"CB",2005,263,2005-09-20,1.75,1,1,"Non-chem",,,,,,,,,,,,,,,,,,
"CB",2005,263,2005-09-20,2.00,1,1,"Non-chem",,,,,,,,,,,,,,,,,,
"CB",2005,279,2005-10-06,0.00,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2005,279,2005-10-06,0.00,2,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2005,279,2005-10-06,0.25,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2005,279,2005-10-06,0.50,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2005,279,2005-10-06,0.75,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2005,279,2005-10-06,1.00,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2005,279,2005-10-06,1.25,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2005,279,2005-10-06,1.50,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2005,279,2005-10-06,1.75,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2005,279,2005-10-06,2.00,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2005,292,2005-10-19,0.00,1,1,"Non-chem",,,,,,,,,,,,,,,,,,
"CB",2005,292,2005-10-19,0.00,2,1,"Non-chem",,,,,,,,,,,,,,,,,,
"CB",2005,292,2005-10-19,0.25,1,1,"Non-chem",,,,,,,,,,,,,,,,,,
"CB",2005,292,2005-10-19,0.50,1,1,"Non-chem",,,,,,,,,,,,,,,,,,
"CB",2005,292,2005-10-19,0.75,1,1,"Non-chem",,,,,,,,,,,,,,,,,,
"CB",2005,292,2005-10-19,1.00,1,1,"Non-chem",,,,,,,,,,,,,,,,,,
"CB",2005,292,2005-10-19,1.25,1,1,"Non-chem",,,,,,,,,,,,,,,,,,
"CB",2005,292,2005-10-19,1.50,1,1,"Non-chem",,,,,,,,,,,,,,,,,,
"CB",2005,292,2005-10-19,1.75,1,1,"Non-chem",,,,,,,,,,,,,,,,,,
"CB",2005,292,2005-10-19,2.00,1,1,"Non-chem",,,,,,,,,,,,,,,,,,
"CB",2005,312,2005-11-08,0.00,1,1,"Quarterly",0.13,0.58,0.72,0.23,0.17,0.33,0.18,0.02,12,,,"E","E","E","E","E","E",
"CB",2005,312,2005-11-08,0.25,1,1,"Quarterly",,,,,,,,,,,,,,,,,,
"CB",2005,312,2005-11-08,0.50,1,1,"Quarterly",,,,,,,,,,,,,,,,,,
"CB",2005,312,2005-11-08,0.75,1,1,"Quarterly",,,,,,,,,,,,,,,,,,
"CB",2005,312,2005-11-08,1.00,1,1,"Quarterly",,,,,,,,,,,,,,,,,,
"CB",2005,312,2005-11-08,1.25,1,1,"Quarterly",,,,,,,,,,,,,,,,,,
"CB",2005,312,2005-11-08,1.50,1,1,"Quarterly",,,,,,,,,,,,,,,,,,
"CB",2005,312,2005-11-08,1.75,1,1,"Quarterly",,,,,,,,,,,,,,,,,,
"CB",2005,312,2005-11-08,2.00,1,1,"Quarterly",0.14,0.54,0.74,0.23,0.15,0.31,0.19,0.02,12,,,,,,,,,
"CB",2005,312,2005-11-08,2.00,2,1,"Quarterly",0.10,0.53,0.37,0.22,0.15,0.30,0.18,0.02,11,,,,,,,,,
"CB",2006,12,2006-01-12,0.00,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2006,12,2006-01-12,0.25,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2006,12,2006-01-12,0.50,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2006,12,2006-01-12,0.75,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2006,12,2006-01-12,1.00,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2006,12,2006-01-12,2.00,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2006,12,2006-01-12,2.00,2,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2006,54,2006-02-23,0.00,1,1,"Quarterly",0.17,0.62,0.57,0.21,0.16,0.33,0.27,0.03,13,"L","NL",,,,,,,
"CB",2006,54,2006-02-23,0.00,2,1,"Quarterly",0.14,0.62,0.54,0.20,0.15,0.31,0.25,0.03,13,"L","N",,,,,,,
"CB",2006,54,2006-02-23,0.25,1,1,"Quarterly",,,,,,,,,,,,,,,,,,
"CB",2006,54,2006-02-23,0.50,1,1,"Quarterly",,,,,,,,,,,,,,,,,,
"CB",2006,54,2006-02-23,0.75,1,1,"Quarterly",,,,,,,,,,,,,,,,,,
"CB",2006,54,2006-02-23,1.00,1,1,"Quarterly",,,,,,,,,,,,,,,,,,
"CB",2006,54,2006-02-23,2.00,1,1,"Quarterly",0.16,0.00,0.95,0.23,0.17,0.39,0.50,0.03,16,"E","E",,,,,,,
"CB",2006,54,2006-02-23,2.00,2,1,"Quarterly",,,,,,,,,,,,,,,,,,
"CB",2006,86,2006-03-27,0.00,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2006,86,2006-03-27,0.00,2,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2006,86,2006-03-27,0.25,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2006,86,2006-03-27,0.50,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2006,86,2006-03-27,0.75,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2006,86,2006-03-27,1.00,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2006,86,2006-03-27,1.25,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2006,86,2006-03-27,1.50,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2006,86,2006-03-27,2.00,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2006,108,2006-04-18,0.00,1,1,"Quarterly",0.17,0.50,0.65,0.18,0.16,0.33,0.19,0.03,10,"NL","N",,,,,,,
"CB",2006,108,2006-04-18,0.00,2,1,"Quarterly",0.23,0.53,0.65,0.18,0.16,0.33,0.19,0.03,10,"NL","N",,,,,,,
"CB",2006,108,2006-04-18,0.25,1,1,"Quarterly",,,,,,,,,,,,,,,,,,
"CB",2006,108,2006-04-18,0.50,1,1,"Quarterly",,,,,,,,,,,,,,,,,,
"CB",2006,108,2006-04-18,0.75,1,1,"Quarterly",,,,,,,,,,,,,,,,,,
"CB",2006,108,2006-04-18,1.00,1,1,"Quarterly",,,,,,,,,,,,,,,,,,
"CB",2006,108,2006-04-18,1.25,1,1,"Quarterly",,,,,,,,,,,,,,,,,,
"CB",2006,108,2006-04-18,1.50,1,1,"Quarterly",,,,,,,,,,,,,,,,,,
"CB",2006,108,2006-04-18,1.75,1,1,"Quarterly",,,,,,,,,,,,,,,,,,
"CB",2006,108,2006-04-18,2.00,1,1,"Quarterly",0.18,0.34,0.99,0.25,0.21,0.47,0.53,0.03,16,,,,,,,,,
"CB",2006,123,2006-05-03,0.00,1,1,"Non-chem",,,,,,,,,,,,,,,,,,
"CB",2006,123,2006-05-03,0.25,1,1,"Non-chem",,,,,,,,,,,,,,,,,,
"CB",2006,123,2006-05-03,0.50,1,1,"Non-chem",,,,,,,,,,,,,,,,,,
"CB",2006,123,2006-05-03,0.75,1,1,"Non-chem",,,,,,,,,,,,,,,,,,
"CB",2006,123,2006-05-03,1.00,1,1,"Non-chem",,,,,,,,,,,,,,,,,,
"CB",2006,123,2006-05-03,1.25,1,1,"Non-chem",,,,,,,,,,,,,,,,,,
"CB",2006,123,2006-05-03,1.50,1,1,"Non-chem",,,,,,,,,,,,,,,,,,
"CB",2006,123,2006-05-03,1.75,1,1,"Non-chem",,,,,,,,,,,,,,,,,,
"CB",2006,123,2006-05-03,2.00,1,1,"Non-chem",,,,,,,,,,,,,,,,,,
"CB",2006,123,2006-05-03,2.00,2,1,"Non-chem",,,,,,,,,,,,,,,,,,
"CB",2006,137,2006-05-17,0.00,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2006,137,2006-05-17,0.25,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2006,137,2006-05-17,0.50,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2006,137,2006-05-17,0.75,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2006,137,2006-05-17,1.00,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2006,137,2006-05-17,1.25,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2006,137,2006-05-17,1.50,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2006,137,2006-05-17,1.75,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2006,137,2006-05-17,2.00,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2006,137,2006-05-17,2.00,2,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2006,152,2006-06-01,0.00,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2006,152,2006-06-01,0.25,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2006,152,2006-06-01,0.50,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2006,152,2006-06-01,0.75,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2006,152,2006-06-01,1.00,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2006,152,2006-06-01,1.25,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2006,152,2006-06-01,2.00,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2006,152,2006-06-01,2.00,2,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2006,164,2006-06-13,0.00,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2006,164,2006-06-13,0.00,2,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2006,164,2006-06-13,0.25,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2006,164,2006-06-13,0.50,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2006,164,2006-06-13,0.75,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2006,164,2006-06-13,1.00,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2006,164,2006-06-13,2.00,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2006,179,2006-06-28,0.00,1,1,"Non-chem",,,,,,,,,,,,,,,,,,
"CB",2006,179,2006-06-28,0.25,1,1,"Non-chem",,,,,,,,,,,,,,,,,,
"CB",2006,179,2006-06-28,0.50,1,1,"Non-chem",,,,,,,,,,,,,,,,,,
"CB",2006,179,2006-06-28,0.75,1,1,"Non-chem",,,,,,,,,,,,,,,,,,
"CB",2006,179,2006-06-28,1.00,1,1,"Non-chem",,,,,,,,,,,,,,,,,,
"CB",2006,179,2006-06-28,1.00,2,1,"Non-chem",,,,,,,,,,,,,,,,,,
"CB",2006,179,2006-06-28,1.25,1,1,"Non-chem",,,,,,,,,,,,,,,,,,
"CB",2006,179,2006-06-28,1.50,1,1,"Non-chem",,,,,,,,,,,,,,,,,,
"CB",2006,179,2006-06-28,1.75,1,1,"Non-chem",,,,,,,,,,,,,,,,,,
"CB",2006,179,2006-06-28,2.00,1,1,"Non-chem",,,,,,,,,,,,,,,,,,
"CB",2006,193,2006-07-12,0.00,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2006,193,2006-07-12,0.00,2,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2006,193,2006-07-12,0.25,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2006,193,2006-07-12,0.50,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2006,193,2006-07-12,0.75,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2006,193,2006-07-12,1.00,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2006,193,2006-07-12,1.25,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2006,193,2006-07-12,1.50,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2006,193,2006-07-12,1.75,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2006,193,2006-07-12,2.00,1,1,"Chem",,,,,,,,,,,,,,,,,,
"CB",2006,207,2006-07-26,0.00,1,1,"Non-chem",,,,,,,,,,,,,,,,,,
"CB",2006,207,2006-07-26,0.25,1,1,"Non-chem",,,,,,,,,,,,,,,,,,
"CB",2006,207,2006-07-26,0.50,1,1,"Non-chem",,,,,,,,,,,,,,,,,,
"CB",2006,207,2006-07-26,0.75,1,1,"Non-chem",,,,,,,,,,,,,,,,,,
"CB",2006,207,2006-07-26,1.00,1,1,"Non-chem",,,,,,,,,,,,,,,,,,
"CB",2006,207,2006-07-26,1.00,2,1,"Non-chem",,,,,,,,,,,,,,,,,,
"CB",2006,207,2006-07-26,1.25,1,1,"Non-chem",,,,,,,,,,,,,,,,,,
"CB",2006,207,2006-07-26,1.50,1,1,"Non-chem",,,,,,,,,,,,,,,,,,
"CB",2006,207,2006-07-26,1.75,1,1,"Non-chem",,,,,,,,,,,,,,,,,,
"CB",2006,207,2006-07-26,2.00,1,1,"Non-chem",,,,,,,,,,,,,,,,,,
"CB",2006,219,2006-08-07,0.00,1,1,"Quarterly",0.20,0.59,0.51,0.21,0.16,0.27,0.17,0.02,11,"L",,,,,,,,
"CB",2006,219,2006-08-07,0.00,2,1,"Quarterly",0.09,0.54,0.52,0.21,0.18,0.28,0.17,0.02,11,"NL",,,,,,,,
"CB",2006,219,2006-08-07,0.25,1,1,"Quarterly",,,,,,,,,,,,,,,,,,
"CB",2006,219,2006-08-07,0.50,1,1,"Quarterly",,,,,,,,,,,,,,,,,,
