lakeid,year4,daynum,sampledate,sta,nsnow,avsnow,sdsnow,wlevel,totice,nice,whiteice,blueice
"CB",2009,77,2009-03-18 00:00:00,1,1,0.0,,3.0,41.0,1,19.0,22.0
"CB",2010,14,2010-01-14 00:00:00,1,10,12.1,,1.0,24.0,1,21.0,3.0
"CB",2010,53,2010-02-22 00:00:00,1,10,15.3,,1.0,36.0,1,23.0,13.0
"CB",2011,25,2011-01-25 00:00:00,1,10,18.4,,0.0,32.5,1,13.0,19.5
"CB",2011,48,2011-02-17 00:00:00,1,10,6.6,,2.0,41.0,1,16.0,25.0
"CB",2011,76,2011-03-17 00:00:00,1,1,0.0,,3.0,48.0,1,20.0,28.0
"CB",2012,9,2012-01-09 00:00:00,1,10,5.0,,0.0,25.0,1,14.0,11.0
"CB",2012,53,2012-02-22 00:00:00,1,10,13.4,,1.0,35.0,1,24.0,9.0
"CB",2013,28,2013-01-28 00:00:00,1,,22.4,,0.0,30.0,,7.0,23.0
"CB",2013,49,2013-02-18 00:00:00,1,,18.6,,1.0,46.0,,18.0,28.0
"CB",2013,87,2013-03-28 00:00:00,1,,9.5,,4.0,59.0,,29.0,30.0
"CB",2014,34,2014-02-03 00:00:00,1,,23.4,,1.0,47.0,,29.0,18.0
"CB",2014,51,2014-02-20 00:00:00,1,,30.4,,-2.0,47.0,,27.0,20.0
"CB",2014,90,2014-03-31 00:00:00,1,,10.3,,1.0,55.0,,39.0,16.0
"CB",2015,23,2015-01-23 00:00:00,1,,18.0,,0.0,28.0,,13.0,15.0
"CB",2015,65,2015-03-06 00:00:00,1,,28.0,,-1.0,30.0,,24.0,6.0
"CB",2015,82,2015-03-23 00:00:00,1,,0.0,,2.0,25.0,,19.0,6.0
"TB",1982,27,1982-01-27 00:00:00,1,10,25.8,1.3,0.0,32.5,1,12.1,20.4
"TB",1982,62,1982-03-03 00:00:00,1,10,9.1,0.8,5.5,39.3,1,32.7,6.6
"TB",1982,96,1982-04-06 00:00:00,1,10,8.2,0.4,0.0,52.0,1,41.0,11.0
"TB",1982,334,1982-11-30 00:00:00,1,10,0.5,0.0,0.0,11.0,1,0.0,11.0
"TB",1983,10,1983-01-10 00:00:00,1,10,27.9,0.8,0.0,17.0,1,8.0,9.0
"TB",1983,53,1983-02-22 00:00:00,1,10,0.5,0.4,0.0,31.0,1,15.0,16.0
"TB",1983,83,1983-03-24 00:00:00,1,10,10.1,0.5,1.0,30.0,1,8.0,22.0
"TB",1983,318,1983-11-14 00:00:00,1,0,,,,2.0,1,,
"TB",1984,3,1984-01-03 00:00:00,1,10,8.1,1.2,,35.3,1,13.2,22.1
"TB",1984,59,1984-02-28 00:00:00,1,10,2.3,0.3,5.0,46.0,1,22.0,24.0
"TB",1984,95,1984-04-04 00:00:00,1,1,0.0,0.0,2.0,46.0,1,14.0,32.0
"TB",1985,15,1985-01-15 00:00:00,1,10,14.8,0.5,0.0,26.0,1,6.0,20.0
"TB",1985,58,1985-02-27 00:00:00,1,10,5.4,0.6,3.0,31.0,1,7.0,24.0
"TB",1985,84,1985-03-25 00:00:00,1,10,2.5,1.4,2.0,47.0,1,18.0,29.0
"TB",1985,100,1985-04-10 00:00:00,1,1,0.0,,5.0,48.0,1,24.0,
"TB",1986,10,1986-01-10 00:00:00,1,10,19.2,0.9,0.0,25.0,1,10.0,15.0
"TB",1986,56,1986-02-25 00:00:00,1,10,26.0,0.0,2.0,40.0,1,34.0,6.0
"TB",1986,90,1986-03-31 00:00:00,1,4,0.8,1.5,-3.0,28.0,1,22.0,6.0
"TB",1987,15,1987-01-15 00:00:00,1,10,15.4,0.7,0.0,23.0,1,20.0,3.0
"TB",1987,54,1987-02-23 00:00:00,1,10,10.1,0.6,1.0,37.0,1,14.0,23.0
"TB",1987,79,1987-03-20 00:00:00,1,1,0.0,,1.0,35.0,,17.0,18.0
"TB",1988,14,1988-01-14 00:00:00,1,10,15.6,0.8,0.0,23.0,1,15.0,8.0
"TB",1988,61,1988-03-01 00:00:00,1,10,9.4,0.5,2.0,44.0,1,33.0,11.0
"TB",1988,83,1988-03-23 00:00:00,1,10,4.9,0.5,3.0,51.0,3,18.0,33.0
"TB",1989,17,1989-01-17 00:00:00,1,10,21.4,,0.0,31.0,1,13.5,17.5
"TB",1989,65,1989-03-06 00:00:00,1,10,33.8,,-1.3,46.2,1,24.0,22.2
"TB",1989,86,1989-03-27 00:00:00,1,10,,,5.0,58.5,1,36.5,22.0
"TB",1990,15,1990-01-15 00:00:00,1,10,9.5,,-13.5,27.5,1,7.5,20.0
"TB",1990,59,1990-02-28 00:00:00,1,10,22.2,,0.0,50.0,1,30.0,20.0
"TB",1990,86,1990-03-27 00:00:00,1,1,0.0,,3.5,41.0,1,24.5,16.5
