"","Kingdom","Phylum","Class","Order","Lineage","Clade","Tribe"
"655028","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"658302","k__Bacteria","p__Bacteroidetes","unclassified","unclassified","unclassified","unclassified","unclassified"
"654373","k__Bacteria","p__Acidobacteria","c__Acidobacteriia","o__Acidobacteriales","f__Acidobacteriaceae","g__","s__"
"519864","k__Bacteria","p__SR1","c__","o__","f__","g__","s__"
"424956","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","unclassified","unclassified","unclassified"
"636816","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__NKB15","f__","g__","s__"
"657976","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhizobiaceae","g__Agrobacterium","s__"
"656770","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Solirubrobacterales","unclassified","unclassified","unclassified"
"605250","k__Bacteria","p__SR1","c__","o__","f__","g__","s__"
"658427","k__Bacteria","p__OD1","c__ZB2","o__","f__","g__","s__"
"636246","k__Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"618562","k__Bacteria","p__Cyanobacteria","c__Chloroplast","unclassified","unclassified","unclassified","unclassified"
"592323","k__Bacteria","p__Verrucomicrobia","c__Verruco-5","o__WCHB1-41","f__","g__","s__"
"592957","k__Bacteria","p__TM6","c__SJA-4","o__","f__","g__","s__"
"637084","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium","s__"
"660052","k__Bacteria","p__SR1","c__","o__","f__","g__","s__"
"648274","k__Bacteria","p__OP3","c__BD4-9","o__","f__","g__","s__"
"605620","k__Bacteria","p__Verrucomicrobia","c__Verruco-5","o__WCHB1-41","f__","g__","s__"
"641846","k__Bacteria","p__Elusimicrobia","c__Endomicrobia","o__","f__","g__","s__"
"422194","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Intrasporangiaceae","unclassified","unclassified"
"653083","k__Bacteria","p__Bacteroidetes","unclassified","unclassified","unclassified","unclassified","unclassified"
"648655","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Legionellales","f__Legionellaceae","unclassified","unclassified"
"467467","k__Bacteria","p__Bacteroidetes","c__Flavobacteriia","o__Flavobacteriales","f__Cryomorphaceae","g__","s__"
"660116","k__Bacteria","p__Bacteroidetes","unclassified","unclassified","unclassified","unclassified","unclassified"
"508743","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Caulobacterales","alfII","alfII-A","Brev"
"592688","k__Bacteria","p__OD1","c__ZB2","o__","f__","g__","s__"
"645040","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Bdellovibrionales","f__Bacteriovoracaceae","g__","s__"
"567342","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","unclassified","unclassified","unclassified"
"641191","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Rhodospirillaceae","g__","s__"
"499317","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rickettsiales","f__Rickettsiaceae","g__","s__"
"626816","k__Bacteria","p__Planctomycetes","c__Planctomycetia","o__Pirellulales","f__Pirellulaceae","unclassified","unclassified"
"605597","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__","g__","s__"
"589155","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Novosphingobium","s__"
