"","Kingdom","Phylum","Class","Order","Lineage","Clade","Tribe"
"654552","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Syntrophobacterales","f__Syntrophaceae","g__","s__"
"650940","k__Bacteria","p__Chlorobi","c__BSV26","o__VC38","f__","g__","s__"
"630853","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__MIZ46","f__","g__","s__"
"659471","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Rhodospirillaceae","g__","s__"
"637417","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Syntrophobacterales","f__Syntrophaceae","g__","s__"
"646059","k__Bacteria","p__Armatimonadetes","c__SJA-176","o__GAB-B06","f__","g__","s__"
"649138","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rickettsiales","f__mitochondria","g__","s__"
"653196","k__Bacteria","p__Chlamydiae","c__Chlamydiia","o__Chlamydiales","f__Parachlamydiaceae","g__CandidatusProtochlamydia","s__"
"639859","k__Bacteria","p__Acidobacteria","c__Acidobacteriia","o__Acidobacteriales","f__Acidobacteriaceae","g__","s__"
"614617","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__WCHB1-50","f__","g__","s__"
"641303","k__Bacteria","p__Verrucomicrobia","c__[Pedosphaerae]","o__[Pedosphaerales]","unclassified","unclassified","unclassified"
"646903","k__Bacteria","p__OD1","c__ZB2","o__","f__","g__","s__"
"652856","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Microbacteriaceae","unclassified","unclassified"
"650736","k__Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"643584","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Procabacteriales","f__Procabacteriaceae","g__","s__"
"474168","k__Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"641235","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__"
"646480","k__Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"608380","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfobacterales","f__Desulfobulbaceae","unclassified","unclassified"
"652414","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Rhodospirillaceae","g__","s__"
"656438","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","unclassified","unclassified","unclassified"
"660074","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","alfI","alfI-B","unclassified"
"652225","k__Bacteria","p__Verrucomicrobia","c__[Spartobacteria]","o__[Chthoniobacterales]","f__[Chthoniobacteraceae]","g__CandidatusXiphinematobacter","s__"
"646753","k__Bacteria","p__Bacteroidetes","c__Flavobacteriia","o__Flavobacteriales","f__Flavobacteriaceae","g__Flavobacterium","s__"
"658568","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rickettsiales","f__mitochondria","g__","s__"
"657805","k__Bacteria","p__OP3","c__koll11","o__GIF10","f__","g__","s__"
"659466","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rickettsiales","f__Rickettsiaceae","g__","s__"
"655893","k__Bacteria","p__Acidobacteria","c__Acidobacteriia","o__Acidobacteriales","f__Koribacteraceae","g__CandidatusKoribacter","s__"
"656311","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","acI","acI-B","acI-B3"
"657422","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Methylococcales","f__Methylococcaceae","g__Methylomonas","s__"
"628228","k__Bacteria","p__OP3","c__koll11","o__GIF10","f__","g__","s__"
"604794","k__Bacteria","p__WS5","c__","o__","f__","g__","s__"
"621640","k__Bacteria","p__Bacteroidetes","unclassified","unclassified","unclassified","unclassified","unclassified"
"659278","k__Bacteria","p__Actinobacteria","c__Acidimicrobiia","o__Acidimicrobiales","acV","acV-A","acV-A1"
"654564","k__Bacteria","p__Bacteroidetes","unclassified","unclassified","unclassified","unclassified","unclassified"
"605481","k__Bacteria","p__GN02","c__GKS2-174","o__","f__","g__","s__"
"650434","k__Bacteria","p__TM6","c__SJA-4","o__","f__","g__","s__"
"649694","k__Bacteria","p__Chloroflexi","c__Dehalococcoidetes","o__Dehalococcoidales","f__Dehalococcoidaceae","g__","s__"
"647613","k__Bacteria","p__Spirochaetes","c__Spirochaetes","o__Spirochaetales","f__Spirochaetaceae","g__Spirochaeta","s__aurantia"
"567048","k__Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"654397","k__Bacteria","p__Chloroflexi","c__Dehalococcoidetes","o__","f__","g__","s__"
"619874","k__Bacteria","p__OP3","c__koll11","o__GIF10","f__kpj58rc","g__","s__"
"649533","k__Archaea","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"652109","k__Bacteria","p__OP3","c__BD4-9","o__","f__","g__","s__"
"643307","k__Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"653255","k__Bacteria","p__Cyanobacteria","c__Nostocophycideae","o__Nostocales","f__Nostocaceae","g__Dolichospermum","s__"
"605383","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","unclassified","unclassified","unclassified"
"621517","k__Archaea","p__[Parvarchaeota]","c__[Parvarchaea]","o__WCHD3-30","f__","g__","s__"
"650658","k__Bacteria","p__TM6","c__SJA-4","o__","f__","g__","s__"
"653553","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","s__fragi"
"650354","k__Bacteria","p__OD1","c__ZB2","o__","f__","g__","s__"
"660100","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","alfIV","alfIV-A","Novo-A1"
"660160","k__Bacteria","p__Lentisphaerae","c__[Lentisphaeria]","o__Z20","f__","g__","s__"
"531244","k__Bacteria","p__TM7","c__TM7-3","o__Blgi18","f__","g__","s__"
"627716","k__Bacteria","p__OP3","c__BD4-9","o__","f__","g__","s__"
"602859","k__Bacteria","p__Bacteroidetes","c__[Saprospirae]","o__[Saprospirales]","f__Chitinophagaceae","unclassified","unclassified"
"570483","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"646310","k__Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"647010","k__Bacteria","p__Verrucomicrobia","c__[Pedosphaerae]","o__[Pedosphaerales]","f__","g__","s__"
"560092","k__Bacteria","p__Bacteroidetes","c__Sphingobacteriia","o__Sphingobacteriales","f__Sphingobacteriaceae","g__Pedobacter","s__cryoconitis"
"637056","k__Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"657644","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","unclassified","unclassified","unclassified"
"592062","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"639792","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","unclassified","unclassified","unclassified"
"654531","k__Bacteria","p__Bacteroidetes","c__[Saprospirae]","o__[Saprospirales]","f__","g__","s__"
"656618","k__Bacteria","p__Armatimonadetes","c__[Fimbriimonadia]","o__[Fimbriimonadales]","f__[Fimbriimonadaceae]","g__","s__"
"649119","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rickettsiales","unclassified","unclassified","unclassified"
"623554","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"646984","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Legionellales","f__Legionellaceae","g__","s__"
"618915","k__Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"593476","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"660305","k__Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"653113","k__Bacteria","p__Chloroflexi","c__SL56","o__","f__","g__","s__"
"551613","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Veillonellaceae","unclassified","unclassified"
"659050","k__Bacteria","p__Verrucomicrobia","c__[Pedosphaerae]","unclassified","unclassified","unclassified","unclassified"
"565051","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"623282","k__Bacteria","p__Elusimicrobia","c__Endomicrobia","o__","f__","g__","s__"
"566378","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Methylococcales","f__Methylococcaceae","unclassified","unclassified"
"650676","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Rhodospirillaceae","unclassified","unclassified"
"655293","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","unclassified","unclassified","unclassified"
"629545","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__","s__"
"654839","k__Bacteria","p__Acidobacteria","c__Holophagae","o__Holophagales","f__Holophagaceae","unclassified","unclassified"
"647940","k__Bacteria","p__Verrucomicrobia","c__[Pedosphaerae]","o__[Pedosphaerales]","f__auto67_4W","g__","s__"
"580163","k__Bacteria","p__Acidobacteria","c__Solibacteres","o__Solibacterales","f__Solibacteraceae","g__CandidatusSolibacter","s__"
"650912","k__Bacteria","p__OP11","c__OP11-2","o__","f__","g__","s__"
"640668","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Acetobacteraceae","g__","s__"
"565029","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Bdellovibrionales","f__Bdellovibrionaceae","g__Bdellovibrio","s__"
"656264","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Methylococcales","gamI","unclassified","unclassified"
"650237","k__Bacteria","p__Verrucomicrobia","c__[Pedosphaerae]","o__[Pedosphaerales]","unclassified","unclassified","unclassified"
"618857","k__Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"629176","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","unclassified","unclassified","unclassified"
"628198","unknown","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"654978","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","unclassified","unclassified"
"631559","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Rhodocyclales","f__Rhodocyclaceae","unclassified","unclassified"
"659899","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"650174","k__Bacteria","p__Chloroflexi","c__Dehalococcoidetes","o__GIF9","f__","g__","s__"
"630736","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rickettsiales","f__Rickettsiaceae","g__Rickettsia","s__"
"659531","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Caloramator","s__"
"655744","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__","g__","s__"
"651499","k__Bacteria","p__Bacteroidetes","c__Flavobacteriia","o__Flavobacteriales","f__[Weeksellaceae]","g__Chryseobacterium","s__"
"539152","k__Archaea","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"368531","k__Bacteria","p__Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"513853","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Legionellales","f__Coxiellaceae","g__","s__"
"660001","k__Bacteria","p__OD1","c__ZB2","o__","f__","g__","s__"
"659503","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rickettsiales","f__Rickettsiaceae","g__Rickettsia","s__"
"659951","k__Bacteria","p__Cyanobacteria","c__4C0d-2","o__YS2","f__","g__","s__"
"660225","k__Bacteria","p__Verrucomicrobia","c__Verruco-5","o__WCHB1-41","f__","g__","s__"
"621812","k__Bacteria","p__Bacteroidetes","c__[Saprospirae]","unclassified","unclassified","unclassified","unclassified"
"631983","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__","g__","s__"
"597128","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rickettsiales","f__mitochondria","g__","s__"
"627341","k__Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"508231","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"656477","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Methylococcales","f__Methylococcaceae","unclassified","unclassified"
"569550","k__Bacteria","p__OD1","c__ABY1","o__","f__","g__","s__"
"649867","k__Bacteria","p__Firmicutes","unclassified","unclassified","unclassified","unclassified","unclassified"
"658290","unknown","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"650404","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Rhodocyclales","f__Rhodocyclaceae","g__Propionivibrio","s__"
"622652","k__Bacteria","p__Elusimicrobia","c__Elusimicrobia","o__Elusimicrobiales","f__","g__","s__"
"439238","k__Bacteria","p__Spirochaetes","c__Spirochaetes","o__Spirochaetales","f__Spirochaetaceae","g__Spirochaeta","s__aurantia"
"495692","k__Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"649626","k__Archaea","p__[Parvarchaeota]","c__[Parvarchaea]","o__WCHD3-30","f__","g__","s__"
"501854","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Actinomycetaceae","g__N09","s__"
"646956","k__Bacteria","p__Acidobacteria","c__BPC102","o__MVS-40","f__","g__","s__"
"656806","k__Bacteria","p__Bacteroidetes","c__[Saprospirae]","o__[Saprospirales]","bacI","bacI-A","bacI-A2"
"631669","k__Bacteria","p__OD1","c__","o__","f__","g__","s__"
"636361","k__Bacteria","p__Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"649977","unknown","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"649693","k__Bacteria","p__OD1","unclassified","unclassified","unclassified","unclassified","unclassified"
"656605","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","alfIV","alfIV-A","Novo-A2"
"656780","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"635753","k__Bacteria","p__Verrucomicrobia","c__[Methylacidiphilae]","o__S-BQ2-57","f__","g__","s__"
"658008","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Legionellales","f__Coxiellaceae","g__","s__"
"658571","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Sinobacteraceae","g__","s__"
"630837","k__Bacteria","p__Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"635705","k__Bacteria","p__Firmicutes","c__Clostridia","o__OPB54","f__","g__","s__"
"656377","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","betI","betI-A","Lhab-A3"
"658957","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Novosphingobium","s__"
"649600","k__Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"650500","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Desulfovibrionales","f__Desulfovibrionaceae","g__Desulfovibrio","s__putealis"
"640271","k__Bacteria","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Verrucomicrobiaceae","g__Luteolibacter","s__"
"582736","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"639569","k__Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"657597","k__Bacteria","p__Bacteroidetes","c__Cytophagia","o__Cytophagales","f__Cytophagaceae","g__","s__"
"645555","k__Bacteria","p__Lentisphaerae","c__[Lentisphaeria]","o__Victivallales","f__Victivallaceae","g__","s__"
"566779","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Rhodocyclales","f__Rhodocyclaceae","g__Azospira","s__"
"608239","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"586044","k__Bacteria","p__Acidobacteria","c__Acidobacteriia","o__Acidobacteriales","f__Acidobacteriaceae","g__","s__"
"657020","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"642748","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Caulobacterales","f__Caulobacteraceae","g__","s__"
"643540","k__Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"646205","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__","f__","g__","s__"
"660274","k__Bacteria","p__Actinobacteria","c__OPB41","o__","f__","g__","s__"
"649421","k__Bacteria","p__Bacteroidetes","c__[Saprospirae]","o__[Saprospirales]","bacI","bacI-A","bacI-A3"
"608098","k__Bacteria","p__TM7","c__SC3","o__","f__","g__","s__"
"656333","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","alfVI","unclassified","unclassified"
"624735","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhizobiaceae","g__Agrobacterium","s__"
"645087","k__Bacteria","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Verrucomicrobiaceae","g__Prosthecobacter","s__"
"622899","k__Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"647651","k__Bacteria","p__Acidobacteria","c__Acidobacteriia","o__Acidobacteriales","f__Acidobacteriaceae","g__","s__"
"646337","k__Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"569957","k__Bacteria","p__OP11","c__OP11-3","o__","f__","g__","s__"
"658603","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","unclassified","unclassified"
"608201","k__Bacteria","p__Proteobacteria","unclassified","unclassified","unclassified","unclassified","unclassified"
"636148","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Microbacteriaceae","unclassified","unclassified"
"658803","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"653084","k__Bacteria","p__Bacteroidetes","c__[Saprospirae]","o__[Saprospirales]","f__Chitinophagaceae","g__","s__"
"649284","k__Bacteria","p__OD1","unclassified","unclassified","unclassified","unclassified","unclassified"
"583034","k__Bacteria","p__Armatimonadetes","c__SJA-176","o__GAB-B06","f__","g__","s__"
"577792","k__Bacteria","p__Chlorobi","c__SJA-28","o__","f__","g__","s__"
"659580","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rickettsiales","f__","g__","s__"
"452772","k__Bacteria","p__TM6","c__SJA-4","o__","f__","g__","s__"
"569916","k__Bacteria","p__TM6","c__SJA-4","o__","f__","g__","s__"
"599207","k__Bacteria","p__Proteobacteria","c__Epsilonproteobacteria","o__Campylobacterales","f__Helicobacteraceae","unclassified","unclassified"
"650876","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Solirubrobacterales","f__","g__","s__"
"609858","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Legionellales","f__Coxiellaceae","g__","s__"
"636456","k__Bacteria","p__Armatimonadetes","c__[Fimbriimonadia]","o__[Fimbriimonadales]","f__[Fimbriimonadaceae]","unclassified","unclassified"
"618820","k__Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"581200","k__Bacteria","p__Verrucomicrobia","c__[Pedosphaerae]","o__[Pedosphaerales]","unclassified","unclassified","unclassified"
"646123","k__Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"642908","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Tremblayales","f__","g__","s__"
"623460","k__Bacteria","p__Fusobacteria","c__Fusobacteriia","o__Fusobacteriales","f__Fusobacteriaceae","g__u114","s__"
"618948","k__Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"626432","k__Bacteria","p__OD1","c__ZB2","o__","f__","g__","s__"
"657177","k__Bacteria","p__Acidobacteria","c__Acidobacteriia","o__Acidobacteriales","f__Koribacteraceae","g__CandidatusKoribacter","s__"
"626531","k__Archaea","p__Crenarchaeota","c__MCG","o__pGrfC26","f__","g__","s__"
"619240","k__Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"562130","k__Bacteria","p__Acidobacteria","c__Holophagae","o__Holophagales","f__Holophagaceae","g__Geothrix","s__"
"560009","k__Bacteria","p__Verrucomicrobia","c__[Spartobacteria]","o__[Chthoniobacterales]","f__[Chthoniobacteraceae]","unclassified","unclassified"
"659757","k__Bacteria","p__Bacteroidetes","c__[Saprospirae]","o__[Saprospirales]","f__Chitinophagaceae","g__Sediminibacterium","s__"
"610094","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Legionellales","f__Coxiellaceae","g__Aquicella","s__"
"501221","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Enterococcaceae","g__Enterococcus","s__cecorum"
"640646","k__Bacteria","p__OP3","c__BD4-9","o__","f__","g__","s__"
"565575","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Rhodospirillaceae","g__Telmatospirillum","s__"
"626359","k__Archaea","p__[Parvarchaeota]","c__[Parvarchaea]","o__WCHD3-30","f__","g__","s__"
"649613","k__Bacteria","p__Verrucomicrobia","c__[Pedosphaerae]","o__[Pedosphaerales]","f__","g__","s__"
"611318","k__Bacteria","p__OD1","c__ZB2","o__","f__","g__","s__"
"656596","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rickettsiales","f__","g__","s__"
"628127","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Hyphomicrobiaceae","g__Rhodoplanes","s__"
"659170","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Acetobacteraceae","g__","s__"
"652393","k__Bacteria","p__Chlamydiae","c__Chlamydiia","o__Chlamydiales","f__Parachlamydiaceae","g__Parachlamydia","unclassified"
"659358","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","f__","g__","s__"
"498254","k__Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"646217","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Christensenellaceae","g__","s__"
"627021","k__Bacteria","p__OD1","c__ZB2","o__","f__","g__","s__"
"649585","k__Bacteria","p__Acidobacteria","c__TM1","o__","f__","g__","s__"
"577867","k__Bacteria","p__OP3","c__BD4-9","o__","f__","g__","s__"
"550249","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Acetobacteraceae","g__Acidocella","s__"
"506046","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__WCHB1-50","f__","g__","s__"
"519919","k__Bacteria","p__OD1","c__ABY1","o__","f__","g__","s__"
"643554","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Methylococcales","f__Crenotrichaceae","g__Crenothrix","s__"
"649446","k__Bacteria","p__Bacteroidetes","c__Bacteroidia","o__Bacteroidales","unclassified","unclassified","unclassified"
"643276","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__Anaerolineales","f__Anaerolinaceae","unclassified","unclassified"
"592549","k__Bacteria","p__Fibrobacteres","c__TG3","o__TG3-1","unclassified","unclassified","unclassified"
"601951","k__Bacteria","p__OP3","c__BD4-9","o__","f__","g__","s__"
"626549","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","unclassified","unclassified","unclassified"
"640700","k__Bacteria","p__Bacteroidetes","c__[Saprospirae]","o__[Saprospirales]","f__Chitinophagaceae","g__","s__"
"650508","k__Archaea","p__[Parvarchaeota]","c__[Parvarchaea]","o__WCHD3-30","f__","g__","s__"
"627952","k__Bacteria","p__OD1","c__ZB2","o__","f__","g__","s__"
"656925","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Legionellales","f__Legionellaceae","g__","s__"
"660048","k__Bacteria","p__OP3","c__koll11","o__GIF10","f__kpj58rc","g__","s__"
"659973","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","unclassified","unclassified","unclassified"
"621963","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"646362","k__Bacteria","p__OD1","c__","o__","f__","g__","s__"
"660252","k__Bacteria","p__Bacteroidetes","c__[Saprospirae]","o__[Saprospirales]","f__","g__","s__"
"646999","k__Bacteria","p__Verrucomicrobia","c__[Pedosphaerae]","o__[Pedosphaerales]","f__","g__","s__"
"659893","k__Bacteria","p__Bacteroidetes","c__[Saprospirae]","o__[Saprospirales]","f__","g__","s__"
"646365","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Legionellales","f__Legionellaceae","g__","s__"
"309654","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Janthinobacterium","s__"
"656378","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"627354","k__Bacteria","p__OD1","c__ABY1","o__","f__","g__","s__"
"594400","k__Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"610328","k__Bacteria","p__Chlamydiae","c__Chlamydiia","o__Chlamydiales","f__","g__","s__"
"660191","k__Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"613866","k__Bacteria","p__Cyanobacteria","c__Chloroplast","unclassified","unclassified","unclassified","unclassified"
"656472","k__Bacteria","p__Planctomycetes","c__Planctomycetia","o__Pirellulales","f__Pirellulaceae","g__","s__"
"659894","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Acetobacteraceae","g__","s__"
"640992","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingomonas","s__wittichii"
"625643","k__Bacteria","p__Bacteroidetes","c__Sphingobacteriia","o__Sphingobacteriales","f__","g__","s__"
"622531","k__Bacteria","p__OD1","c__ZB2","o__","f__","g__","s__"
"657175","k__Bacteria","p__Verrucomicrobia","c__[Methylacidiphilae]","o__S-BQ2-57","f__","g__","s__"
"659806","k__Bacteria","p__Elusimicrobia","c__Elusimicrobia","o__Elusimicrobiales","f__","g__","s__"
"643783","k__Bacteria","p__Chloroflexi","c__Dehalococcoidetes","o__","f__","g__","s__"
"638785","k__Bacteria","p__Planctomycetes","c__Phycisphaerae","o__WD2101","f__","g__","s__"
"631633","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Legionellales","f__Coxiellaceae","g__","s__"
"626690","k__Bacteria","p__AC1","c__HDBW-WB69","o__","f__","g__","s__"
"636479","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__MIZ46","f__","g__","s__"
"646356","k__Bacteria","p__Verrucomicrobia","c__Verruco-5","o__WCHB1-41","f__","g__","s__"
"657372","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Methylophilales","f__Methylophilaceae","g__","s__"
"646277","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Syntrophobacterales","f__Syntrophaceae","g__","s__"
"650877","k__Bacteria","p__Verrucomicrobia","c__Opitutae","o__Opitutales","f__Opitutaceae","g__","s__"
"627846","k__Bacteria","p__Acidobacteria","c__BPC102","o__MVS-40","f__","g__","s__"
