656771,k__Bacteria(100),p__Bacteroidetes(100),c__Flavobacteriia(100),o__Flavobacteriales(100),unclassified(100),unclassified(100),unclassified(100)
659121,k__Bacteria(100),p__Proteobacteria(100),c__Betaproteobacteria(100),o__Burkholderiales(100),betII(100),Pnec(100),PnecA(79)
658180,k__Bacteria(100),p__Proteobacteria(100),c__Gammaproteobacteria(100),o__Pseudomonadales(100),gamIV(100),gamIV-A(100),Pseudo-A1(100)
658028,k__Bacteria(100),p__Proteobacteria(100),c__Alphaproteobacteria(100),o__Sphingomonadales(99),alfIV(99),alfIV-A(98),Novo-A2(98)
612503,k__Bacteria(100),p__Actinobacteria(100),c__Actinobacteria(100),o__Actinomycetales(100),acSTL(100),unclassified(100),unclassified(100)
577052,k__Bacteria(100),p__Bacteroidetes(100),c__Flavobacteriia(100),o__Flavobacteriales(100),bacII(100),bacII-A(100),unclassified(97)
656144,k__Bacteria(100),p__Proteobacteria(100),c__Gammaproteobacteria(100),o__Enterobacteriales(100),gamII(100),gamII-A(100),gamII-A1(100)
612505,k__Bacteria(100),p__Actinobacteria(100),c__Actinobacteria(100),o__Actinomycetales(100),acI(100),acI-A(100),acI-A5(100)
654895,k__Bacteria(100),p__Proteobacteria(100),c__Gammaproteobacteria(100),o__Methylococcales(100),gamI(100),unclassified(100),unclassified(100)
658434,k__Bacteria(100),p__Actinobacteria(100),c__Actinobacteria(100),o__Actinomycetales(100),Luna1(99),Luna1-A(99),Luna1-A2(98)
475350,k__Bacteria(100),p__Actinobacteria(100),c__Actinobacteria(100),o__Actinomycetales(100),acIII(99),unclassified(99),unclassified(99)
656384,k__Bacteria(100),p__Proteobacteria(100),c__Betaproteobacteria(90),unclassified,unclassified,unclassified,unclassified
656385,k__Bacteria(100),p__Actinobacteria(100),c__Acidimicrobiia(100),o__Acidimicrobiales(100),acIV(100),acIV-D(100),Iamia(100)
656380,k__Bacteria(100),p__Proteobacteria(100),c__Betaproteobacteria(100),o__Burkholderiales(100),betIII(100),betIII-A(100),betIII-A1(100)
660044,k__Bacteria(100),p__Bacteroidetes(100),unclassified(100),unclassified(100),unclassified(100),unclassified(100),unclassified(100)
660042,k__Bacteria(100),p__Proteobacteria(100),c__Betaproteobacteria(100),o__Burkholderiales(100),betI(95),unclassified,unclassified
639885,k__Bacteria(100),p__Proteobacteria(100),c__Betaproteobacteria(100),unclassified(75),unclassified(75),unclassified(75),unclassified(75)
660040,k__Bacteria(100),p__Verrucomicrobia(100),c__[Spartobacteria](100),o__[Chthoniobacterales](100),verI-A(100),Xip-A1(100),unclassified(100)
654297,k__Bacteria(100),p__Bacteroidetes(100),c__[Saprospirae](100),o__[Saprospirales](100),bacI(100),bacI-A(99),unclassified
659972,k__Bacteria(100),p__Proteobacteria(100),c__Betaproteobacteria(100),o__Burkholderiales(100),betI(100),betI-A(100),Lhab-A4(93)
659970,k__Bacteria(100),p__Proteobacteria(100),c__Gammaproteobacteria(100),o__Methylococcales(100),gamI(100),unclassified(100),unclassified(100)
407623,k__Bacteria(100),p__Bacteroidetes(100),c__Flavobacteriia(100),o__Flavobacteriales(100),bacV(100),unclassified(100),unclassified(100)
649518,k__Bacteria(100),p__Bacteroidetes(100),c__[Saprospirae](100),o__[Saprospirales](100),bacI(100),bacI-A(100),bacI-A2(93)
659875,k__Bacteria(100),p__Proteobacteria(100),c__Alphaproteobacteria(100),o__Rickettsiales(100),alfV(100),alfV-A(100),LD12(100)
659874,k__Bacteria(100),p__Bacteroidetes(100),c__[Saprospirae](100),o__[Saprospirales](100),bacI(100),bacI-B(100),bacI-B1(100)
655167,k__Bacteria(100),p__Proteobacteria(100),c__Betaproteobacteria(100),o__Burkholderiales(99),betI(99),unclassified(75),unclassified(75)
659694,k__Bacteria(100),p__Proteobacteria(100),c__Alphaproteobacteria(100),o__Rhodospirillales(100),alfVIII(100),unclassified(100),unclassified(100)
658050,k__Bacteria(100),p__Actinobacteria(100),c__Actinobacteria(100),o__Actinomycetales(100),acIII(100),unclassified(100),unclassified(100)
650538,k__Bacteria(100),p__Proteobacteria(100),c__Betaproteobacteria(100),unclassified(89),unclassified(89),unclassified(89),unclassified(89)
599735,k__Bacteria(100),p__Proteobacteria(100),c__Gammaproteobacteria(99),o__Enterobacteriales(98),gamII(98),gamII-A(98),unclassified
655646,k__Bacteria(100),p__Proteobacteria(100),c__Gammaproteobacteria(100),o__Methylococcales(100),gamI(100),unclassified(100),unclassified(100)
631053,k__Bacteria(100),p__Bacteroidetes(100),c__Flavobacteriia(100),o__Flavobacteriales(100),bacV(100),unclassified(100),unclassified(100)
656277,k__Bacteria(100),p__Actinobacteria(100),c__Actinobacteria(100),o__Actinomycetales(100),acI(100),acI-A(99),acI-A1(94)
659907,k__Bacteria(100),p__Proteobacteria(100),c__Betaproteobacteria(100),o__Burkholderiales(100),betII(100),Pnec(100),PnecC(100)
659906,k__Bacteria(100),p__Proteobacteria(100),c__Betaproteobacteria(100),o__Burkholderiales(100),betII(100),Pnec(100),PnecC(97)
