"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"CBU01JUL05",212,0.00917190775681342,0.0154706593385839,0.00207904520051029,1,-3.02963667178783,0.001,999
"CBU02AUG05",234,0.00830959164292498,0.0145176040237769,0.00190797005265223,2,-3.25372632144947,0.002,999
"CBU03JUN05",252,0.00595238095238095,0.0138030446672422,0.00166637787473532,1,-4.71121456536873,0.001,999
"CBU05AUG05",250,0.00755555555555555,0.0139677455233011,0.00175243506936913,1,-3.65901714695421,0.001,999
"CBU05JUL05",160,0.00972222222222222,0.0188024830385942,0.00266276198338747,1,-3.41009105320798,0.001,999
"CBU07JUN05",273,0.00997150997150997,0.0129798092761056,0.00168533357013257,37.5,-1.78498746948889,0.0375,999
"CBU08JUL05",147,0.0143613000755858,0.0198217870175542,0.00295436305272152,31.5,-1.84827891647856,0.0315,999
"CBU10AUG05",210,0.00873015873015873,0.0156322989656323,0.00208411240868858,1,-3.31178884915171,0.001,999
"CBU10JUN05",202,0.00852585258525853,0.0159430607725437,0.00216861212099107,1,-3.42025580115982,0.001,999
"CBU12JUL05",222,0.00625625625625626,0.015018271524778,0.00198137849702392,1,-4.42218146693452,0.001,999
"CBU12JUN05",213,0.0109546165884194,0.0154024655850425,0.00212097459338575,15,-2.09707792374964,0.015,999
"CBU14JUL05",223,0.010214250124564,0.0149903266495195,0.0019290241162451,4.5,-2.47590296292004,0.0045,999
"CBU14JUN05",197,0.00676818950930626,0.0161297789611382,0.00219892289202397,1,-4.25735230907311,0.001,999
"CBU17JUN05",168,0.0125661375661376,0.0181557218594256,0.00250792688926261,13.5,-2.22876684213528,0.0135,999
"CBU19JUL05",199,0.00781686208821887,0.0161557425655695,0.00218308403714965,1,-3.81977071676923,0.001,999
"CBU21JUN05",196,0.00651927437641723,0.0163190401285639,0.00220600013786971,1,-4.44232327274927,0.001,999
"CBU24JUN05",172,0.0106589147286822,0.0177031036204163,0.00252444026885183,1.5,-2.79039634197325,0.0015,999
"CBU24MAY05",241,0.00668510834485938,0.0141667716587034,0.00186255147307006,1,-4.01688942400714,0.001,999
"CBU27MAY05",201,0.0118850193477059,0.016056133524348,0.00224665503031542,29.5,-1.85658862636178,0.0295,999
"CBU28JUL05",201,0.00884466556108347,0.0160768839596921,0.00214124610789688,1.5,-3.37757456834895,0.0015,999
"CBU28JUN05",136,0.0130718954248366,0.0208431470686373,0.0030808124220512,2,-2.52246829056427,0.002,999
"CBU30AUG05",181,0.0116635972989564,0.0172468355402671,0.00241189341666326,14.5,-2.31487768188149,0.0145,999
"CBU31MAY05",232,0.00718390804597701,0.0145571817027756,0.00196187076664217,1,-3.75828713193899,0.001,999
"CBE01OCT07.R1",125,0.012,0.0221848515181849,0.00321113309077197,1,-3.17173135783556,0.001,999
"CBE01OCT07.R2",102,0.0125272331154684,0.0255745942020452,0.00391279085066718,1,-3.33454089025792,0.001,999
"CBE02AUG07.R1",175,0.0107936507936508,0.0176093553871332,0.00229163775874252,2,-2.97416315797761,0.002,999
"CBE02AUG07.R2",151,0.0121412803532009,0.0196642558673464,0.00267145757238456,2.5,-2.81605651982353,0.0025,999
"CBE02AUG09",166,0.0120481927710843,0.0182384526427364,0.00264137268360395,9,-2.34357684929412,0.009,999
"CBE02JUL07.R1",127,0.00962379702537183,0.0219602804904642,0.00330706532877734,1,-3.73034162879792,0.001,999
"CBE02JUL07.R2",112,0.00942460317460317,0.0239401107456663,0.0036534433008964,1,-3.9731032824573,0.001,999
"CBE03JUN09",123,0.016260162601626,0.0224348106010256,0.00332981080384053,25,-1.8543540048215,0.025,999
"CBE05JUL07.R1",131,0.0106022052586938,0.0214408641041381,0.00308327460916933,1,-3.51530765803708,0.001,999
"CBE05JUL07.R2",127,0.0113735783027122,0.0219094860389699,0.00318458279531297,1,-3.30841068153866,0.001,999
"CBE06AUG07",136,0.00939542483660131,0.0208623656336075,0.00312287241302727,1,-3.67192100105372,0.001,999
