"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"CBE06NOV07.R1",191,0.0087260034904014,0.0167034399146092,0.00232271064654211,1.5,-3.4345373308053,0.0015,999
"CBE06NOV07.R2",147,0.0120937263794407,0.0199621390097581,0.00279900390463929,1,-2.81114742901061,0.001,999
"CBE07JUL09",143,0.013986013986014,0.0202257424479647,0.00292803753190572,13,-2.13102748648496,0.013,999
"CBE08JUN09",126,0.0110229276895944,0.0221147072998925,0.00329460704512773,1,-3.36664720810979,0.001,999
"CBE09AUG07.R1",110,0.0126262626262626,0.0243470743470743,0.003754486938304,3,-3.12181448848143,0.003,999
"CBE09AUG07.R2",98,0.0102040816326531,0.0262751413545064,0.00418911953940625,1,-3.83638126596197,0.001,999
"CBE10JUL07.R1",157,0.0109695682944091,0.0189775763024171,0.00270030645745795,3.5,-2.96559228893845,0.0035,999
"CBE10JUL07.R2",140,0.0107142857142857,0.0204533898978343,0.00299401523458035,1,-3.25285725705858,0.001,999
"CBE10SEP07.R1",217,0.00896057347670251,0.0151897929675707,0.00207747513628286,1,-2.99845682004836,0.001,999
"CBE10SEP07.R2",190,0.00906432748538012,0.0167088140772351,0.00225476653492436,1,-3.39036723911261,0.001,999
"CBE12AUG09",133,0.0112781954887218,0.0212016527806001,0.00304758288120216,1,-3.25617306524701,0.001,999
"CBE12JUL07.R1",179,0.0111731843575419,0.0173687032780763,0.00232764420721501,3,-2.66171217290433,0.003,999
"CBE12JUL07.R2",150,0.012962962962963,0.0196307418529641,0.00278078194241045,9.5,-2.39780717369781,0.0095,999
"CBE13JUL09",137,0.0117599351175994,0.020878948697278,0.0030010612293853,2.5,-3.03859631066123,0.0025,999
"CBE15JUN09",114,0.0165692007797271,0.0236337702224642,0.00350040030327378,21,-2.01821758389458,0.021,999
"CBE16JUL07.R1",160,0.0114583333333333,0.0186565037259482,0.00265754838498263,2.5,-2.70857548005166,0.0025,999
"CBE16JUL07.R2",169,0.0111768573307035,0.018059150537783,0.00256396700180191,6,-2.68423626444598,0.006,999
"CBE16OCT07.R1",180,0.0123456790123457,0.017237916929275,0.00238615016335529,17.5,-2.05026405800465,0.0175,999
"CBE16OCT07.R2",182,0.00946275946275946,0.0171756005089338,0.00233116690749756,1,-3.30857521242607,0.001,999
"CBE17SEP07.R1",121,0.012396694214876,0.0226870580405934,0.00348276282346671,1,-2.95465535476069,0.001,999
"CBE17SEP07.R2",94,0.0159574468085106,0.0267945250214754,0.00435051459264992,4,-2.49098767103866,0.004,999
"CBE18AUG09",164,0.0111788617886179,0.0184880001953173,0.00255379524151288,2,-2.86206908364721,0.002,999
"CBE18JUL07.R1",161,0.0144927536231884,0.0186528833871829,0.00260410823497833,50.5,-1.59752567428485,0.0505,999
"CBE18JUL07.R2",164,0.0128726287262873,0.0184449354503555,0.00262557573641847,17.5,-2.12231802982358,0.0175,999
"CBE19JUN07.R1",98,0.0153061224489796,0.0262008039785818,0.00420512957390307,4,-2.59080756921601,0.004,999
"CBE19JUN07.R2",98,0.018140589569161,0.0263483438086613,0.00417441990622269,25.5,-1.96620235239517,0.0255,999
"CBE20AUG07",177,0.0109855618330195,0.0175071493338913,0.00237619408529105,3,-2.74455169350068,0.003,999
"CBE21JUL09",134,0.0174129353233831,0.0212181501567903,0.00308846623822271,118.5,-1.23207266646274,0.1185,999
"CBE21JUN07.R1",109,0.0142711518858308,0.0243377934509433,0.00384914362500968,3.5,-2.61529382788027,0.0035,999
"CBE21JUN07.R2",114,0.0116959064327485,0.0236581610850617,0.0035943108690558,1,-3.32810797065406,0.001,999
"CBE23AUG07.R1",170,0.0117647058823529,0.0179790902013124,0.00252615119438989,5.5,-2.46002073540193,0.0055,999
"CBE23AUG07.R2",146,0.0140791476407915,0.0200996277860814,0.00281237023088437,13.5,-2.14071393558902,0.0135,999
"CBE23JUN09",131,0.0139949109414758,0.0214544485112763,0.00309457211202702,8,-2.41052310295472,0.008,999
"CBE23OCT07.R1",192,0.00983796296296296,0.0166607579802024,0.00226386808840548,1,-3.01377763668421,0.001,999
"CBE23OCT07.R2",173,0.00802825947334618,0.0178511845178512,0.00255221363035295,1,-3.8487863741824,0.001,999
"CBE24AUG09",163,0.0143149284253579,0.0184942952495781,0.00248160335218347,45.5,-1.68413973995603,0.0455,999
"CBE25JUL07.R1",162,0.00960219478737997,0.0186218454394037,0.00257821272397694,1,-3.49841212408214,0.001,999
"CBE25JUL07.R2",151,0.0103016924208977,0.0195541383915188,0.00275245660512432,1,-3.36152292224901,0.001,999
"CBE25SEP07.R1",150,0.01,0.0196778259741223,0.00287325900009474,1,-3.36824002771876,0.001,999
"CBE25SEP07.R2",123,0.0112917795844625,0.0224131086823047,0.00334041670727557,1,-3.32932387555704,0.001,999
"CBE27AUG07.R1",130,0.0123931623931624,0.0215416270971827,0.00325598634858607,2,-2.80973681231588,0.002,999
"CBE27AUG07.R2",119,0.0112044817927171,0.0229253529907125,0.00342194966165189,1,-3.42520269346608,0.001,999
"CBE27JUL07.R1",168,0.0119047619047619,0.0180031221697888,0.00251409594463756,6.5,-2.42566727735051,0.0065,999
"CBE27JUL07.R2",176,0.0126262626262626,0.0175238369682814,0.00235601052008947,19,-2.07875741651307,0.019,999
"CBE27JUL09",143,0.0116550116550117,0.0203280203280203,0.00297267578165737,2.5,-2.91757638909856,0.0025,999
"CBE27JUN07.R1",111,0.0125125125125125,0.0240515791066342,0.00357000125065199,2,-3.23223040664601,0.002,999
"CBE27JUN07.R2",99,0.015712682379349,0.0259389580377235,0.00403809568938087,5.5,-2.53245005690847,0.0055,999
"CBE29JUN07.R1",102,0.0119825708061002,0.0254393827378577,0.00394148148271575,1,-3.41415074275206,0.001,999
"CBE29JUN07.R2",90,0.0172839506172839,0.0275405034664294,0.00430595780359376,10.5,-2.38194457934198,0.0105,999
"CBE29JUN09",133,0.0146198830409357,0.0213492523434044,0.00311156427931378,16,-2.16269654051717,0.016,999
"CBE29MAY09",149,0.0134228187919463,0.0196318615408847,0.00286999819154774,13.5,-2.16343089247381,0.0135,999
"CBE29OCT07",168,0.00992063492063492,0.0181563838971246,0.00258143828737887,1,-3.19037221100958,0.001,999
"CBE31JUL07.R1",166,0.0123828647925033,0.0183443148637258,0.00254680385151475,7.5,-2.34075744297183,0.0075,999
"CBE31JUL07.R2",142,0.00821596244131455,0.020310216319606,0.00294095317411446,1,-4.11235853217319,0.001,999
"CBH01OCT07.R1",166,0.0110441767068273,0.0184086362131878,0.00251257574696406,3,-2.93103979661466,0.003,999
"CBH01OCT07.R2",141,0.0102442868400315,0.0204585988667943,0.00302553645778899,1,-3.37603336441935,0.001,999
"CBH02AUG09",200,0.00805555555555556,0.0161447558669781,0.00224417775706192,1,-3.60452744260906,0.001,999
"CBH02JUL07.R1",131,0.0165394402035623,0.0214005353954463,0.00319932794260834,62.5,-1.51941135109796,0.0625,999
"CBH02JUL07.R2",127,0.0153105861767279,0.0219383863303373,0.00331643364818682,23.5,-1.9984721109174,0.0235,999
"CBH03JUN09",139,0.0171862509992006,0.0206493463887549,0.00313139799489157,141.5,-1.10592629720137,0.1415,999
"CBH05JUL07.R1",134,0.00912106135986733,0.0211712541729125,0.00317965007421762,1,-3.78978583547759,0.001,999
"CBH05JUL07.R2",126,0.013668430335097,0.0220807226980066,0.00340964233927865,6.5,-2.46720668206196,0.0065,999
"CBH06AUG07.R1",187,0.0089126559714795,0.0169010365088796,0.00231889952251115,2,-3.44490154051586,0.002,999
"CBH06AUG07.R2",158,0.0070323488045007,0.0189422896877187,0.00265408406020381,1,-4.48740153403558,0.001,999
"CBH06NOV07.R1",205,0.00921409214092141,0.0158239540353361,0.00214731497687128,1,-3.07819857152283,0.001,999
"CBH06NOV07.R2",192,0.0109953703703704,0.0165617005894784,0.00224319501508448,5,-2.48142947076688,0.005,999
"CBH07JUL09",179,0.0114835505896958,0.0174137514298905,0.00245465434781593,2,-2.41590057087717,0.002,999
"CBH08JUN09",144,0.0115740740740741,0.0202447818188559,0.0029204942783483,2.5,-2.96891790169353,0.0025,999
"CBH09AUG07.R1",173,0.0128452151573539,0.0177965377066212,0.00249917504284637,21,-1.98118277606844,0.021,999
"CBH09AUG07.R2",174,0.0118135376756066,0.0176162752791105,0.00247720742533581,12.5,-2.34245123930923,0.0125,999
"CBH10JUL07.R1",177,0.0109855618330195,0.0175627605006136,0.00243317860113855,2,-2.70313024474097,0.002,999
"CBH10JUL07.R2",165,0.00673400673400673,0.0183203405425628,0.00262084151025367,1,-4.42084489398773,0.001,999
"CBH10SEP07.R1",218,0.00968399592252803,0.0151377167177371,0.00200610635660383,5.5,-2.71856014874593,0.0055,999
"CBH10SEP07.R2",194,0.0111683848797251,0.0164356796659202,0.00221223873488447,9,-2.38097936860789,0.009,999
"CBH12AUG09",199,0.00921273031825796,0.0162711566955006,0.0021793918478774,1,-3.23871376508872,0.001,999
"CBH12JUL07.R1",176,0.0113636363636364,0.0175380557325002,0.0024969858260967,8,-2.47274906582698,0.008,999
"CBH12JUL07.R2",169,0.00920447074293228,0.0180430265900351,0.0025725745427667,1,-3.43568503076197,0.001,999
"CBH13JUL09",162,0.00685871056241427,0.0186328303612254,0.00263699931530914,1,-4.4649688494253,0.001,999
"CBH15JUN09",139,0.013189448441247,0.0207089583588385,0.0030763922076262,4.5,-2.44426243797882,0.0045,999
"CBH16JUL07.R1",205,0.00975609756097561,0.0157914011572548,0.00217552757025159,4,-2.77417932036654,0.004,999
"CBH16JUL07.R2",184,0.00845410628019324,0.0169804466302051,0.00240621047055189,1,-3.54347238296916,0.001,999
"CBH16OCT07.R1",191,0.00959860383944154,0.0166973255978492,0.00224299109755032,1,-3.16484615840004,0.001,999
"CBH16OCT07.R2",155,0.0118279569892473,0.0192830823655196,0.00277512546912183,5,-2.68641020351107,0.005,999
"CBH17SEP07.R1",147,0.0105820105820106,0.0198546997488796,0.00287932698769102,1,-3.22043630560521,0.001,999
"CBH17SEP07.R2",124,0.00627240143369176,0.0222538847090818,0.00329735043735722,1,-4.84676517676993,0.001,999
"CBH18AUG09",204,0.00953159041394335,0.0159694007733223,0.00217223178788043,2,-2.96368481268785,0.002,999
"CBH18JUL07.R1",188,0.00945626477541371,0.0167478353057549,0.00225679955568476,1,-3.23093405082172,0.001,999
"CBH18JUL07.R2",185,0.0102102102102102,0.0169121073024977,0.00238803670658426,2,-2.80644643099878,0.002,999
"CBH19JUN07.R1",117,0.00997150997150997,0.0232079182696467,0.0035975175296517,1,-3.67931724836327,0.001,999
"CBH19JUN07.R2",106,0.009958071278826,0.0248576668912099,0.00380410716353932,1,-3.91671290314582,0.001,999
"CBH20AUG07.R1",221,0.00955253896430367,0.0150275967269431,0.00197255585463228,2,-2.77561608700814,0.002,999
"CBH20AUG07.R2",233,0.00882212684787792,0.0145293123357024,0.00186331240815588,1,-3.06292464046482,0.001,999
"CBH21JUL09",182,0.00793650793650794,0.017184156073045,0.00234634169108342,1,-3.94130495642642,0.001,999
"CBH21JUN07.R1",112,0.00942460317460317,0.0238676176176176,0.00353712705677583,1,-4.08326141842911,0.001,999
"CBH21JUN07.R2",111,0.013013013013013,0.0239859479098718,0.0036300409756449,1,-3.02281295734118,0.001,999
"CBH23AUG07.R1",139,0.0147881694644285,0.0206121389174946,0.00307751749385213,20.5,-1.89242448327282,0.0205,999
"CBH23AUG07.R2",128,0.0182291666666667,0.0218677879268157,0.00326553278573577,123.5,-1.11425041452438,0.1235,999
"CBH23JUN09",161,0.010351966873706,0.0185824195486031,0.00263456278795547,1,-3.12402980582759,0.001,999
"CBH23OCT07.R1",190,0.010233918128655,0.0167073506254793,0.00223810951622604,1,-2.89236628051159,0.001,999
"CBH23OCT07.R2",166,0.0130522088353414,0.0183041140203121,0.00268738957244587,19.5,-1.95427757807026,0.0195,999
"CBH24AUG09",183,0.00941105039465695,0.0171327976428159,0.00245037883757581,1,-3.1512463010814,0.001,999
"CBH25JUL07.R1",196,0.0130385487528345,0.016192780081669,0.00227256685107113,82,-1.38795975456028,0.082,999
"CBH25JUL07.R2",191,0.0104712041884817,0.016475463246842,0.00221784163162771,1.5,-2.70725329200068,0.0015,999
"CBH25SEP07.R1",125,0.00622222222222222,0.0221327994661328,0.00335720859681731,1,-4.7392280774552,0.001,999
"CBH25SEP07.R2",111,0.0115115115115115,0.0240786331877423,0.0035465512848211,1,-3.54347665294362,0.001,999
"CBH27AUG07.R1",133,0.0146198830409357,0.0213254189862377,0.00297307821274791,11.5,-2.25541861514109,0.0115,999
"CBH27AUG07.R2",109,0.017329255861366,0.0242857536435518,0.00366032695334265,26,-1.90051267847347,0.026,999
"CBH27JUL07.R1",219,0.00989345509893455,0.0150840845919486,0.00202704652088416,5.5,-2.56068592384847,0.0055,999
"CBH27JUL07.R2",195,0.0105413105413105,0.0164549164549165,0.00221539651446399,4.5,-2.66932166544312,0.0045,999
"CBH27JUL09",201,0.00967385295743505,0.0160865674961861,0.0022255651801778,1,-2.88138698244672,0.001,999
"CBH27JUN07.R1",113,0.0167158308751229,0.0236627975074386,0.00362710389692227,25.5,-1.91529298022327,0.0255,999
"CBH27JUN07.R2",124,0.00985663082437276,0.0222417758260052,0.0033233092611977,1.5,-3.72675066574121,0.0015,999
"CBH29JUN07.R1",122,0.0150273224043716,0.0225398440334688,0.00339902540160106,12.5,-2.21019873095346,0.0125,999
"CBH29JUN07.R2",104,0.0122863247863248,0.0250795667462334,0.00392802731253295,1,-3.2569126795758,0.001,999
"CBH29JUN09",171,0.00909681611435997,0.0178947628590254,0.00261664249279996,1,-3.36230370364852,0.001,999
"CBH29MAY09",177,0.014752040175769,0.0174741596587171,0.00239488334768641,128,-1.13663969711837,0.128,999
"CBH29OCT07.R1",184,0.0105676328502415,0.0171696454909015,0.00237933867505165,2.5,-2.77472589752977,0.0025,999
"CBH29OCT07.R2",142,0.0105633802816901,0.0203493791130724,0.00289875806177264,1,-3.37592811226127,0.001,999
"CBH31JUL07",177,0.014752040175769,0.0175696726230311,0.00246945151547253,116.5,-1.14099524919116,0.1165,999
"FBE02JUL07.R1",146,0.0136986301369863,0.0201091502461365,0.00297251191480066,11,-2.15660030738015,0.011,999
"FBE02JUL07.R2",128,0.00911458333333333,0.0218356377210544,0.00315616637414777,1,-4.03053986377889,0.001,999
"FBE02OCT07.R1",161,0.0169082125603865,0.018791047776555,0.00273193481906353,252,-0.6891947798425,0.252,999
"FBE02OCT07.R2",148,0.0213963963963964,0.0198817436054673,0.00289044787808835,696,0.524020101663557,0.696,999
"FBE05JUL07.R1",121,0.0133149678604224,0.0227913864277501,0.0034955420840574,3,-2.71100113786301,0.003,999
"FBE05JUL07.R2",99,0.0151515151515152,0.02614960639652,0.00410085574354152,2,-2.68190151831745,0.002,999
"FBE05JUN07.R1",94,0.00945626477541371,0.0270743556795566,0.00424517152459421,1,-4.15014818649219,0.001,999
"FBE05JUN07.R2",68,0.011437908496732,0.0327819649715075,0.00566498333449412,1,-3.76771743436761,0.001,999
"FBE06AUG07.R1",126,0.0110229276895944,0.0222051857854327,0.00334527025873843,1,-3.34270693574856,0.001,999
"FBE06AUG07.R2",97,0.0148911798396334,0.0264267704130247,0.00424053128503011,1,-2.72031728998536,0.001,999
"FBE06NOV07.R1",145,0.0122605363984674,0.0201707454581018,0.00294837463440178,2,-2.68290500377315,0.002,999
"FBE06NOV07.R2",127,0.0122484689413823,0.0219099239221724,0.00323769108840657,1,-2.98405706936821,0.001,999
"FBE07JUN07.R1",228,0.0112085769980507,0.0146762259335359,0.00202302546809949,50,-1.71409059854439,0.05,999
"FBE07JUN07.R2",200,0.01,0.0160830274719164,0.00227739195979153,7.5,-2.67104985848514,0.0075,999
"FBE09AUG07.R1",135,0.0106995884773663,0.0210622144778523,0.00314077523936483,1,-3.29938477309881,0.001,999
"FBE09AUG07.R2",125,0.0124444444444444,0.0222480258035814,0.00321186328132469,2,-3.05230344521189,0.002,999
"FBE10JUL07.R1",117,0.0104463437796771,0.0232901467469369,0.00356946239190616,1,-3.59824577403683,0.001,999
"FBE10JUL07.R2",112,0.00892857142857143,0.0240687115687116,0.00366898103869467,1,-4.1265244983459,0.001,999
"FBE10SEP07.R1",110,0.0217171717171717,0.0243961132850022,0.00364672216477596,238.5,-0.734616306585297,0.2385,999
"FBE10SEP07.R2",79,0.0133614627285513,0.0299849779455968,0.00491854286248669,1,-3.37976422729414,0.001,999
"FBE11JUN07.R1",74,0.0112612612612613,0.0315337860382905,0.00526722349469579,1,-3.84880664309084,0.001,999
"FBE11JUN07.R2",67,0.0107794361525705,0.0333567398244015,0.00554026573903139,1,-4.07513009940535,0.001,999
"FBE12JUL07.R1",99,0.00953984287317621,0.0258170628540999,0.00391634321384688,1,-4.15622918935523,0.001,999
"FBE12JUL07.R2",92,0.0114734299516908,0.0272718370544458,0.00418813753174154,1,-3.77217963426944,0.001,999
"FBE13JUN07.R1",94,0.0118203309692671,0.027061340300111,0.00415353843604141,1,-3.66940370614928,0.001,999
"FBE13JUN07.R2",72,0.0123456790123457,0.031730804878953,0.00527188695800469,1,-3.67707540412517,0.001,999
"FBE16JUL07.R1",115,0.0111111111111111,0.0234891896727645,0.00358520777468709,2,-3.45254148143026,0.002,999
"FBE16JUL07.R2",89,0.00998751560549313,0.027819329941677,0.00440262189760768,1,-4.05027157700583,0.001,999
"FBE16OCT07.R1",155,0.0125448028673835,0.0191951808439264,0.00284463995990753,12,-2.3378628122622,0.012,999
"FBE16OCT07.R2",147,0.0151171579743008,0.0199750014564829,0.00281854693798556,49.5,-1.72352761513848,0.0495,999
"FBE17SEP07.R1",94,0.0124113475177305,0.026672062133055,0.0042713287274794,1,-3.33870688143923,0.001,999
"FBE17SEP07.R2",85,0.0169934640522876,0.0285645122246429,0.00455811798748487,4.5,-2.53855828307335,0.0045,999
"FBE18JUL07.R1",107,0.0114226375908619,0.0247547651493654,0.00365153740664896,1,-3.65109981736116,0.001,999
"FBE18JUL07.R22",80,0.0111111111111111,0.0298506840173507,0.00479982796385869,1,-3.90421761932784,0.001,999
"FBE19JUN07.R1",137,0.0101378751013788,0.0210360400952453,0.00309538108416336,1,-3.52078296582735,0.001,999
"FBE19JUN07.R2",133,0.0162907268170426,0.0213128751140447,0.0031138273372479,59,-1.61285381399498,0.059,999
"FBE20AUG07.R1",135,0.0139917695473251,0.0212595311360743,0.00312788353922651,11,-2.32353970267911,0.011,999
"FBE20AUG07.R2",116,0.0129310344827586,0.0234180540693951,0.00349370123665413,2,-3.00169329781608,0.002,999
"FBE21JUN07.R1",146,0.00875190258751903,0.0200150683407913,0.00295700583291711,1,-3.80897650856546,0.001,999
"FBE21JUN07.R2",128,0.0121527777777778,0.0218608365309754,0.00323282624864341,2,-3.00296335358927,0.002,999
"FBE22OCT07.R1",116,0.0138888888888889,0.023297243603757,0.00348020478121445,5,-2.70339112389386,0.005,999
"FBE22OCT07.R2",103,0.0183387270765912,0.0253754293667994,0.0039092152811363,34.5,-1.8000293624563,0.0345,999
"FBE25JUL07.R1",110,0.0121212121212121,0.0241792297347853,0.00362753334535635,1,-3.32402667752421,0.001,999
"FBE25JUL07.R2",98,0.0136054421768707,0.0262144230398199,0.00394250267820305,1,-3.19821745021519,0.001,999
"FBE25SEP07.R1",134,0.0120232172470978,0.0213683833086818,0.00304340805558723,2.5,-3.07062539458936,0.0025,999
"FBE25SEP07.R2",144,0.0119598765432099,0.020285717816582,0.00296946992081125,2.5,-2.80381397872437,0.0025,999
"FBE27AUG07.R1",124,0.0125448028673835,0.022379009834207,0.00327724661985204,2,-3.00075279878309,0.002,999
"FBE27AUG07.R2",116,0.0119731800766284,0.0233284050333859,0.00346627449960578,1,-3.27591624900133,0.001,999
"FBE27JUL07.R1",124,0.0129928315412186,0.0224368633866842,0.00322800147779236,1.5,-2.92565908362729,0.0015,999
"FBE27JUL07.R2",101,0.0137513751375138,0.0258206501330814,0.00404972904269861,1,-2.980267289074,0.001,999
"FBE27JUN07.R1",148,0.00788288288288288,0.0201056912768624,0.00285689543835282,1,-4.27835342865289,0.001,999
"FBE27JUN07.R2",152,0.00950292397660819,0.0195235440118481,0.00278975778599932,1,-3.59193191807884,0.001,999
"FBE28MAY07.R1",73,0.0167427701674277,0.0318773872807358,0.00535398835392928,2,-2.82679305833769,0.002,999
"FBE28MAY07.R2",58,0.00862068965517241,0.0364953075681045,0.00637209354622717,1,-4.37448347402813,0.001,999
"FBE29JUN07.R1",144,0.00925925925925926,0.0201393523152782,0.00298253223692779,1,-3.64793812496264,0.001,999
"FBE29JUN07.R2",114,0.0107212475633528,0.0237274311348385,0.00358995836925423,1,-3.62293437240822,0.001,999
"FBE31JUL07.R1",73,0.00989345509893455,0.0316282797256922,0.00494160437600634,1,-4.3983336125186,0.001,999
"FBE31JUL07.R2",64,0.00954861111111111,0.0340939898231565,0.00588447268027308,1,-4.1712112615172,0.001,999
"FBE31MAY07.R1",81,0.0130315500685871,0.029712153854815,0.00484612163796469,1,-3.44205222905498,0.001,999
"FBE31MAY07.R2",77,0.0165945165945166,0.0306728084505862,0.00520048894385327,3.5,-2.70710927531333,0.0035,999
"FBH02AUG07.R1",204,0.00925925925925926,0.0159860296025873,0.00223061807200039,1,-3.01565311774578,0.001,999
"FBH02AUG07.R2",181,0.0128913443830571,0.0173110495394105,0.00243754518760374,28,-1.81317875821545,0.028,999
"FBH02JUL07.R1",204,0.011437908496732,0.0158497277233661,0.00221199138902029,21,-1.99450108555263,0.021,999
"FBH02JUL07.R2",124,0.00985663082437276,0.022474983944518,0.00342711483641578,1,-3.68191721679861,0.001,999
"FBH02OCT07.R1",188,0.0153664302600473,0.0170312156127759,0.00232231582090927,247.5,-0.716864320407891,0.2475,999
"FBH02OCT07.R2",184,0.0147946859903382,0.0171034561131179,0.00244463390973735,173.5,-0.944423667520769,0.1735,999
"FBH05JUL07.R1",161,0.0113871635610766,0.0187527071585043,0.00262612112293977,3,-2.80472348860376,0.003,999
"FBH05JUL07.R2",139,0.0159872102318145,0.020734963580687,0.0029816159844139,44.5,-1.59234233170564,0.0445,999
"FBH05JUN07.R1",160,0.00972222222222222,0.0187903180958736,0.00266022819344434,2,-3.40876617126236,0.002,999
"FBH05JUN07.R2",120,0.00833333333333333,0.0228594335075817,0.00346165983232316,1,-4.19628180637833,0.001,999
"FBH06AUG07.R1",172,0.0138888888888889,0.017852801121535,0.00263779016450952,63.5,-1.50273978801614,0.0635,999
"FBH06AUG07.R2",131,0.0161153519932146,0.0215588786411518,0.00321031370313385,42.5,-1.69563698482902,0.0425,999
"FBH06NOV07.R1",189,0.012933568489124,0.0167872163756937,0.00239254384877408,52.5,-1.61069059969132,0.0525,999
"FBH06NOV07.R2",156,0.0128205128205128,0.0190945931686672,0.00283271857152843,13.5,-2.21486186845916,0.0135,999
"FBH07JUN07",63,0.0114638447971781,0.0345707259287506,0.00591800941727174,1,-3.90450225782591,0.001,999
"FBH09AUG07.R1",172,0.0145348837209302,0.0178055962939684,0.00237785119323243,80.5,-1.37549085592357,0.0805,999
"FBH09AUG07.R2",142,0.00938967136150235,0.0204680423772756,0.00296470627692327,1,-3.73675163101493,0.001,999
"FBH10JUL07.R1",207,0.00912506709608159,0.0157274827162106,0.00211721221548919,1,-3.11844772660329,0.001,999
"FBH10JUL07.R2",142,0.00821596244131455,0.0203787512081722,0.00303889924767274,1,-4.00236657275564,0.001,999
"FBH10SEP07.R1",348,0.00862068965517241,0.0110949071677041,0.00141272582648686,35.5,-1.7513784105473,0.0355,999
"FBH10SEP07.R2",334,0.00898203592814371,0.0113982911720769,0.00142290356560391,40,-1.69811595271934,0.04,999
"FBH12JUL07.R1",134,0.00953565505804312,0.0211583889029992,0.00316183531412281,1,-3.67594535776149,0.001,999
