"","s.1","s.2","s.3","s.4","s.5","s.6","index","stat","p.value"
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;betII;Pnec;PnecC1",1,1,0,0,0,1,25,0.437217998420969,3e-04
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;betIII;betIII-A;betIII-A11",0,1,1,0,0,0,12,0.341247577143185,0.0082
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;betI;betI-A;Lhab-A11",0,0,0,0,0,1,6,0.761935610884006,1e-04
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;acI;acI-B;acI-B31",0,0,0,0,0,1,6,0.549639711972177,1e-04
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;acI;acI-B;acI-B21",1,1,0,0,0,1,25,0.498307817859359,3e-04
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;gamIII;gamIII-A;Acin1",0,0,0,1,0,0,4,0.249081598608685,0.0821
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;acI;acI-A;Phila1",0,0,0,0,0,1,6,0.55499316703532,1e-04
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__veronii1",0,1,1,0,0,0,12,0.310372729286139,0.0208
"k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];bacI;bacI-A;bacI-A21",0,1,1,1,1,0,52,0.350894100988484,0.007
"k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];bacI;bacI-A;bacI-A31",0,1,1,1,1,0,52,0.290849527413788,0.0351
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__putealis1",0,1,1,1,0,0,32,0.23785522559243,0.1467
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Telmatospirillum;s__siberiense1",0,0,1,1,1,0,38,0.398664375425549,0.0019
"k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;bacVI;bacVI-A;Muci1",0,1,1,1,1,0,52,0.260390053701086,0.0745
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;betI;betI-A;Lhab-A41",0,0,0,0,0,1,6,0.601300135947514,1e-04
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;alfI;alfI-A;alfI-A11",1,0,0,0,0,1,11,0.62242543166637,1e-04
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Methylophilales;betIV;betIV-A;LD281",1,0,0,0,0,1,11,0.414142140871871,0.0011
"k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;acV;acV-A;acV-A11",1,0,0,0,0,1,11,0.394947268754033,0.0018
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__Desulfosporosinus;s__meridiei1",0,1,1,1,1,0,52,0.357548371784516,0.0064
"k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;acV;acV-A;acV-A21",1,1,1,0,0,1,44,0.434621707264318,7e-04
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;acI;acI-B;acI-B41",1,1,1,0,0,1,44,0.357644064110357,0.0074
"k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria];o__[Chthoniobacterales];f__[Chthoniobacteraceae];g__CandidatusXiphinematobacter",0,0,0,1,1,0,19,0.35027728436944,0.0081
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Crenotrichaceae;g__Crenothrix",0,0,0,0,0,1,6,0.830990755798743,1e-04
"k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];bacI;bacI-B",0,0,0,0,0,1,6,0.457537097009063,0.001
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;alfIII;alfIII-A",0,0,1,1,1,1,56,0.239096266486048,0.1258
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium",1,0,0,0,0,0,1,0.574179871229653,1e-04
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;alfI;alfI-B",1,0,0,0,0,1,11,0.397280974114061,0.0025
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;betI;betI-B",1,1,0,0,0,0,7,0.466607601067359,3e-04
"k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Luteolibacter",0,1,1,1,1,0,52,0.602972371867058,1e-04
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Paludibacter",0,0,0,0,1,1,21,0.494338783175109,3e-04
"k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria];o__[Chthoniobacterales];f__[Chthoniobacteraceae];g__heteroC45_4W",0,1,1,1,1,0,52,0.312805559978444,0.0216
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Telmatospirillum",0,0,1,1,1,1,56,0.260392550774811,0.0796
"k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];bacI;bacI-A",0,0,0,0,0,1,6,0.462495397478021,4e-04
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;betII;Pnec",1,1,0,0,0,1,25,0.437217998420969,3e-04
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Rhodoplanes",0,0,0,1,0,1,20,0.259941968810084,0.0846
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;betIII;betIII-A",0,1,1,0,0,0,12,0.341247577143185,0.0082
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;betI;betI-A",0,0,0,0,0,1,6,0.727305466314809,1e-04
"k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__Sediminibacterium",0,0,0,0,0,1,6,0.692537416447387,1e-04
"k__Bacteria;p__Spirochaetes;c__[Leptospirae];o__[Leptospirales];f__Sediment-4;g__SJA-88",0,0,0,1,1,0,19,0.27590671089765,0.05
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;acI;acI-B",1,1,0,0,0,1,25,0.534608173076703,1e-04
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophaceae;g__Syntrophus",0,0,0,0,1,0,5,0.428619824402771,0.0013
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;gamIII;gamIII-A",0,0,0,1,0,0,4,0.249081598608685,0.0821
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;alfIV;alfIV-A",0,0,0,0,0,1,6,0.671416307079389,1e-04
