"","s.1","s.2","s.3","s.4","s.5","s.6","index","stat","p.value"
"k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__[Methanomassiliicoccaceae]",0,0,0,0,1,0,5,0.520651837045142,1e-04
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;betVII",0,0,1,0,1,1,40,0.191128453676672,0.3375
"k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolinaceae",0,0,0,0,1,0,5,0.45100202001005,4e-04
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae]",1,0,0,0,0,0,1,0.371839815877578,0.0038
"k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae",0,0,0,0,1,0,5,0.368566394287533,0.0046
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Methylophilales;betIV",0,0,0,0,0,1,6,0.605633233292385,1e-04
"k__Bacteria;p__Verrucomicrobia;c__Verruco-5;o__WCHB1-41;f__RFP12",0,0,0,0,1,0,5,0.47267456151594,1e-04
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Geobacteraceae",1,1,1,1,1,0,57,0.493561585846087,1e-04
"k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae",0,0,0,0,1,0,5,0.29063128431703,0.0298
"k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Opitutales;f__Opitutaceae",1,0,0,0,1,0,10,0.349971190430223,0.0068
"k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Rhabdochlamydiaceae",0,1,1,1,1,0,52,0.219782210660617,0.1964
"k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales;f__Spirochaetaceae",0,0,0,1,1,0,19,0.382484890469361,0.0023
"k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;acV",1,0,0,0,0,1,11,0.455011654940493,4e-04
"k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;acIV",1,0,0,0,0,0,1,0.350684961050031,0.0107
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__mitochondria",1,0,0,0,0,0,1,0.448348967636979,6e-04
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae",1,0,0,0,1,0,10,0.316044281073323,0.0184
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae",0,0,0,1,1,0,19,0.267661686192558,0.062
"k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Cryomorphaceae",0,1,1,1,0,0,32,0.167653526292941,0.5093
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae",0,1,1,1,1,0,52,0.357548371784516,0.0064
"k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae",1,0,0,0,0,0,1,0.738442234820319,1e-04
"k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes;o__Dehalococcoidales;f__Dehalococcoidaceae",0,0,0,0,1,0,5,0.436434326602894,0.0011
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae",0,0,1,1,0,0,16,0.182467027360983,0.3939
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;alfVIII",1,1,1,1,0,0,42,0.333445882601686,0.0105
"k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae];o__[Pedosphaerales];f__[Pedosphaeraceae]",0,1,0,0,0,0,2,0.164800576113097,0.528
"k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia];o__[Fimbriimonadales];f__[Fimbriimonadaceae]",0,1,1,1,1,0,52,0.30530943464932,0.022
"k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria];o__[Chthoniobacterales]",0,0,0,1,1,0,19,0.348111883893853,0.0087
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales",0,0,0,0,0,1,6,0.807919453066877,1e-04
"k__Bacteria;p__Verrucomicrobia;c__[Methylacidiphilae];o__S-BQ2-57",0,1,1,1,1,0,52,0.404044269747845,0.0016
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales",1,1,0,0,0,1,25,0.519175486892805,1e-04
"k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae];o__[Pedosphaerales]",0,0,1,1,1,0,38,0.656743080385249,1e-04
"k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales]",0,0,0,0,0,1,6,0.674192186766896,1e-04
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales",0,0,0,0,1,0,5,0.517578616469785,2e-04
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales",0,1,1,1,1,0,52,0.366926474163527,0.0047
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales",1,1,0,0,0,1,25,0.462049302032805,5e-04
"k__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales",0,1,1,1,1,0,52,0.688686237117877,1e-04
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales",0,0,0,0,0,1,6,0.491907580530498,1e-04
"k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria];o__Victivallales",0,0,1,1,1,0,38,0.434188784131088,5e-04
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales",0,0,1,1,1,0,38,0.348712320858077,0.0082
"k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales",0,0,1,1,1,0,38,0.53515560039263,1e-04
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales",1,0,1,1,0,0,26,0.419908831598806,0.0018
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales",0,0,0,0,0,1,6,0.340334455888712,0.0093
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__SBla14",0,1,1,1,1,0,52,0.294581314878979,0.0282
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales",1,1,0,0,0,1,25,0.543265184228337,1e-04
"k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales",0,1,0,1,0,0,13,0.0944060238791443,0.932
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales",0,0,0,0,0,1,6,0.660283049464488,1e-04
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__MIZ46",0,0,0,1,0,0,4,0.415367020314634,0.001
"k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__Elusimicrobiales",0,1,1,1,1,0,52,0.351995649100052,0.006
"k__Bacteria;p__Spirochaetes;c__[Leptospirae];o__[Leptospirales]",0,0,0,1,1,0,19,0.27590671089765,0.05
"k__Bacteria;p__Chlorobi;c__Chlorobia;o__Chlorobiales",0,1,1,1,1,0,52,0.467771999320825,4e-04
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales",0,0,0,0,1,0,5,0.428619824402771,0.0013
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales",0,1,1,1,0,0,32,0.264641484261151,0.0565
"k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales",0,0,0,0,1,0,5,0.403300434434547,0.0023
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Ellin329",1,0,0,0,0,1,11,0.504382396398158,3e-04
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales",0,1,1,1,0,0,32,0.452848164610898,8e-04
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Methylophilales",1,0,1,0,0,1,28,0.442182710324432,4e-04
"k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__[Cerasicoccales]",0,0,0,0,1,0,5,0.309416764333883,0.0194
"k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales",0,0,1,1,1,0,38,0.465547661143202,3e-04
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales",0,1,1,1,1,0,52,0.27787363128616,0.0517
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales",1,0,0,0,0,0,1,0.288514120825125,0.0383
"k__Bacteria;p__Verrucomicrobia;c__Verruco-5;o__WCHB1-41",0,0,0,0,1,0,5,0.499706681522411,1e-04
"k__Bacteria;p__Armatimonadetes;c__SJA-176;o__RB046",0,0,0,0,1,0,5,0.468745148980291,1e-04
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales",0,0,0,1,0,0,4,0.380731291688831,0.0038
"k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales",0,0,0,1,1,0,19,0.185519676210585,0.3752
"k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales",1,0,0,0,0,0,1,0.656076463911229,1e-04
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Thiobacterales",0,0,0,1,1,0,19,0.396243801079476,0.0019
"k__Bacteria;p__Verrucomicrobia;c__Verruco-5;o__LD1-PB3",0,1,0,0,1,0,14,0.303579225954673,0.0257
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales",0,0,1,1,0,0,16,0.369967359549579,0.0035
"k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2",0,0,0,0,1,0,5,0.520651837045142,1e-04
"k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales",0,0,0,0,1,0,5,0.45100202001005,4e-04
"k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales",1,0,0,0,0,1,11,0.45550720512544,5e-04
"k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales",0,0,0,0,1,0,5,0.368566394287533,0.0046
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales",1,1,1,1,1,0,57,0.493561585846087,1e-04
"k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales",0,0,0,0,1,0,5,0.413191177738467,0.0011
"k__Bacteria;p__Verrucomicrobia;c__[Methylacidiphilae];o__Methylacidiphilales",0,0,0,0,1,0,5,0.422876867196629,0.0022
"k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Opitutales",1,0,0,0,1,0,10,0.349971190430223,0.0068
"k__Bacteria;p__Armatimonadetes;c__SJA-176;o__GAB-B06",0,0,0,1,1,0,19,0.619731628744875,1e-04
"k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales",0,1,1,1,1,0,52,0.219782210660617,0.1964
"k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales",0,0,0,1,1,0,19,0.382484890469361,0.0023
"k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales",1,0,0,0,0,0,1,0.738442234820319,1e-04
"k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Chlorophyta",0,0,0,1,1,0,19,0.321229592067379,0.0164
"k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes;o__Dehalococcoidales",0,0,0,0,1,0,5,0.436434326602894,0.0011
"k__Bacteria;p__Chlorobi;c__Ignavibacteria;o__Ignavibacteriales",0,0,0,0,1,0,5,0.278181376537335,0.052
"k__Bacteria;p__Armatimonadetes;c__Armatimonadia;o__FW68",0,0,0,1,1,0,19,0.327123483246063,0.0141
"k__Archaea;p__[Parvarchaeota];c__[Parvarchaea];o__YLA114",1,0,0,1,0,0,9,0.237873753354563,0.1321
"k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__WCHB1-50",0,0,1,1,1,0,38,0.484792666877814,1e-04
"k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia];o__[Fimbriimonadales]",0,1,1,1,1,0,52,0.30530943464932,0.022
"k__Archaea;p__[Parvarchaeota];c__[Parvarchaea];o__WCHD3-30",0,0,0,0,1,0,5,0.565425861771139,1e-04
"k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__WD2101",0,0,0,0,1,0,5,0.436958513208751,0.0012
"k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria]",0,0,0,1,1,0,19,0.348111883893853,0.0087
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria",0,0,0,0,0,1,6,0.808305687268718,1e-04
"k__Bacteria;p__Verrucomicrobia;c__[Methylacidiphilae]",0,1,1,1,1,0,52,0.406284339143495,0.0016
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria",1,1,0,0,0,1,25,0.564043048907989,1e-04
"k__Bacteria;p__Verrucomicrobia;c__Verruco-5",0,0,0,0,1,0,5,0.538394794405314,1e-04
"k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae]",0,0,1,1,1,0,38,0.656743080385249,1e-04
"k__Bacteria;p__Bacteroidetes;c__[Saprospirae]",0,0,0,0,0,1,6,0.674192186766896,1e-04
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia",0,0,0,0,1,0,5,0.517578616469785,2e-04
"k__Bacteria;p__OP3;c__PBS-25",0,0,0,1,1,0,19,0.292767228149647,0.0328
"k__Bacteria;p__Firmicutes;c__Clostridia",0,1,1,1,1,0,52,0.366926474163527,0.0047
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria",1,0,0,1,0,1,30,0.333475276135802,0.0108
"k__Bacteria;p__Acidobacteria;c__Holophagae",0,1,1,1,1,0,52,0.688686237117877,1e-04
"k__Bacteria;p__Chlamydiae;c__Chlamydiia",0,0,0,1,1,0,19,0.312726041189278,0.0187
"k__Bacteria;p__TM6;c__SBRH58",0,0,0,1,1,0,19,0.305371664685142,0.0232
"k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria]",0,0,1,1,1,0,38,0.413539531091395,7e-04
"k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae",0,0,1,1,1,0,38,0.53515560039263,1e-04
"k__Bacteria;p__Actinobacteria;c__Actinobacteria",1,1,0,0,0,1,25,0.543265184228337,1e-04
"k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia",0,1,0,1,0,0,13,0.0944060238791443,0.932
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria",0,1,1,1,0,0,32,0.501488056137411,1e-04
"k__Bacteria;p__Elusimicrobia;c__Elusimicrobia",0,1,1,1,1,0,52,0.351995649100052,0.006
"k__Bacteria;p__Spirochaetes;c__[Leptospirae]",0,0,0,1,1,0,19,0.27590671089765,0.05
"k__Bacteria;p__OP3;c__BD4-9",1,0,1,1,1,0,48,0.184462098989681,0.414
"k__Bacteria;p__Chlorobi;c__Chlorobia",0,1,1,1,1,0,52,0.467771999320825,4e-04
"k__Bacteria;p__Actinobacteria;c__Thermoleophilia",0,0,0,0,1,0,5,0.403300434434547,0.0023
"k__Bacteria;p__Verrucomicrobia;c__Opitutae",1,0,0,0,1,0,10,0.347776603910887,0.0075
"k__Bacteria;p__Acidobacteria;c__Acidobacteriia",0,0,1,1,1,0,38,0.465547661143202,3e-04
"k__Bacteria;p__Chlorobi;c__OPB56",0,0,0,1,1,0,19,0.398277824898356,0.0018
"k__Bacteria;p__Armatimonadetes;c__SJA-176",0,0,0,1,1,0,19,0.609404046150644,1e-04
"k__Bacteria;p__Actinobacteria;c__OPB41",0,0,1,1,1,0,38,0.314588677642822,0.0201
"k__Archaea;p__Euryarchaeota;c__Methanomicrobia",0,0,0,1,1,0,19,0.185519676210585,0.3752
"k__Bacteria;p__Bacteroidetes;c__Flavobacteriia",1,0,0,0,0,0,1,0.656076463911229,1e-04
"k__Archaea;p__Euryarchaeota;c__Thermoplasmata",0,0,0,0,1,0,5,0.520651837045142,1e-04
"k__Bacteria;p__Chloroflexi;c__Anaerolineae",0,0,0,1,1,0,19,0.525846307656439,1e-04
"k__Bacteria;p__Actinobacteria;c__Acidimicrobiia",1,0,0,0,0,1,11,0.45550720512544,5e-04
"k__Bacteria;p__Planctomycetes;c__Planctomycetia",0,0,0,0,1,0,5,0.368566394287533,0.0046
"k__Bacteria;p__NKB19;c__TSBW08",0,0,0,1,1,0,19,0.48570218489989,2e-04
"k__Bacteria;p__Acidobacteria;c__Solibacteres",0,0,0,0,1,0,5,0.413191177738467,0.0011
"k__Bacteria;p__Planctomycetes;c__Phycisphaerae",0,0,0,0,1,0,5,0.572209544401122,1e-04
"k__Bacteria;p__OD1;c__ZB2",0,0,1,0,1,0,17,0.252626483661175,0.0862
"k__Bacteria;p__Cyanobacteria;c__Chloroplast",0,0,0,1,1,0,19,0.303064214320872,0.0245
"k__Bacteria;p__Spirochaetes;c__Spirochaetes",0,0,0,1,1,0,19,0.382484890469361,0.0023
"k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria",1,0,0,0,0,0,1,0.738442234820319,1e-04
"k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes",0,0,0,0,1,0,5,0.436434326602894,0.0011
"k__Bacteria;p__OD1;c__ABY1",0,0,1,0,1,0,17,0.241676120278517,0.1152
"k__Bacteria;p__Chlorobi;c__Ignavibacteria",0,0,0,0,1,0,5,0.278181376537335,0.052
"k__Bacteria;p__Armatimonadetes;c__Armatimonadia",0,0,0,1,1,0,19,0.327123483246063,0.0141
"k__Archaea;p__[Parvarchaeota];c__[Parvarchaea]",0,0,0,0,1,0,5,0.50541724186,1e-04
"k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia]",0,1,1,1,1,0,52,0.30530943464932,0.022
"k__Bacteria;p__Acidobacteria;c__TM1",0,0,1,1,1,0,38,0.292710821712658,0.0311
"k__Bacteria;p__Verrucomicrobia",0,0,0,1,1,0,19,0.584252721514942,2e-04
"k__Bacteria;p__Proteobacteria",1,1,0,0,0,1,25,0.630876103077604,1e-04
"k__Bacteria;p__Bacteroidetes",0,0,0,0,1,0,5,0.416003918015347,5e-04
"k__Bacteria;p__SR1",0,0,0,0,1,1,21,0.502092569070208,2e-04
"k__Bacteria;p__OP3",0,0,0,1,1,0,19,0.301949696994836,0.0271
"k__Bacteria;p__Firmicutes",0,1,1,1,1,0,52,0.37077709800399,0.004
"k__Bacteria;p__Acidobacteria",0,1,1,1,1,0,52,0.700094588091317,1e-04
"k__Bacteria;p__Chlamydiae",0,0,0,1,1,0,19,0.312726041189278,0.0187
"k__Bacteria;p__TM6",0,0,0,1,1,0,19,0.305371664685142,0.0232
"k__Bacteria;p__Lentisphaerae",0,0,1,1,1,0,38,0.413539531091395,7e-04
"k__Bacteria;p__OD1",0,0,0,0,1,0,5,0.42712706684533,0.0017
"k__Bacteria;p__Actinobacteria",1,0,0,0,0,1,11,0.549480527766882,1e-04
"k__Bacteria;p__Elusimicrobia",0,1,1,1,1,0,52,0.351995649100052,0.006
"k__Bacteria;p__Spirochaetes",0,0,0,1,1,0,19,0.428661148738843,9e-04
"k__Bacteria;p__Chlorobi",0,1,1,1,1,0,52,0.469249779195822,4e-04
"k__Bacteria;p__WS5",0,0,0,1,1,0,19,0.473392110894422,2e-04
"k__Bacteria;p__Planctomycetes",0,0,0,0,1,0,5,0.654964447039641,1e-04
"k__Bacteria;p__Armatimonadetes",0,0,0,1,1,0,19,0.571048650392885,2e-04
"k__Archaea;p__Euryarchaeota",0,0,0,0,1,0,5,0.420240536253256,0.002
"k__Bacteria;p__Chloroflexi",0,0,0,1,1,0,19,0.5275035321926,1e-04
"k__Bacteria;p__NKB19",0,0,0,1,1,0,19,0.48570218489989,2e-04
"k__Bacteria;p__WS1",0,0,0,0,1,0,5,0.403328972481645,0.0022
"k__Bacteria;p__Cyanobacteria",0,0,0,1,1,0,19,0.341908525381092,0.0094
"k__Archaea;p__[Parvarchaeota]",0,0,0,0,1,0,5,0.50541724186,1e-04
