OTU,Taxonomy
Otu0773,k__Bacteria(100);p__Actinobacteria(62);c__Actinobacteria(61);o__Actinomycetales(60);unclassified;unclassified;unclassified;
Otu0774,k__Bacteria(100);p__Chloroflexi(94);c__Anaerolineae(92);unclassified;unclassified;unclassified;unclassified;
Otu0775,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0776,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0777,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0778,k__Bacteria(100);p__Bacteroidetes(97);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0779,k__Bacteria(100);p__Proteobacteria(89);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0780,k__Bacteria(100);p__Acidobacteria(100);c__Solibacteres(100);o__Solibacterales(100);f__Solibacteraceae(93);g__CandidatusSolibacter(92);s__(92);
Otu0781,k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhodospirillales(100);f__Acetobacteraceae(100);unclassified;unclassified;
Otu0782,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0783,k__Bacteria(100);p__Actinobacteria(99);c__Actinobacteria(98);o__Actinomycetales(97);unclassified;unclassified;unclassified;
Otu0784,k__Bacteria(100);p__Proteobacteria(100);c__Deltaproteobacteria(100);o__Bdellovibrionales(99);f__Bdellovibrionaceae(99);g__Bdellovibrio(99);s__bacteriovorus(71);
Otu0785,k__Bacteria(100);p__Proteobacteria(93);c__Betaproteobacteria(88);unclassified;unclassified;unclassified;unclassified;
Otu0786,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0787,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0788,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0789,k__Bacteria(100);p__Proteobacteria(100);c__Deltaproteobacteria(97);o__Bdellovibrionales(97);f__Bdellovibrionaceae(97);g__Bdellovibrio(97);s__(97);
Otu0790,k__Bacteria(100);p__Proteobacteria(77);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0791,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0792,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0793,k__Bacteria(100);p__Proteobacteria(100);c__Gammaproteobacteria(100);o__Pseudomonadales(100);f__Moraxellaceae(100);g__Acinetobacter(99);s__(88);
Otu0794,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0795,k__Bacteria(100);p__Bacteroidetes(99);c__[Saprospirae](91);o__[Saprospirales](91);f__Chitinophagaceae(91);g__(86);s__(86);
Otu0796,k__Bacteria(100);p__Bacteroidetes(94);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0797,k__Bacteria(100);p__Bacteroidetes(100);c__Cytophagia(100);o__Cytophagales(100);bacIII(100);bacIII-A(100);unclassified;unclassified;
Otu0798,k__Bacteria(100);p__Actinobacteria(99);c__Actinobacteria(99);o__Actinomycetales(99);f__(82);g__(82);s__(82);
Otu0799,k__Bacteria(100);p__Cyanobacteria(100);c__4C0d-2(100);o__YS2(100);f__(100);g__(100);s__(100);
Otu0800,k__Bacteria(100);p__Fusobacteria(100);c__Fusobacteriia(100);o__Fusobacteriales(100);f__Fusobacteriaceae(100);g__u114(100);s__(100);
Otu0801,k__Bacteria(100);p__Elusimicrobia(65);c__Elusimicrobia(65);o__Elusimicrobiales(65);unclassified;unclassified;unclassified;
Otu0802,k__Bacteria(100);p__Verrucomicrobia(100);c__[Methylacidiphilae](100);o__Methylacidiphilales(100);f__(100);g__(100);s__(100);
Otu0803,k__Bacteria(100);p__Proteobacteria(100);c__Gammaproteobacteria(96);unclassified;unclassified;unclassified;unclassified;
Otu0804,k__Bacteria(100);p__Bacteroidetes(100);c__[Saprospirae](100);o__[Saprospirales](100);f__Chitinophagaceae(100);g__(85);s__(85);
Otu0805,k__Bacteria(100);p__Bacteroidetes(98);c__Flavobacteriia(60);o__Flavobacteriales(60);unclassified;unclassified;unclassified;
Otu0806,k__Bacteria(100);p__Planctomycetes(100);c__Planctomycetia(100);o__Gemmatales(100);f__Gemmataceae(100);g__(100);s__(100);
Otu0807,k__Bacteria(100);p__Bacteroidetes(100);c__[Saprospirae](100);o__[Saprospirales](100);f__Chitinophagaceae(100);g__(99);s__(99);
Otu0808,k__Bacteria(100);p__Proteobacteria(99);c__Alphaproteobacteria(99);o__Sphingomonadales(99);f__Sphingomonadaceae(73);g__Novosphingobium(67);unclassified;
Otu0809,k__Bacteria(100);p__Acidobacteria(89);c__BPC102(89);o__MVS-40(89);f__(89);g__(89);s__(89);
Otu0810,k__Bacteria(100);p__Verrucomicrobia(100);c__[Pedosphaerae](100);o__[Pedosphaerales](100);f__auto67_4W(100);g__(100);s__(100);
Otu0811,k__Bacteria(100);p__Proteobacteria(98);c__Gammaproteobacteria(97);o__Legionellales(92);f__Coxiellaceae(92);g__Aquicella(92);s__(92);
Otu0812,k__Bacteria(100);p__Cyanobacteria(85);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0813,k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);acI(100);acI-B(100);acI-B2(100);unclassified;
Otu0814,k__Bacteria(100);p__Proteobacteria(95);c__Deltaproteobacteria(85);o__Spirobacillales(79);f__(79);g__(79);s__(79);
Otu0815,k__Bacteria(100);p__TM6(82);c__SBRH58(63);o__(63);f__(63);g__(63);s__(63);
Otu0816,k__Bacteria(100);p__Acidobacteria(100);c__Acidobacteriia(100);o__Acidobacteriales(100);f__Acidobacteriaceae(100);unclassified;unclassified;
Otu0817,k__Bacteria(100);p__OP8(97);c__OP8_2(97);o__(97);f__(97);g__(97);s__(97);
Otu0818,k__Bacteria(100);p__Cyanobacteria(90);c__4C0d-2(90);o__YS2(90);f__(90);g__(90);s__(90);
Otu0819,k__Bacteria(100);p__TM6(99);c__F38(99);o__(99);f__(99);g__(99);s__(99);
Otu0820,k__Bacteria(100);p__Cyanobacteria(63);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0821,k__Bacteria(100);p__Cyanobacteria(100);c__4C0d-2(100);o__MLE1-12(100);f__(100);g__(100);s__(100);
Otu0822,k__Bacteria(100);p__Proteobacteria(89);c__Betaproteobacteria(78);o__Burkholderiales(64);f__Oxalobacteraceae(60);unclassified;unclassified;
Otu0823,k__Bacteria(100);p__TM7(84);c__SC3(84);o__(84);f__(84);g__(84);s__(84);
Otu0824,k__Bacteria(100);p__Proteobacteria(98);c__Gammaproteobacteria(93);o__Alteromonadales(67);f__Alteromonadaceae(67);g__Marinobacter(67);s__bryozoorum(67);
Otu0825,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0826,k__Bacteria(100);p__Proteobacteria(100);c__Gammaproteobacteria(100);o__Enterobacteriales(100);gamII(100);gamII-A(100);gamII-A1(97);unclassified;
Otu0827,k__Bacteria(100);p__Armatimonadetes(100);c__[Fimbriimonadia](100);o__[Fimbriimonadales](100);f__[Fimbriimonadaceae](100);g__Fimbriimonas(100);s__(100);
Otu0828,k__Bacteria(100);p__OP3(96);c__BD4-9(96);o__(96);f__(96);g__(96);s__(96);
Otu0829,k__Bacteria(100);p__Firmicutes(95);c__Clostridia(94);o__Clostridiales(94);f__Ruminococcaceae(92);g__Ethanoligenens(85);s__(85);
Otu0830,k__Bacteria(100);p__Acidobacteria(100);c__Solibacteres(100);o__Solibacterales(100);f__Solibacteraceae(99);g__CandidatusSolibacter(99);s__(99);
Otu0831,k__Bacteria(100);p__Verrucomicrobia(99);c__Opitutae(99);o__Opitutales(99);f__Opitutaceae(99);g__Opitutus(99);s__(99);
Otu0832,k__Bacteria(100);p__Verrucomicrobia(100);c__Opitutae(100);o__Opitutales(100);f__Opitutaceae(100);unclassified;unclassified;unclassified;
Otu0833,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0834,k__Bacteria(100);p__Verrucomicrobia(73);c__Opitutae(71);unclassified;unclassified;unclassified;unclassified;
Otu0835,k__Bacteria(100);p__Proteobacteria(61);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0836,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0837,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0838,k__Bacteria(100);p__Proteobacteria(100);c__Gammaproteobacteria(100);o__Methylococcales(69);f__Methylococcaceae(66);g__Methylomicrobium(66);s__buryatense(66);
Otu0839,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0840,k__Bacteria(100);p__Proteobacteria(100);c__Betaproteobacteria(96);o__Burkholderiales(74);unclassified;unclassified;unclassified;unclassified;
Otu0841,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0842,k__Bacteria(100);p__Verrucomicrobia(100);c__[Pedosphaerae](100);o__[Pedosphaerales](100);f__Ellin515(100);g__(100);s__(100);
Otu0843,k__Bacteria(100);p__Firmicutes(60);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0844,k__Bacteria(100);p__Proteobacteria(100);c__Betaproteobacteria(100);o__Burkholderiales(89);betI(79);unclassified;unclassified;unclassified;
Otu0845,k__Bacteria(100);p__Actinobacteria(89);c__Thermoleophilia(84);o__Gaiellales(84);f__(84);g__(84);s__(84);
Otu0846,k__Bacteria(100);p__Proteobacteria(100);c__Betaproteobacteria(99);o__Burkholderiales(83);unclassified;unclassified;unclassified;unclassified;
Otu0847,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0848,k__Bacteria(100);p__Acidobacteria(99);c__Solibacteres(99);o__Solibacterales(99);f__MVS-65(78);g__(78);s__(78);
Otu0849,k__Bacteria(100);p__Proteobacteria(93);c__Deltaproteobacteria(84);o__Myxococcales(83);f__OM27(73);g__(73);s__(73);
Otu0850,k__Bacteria(100);p__Cyanobacteria(98);c__Synechococcophycideae(98);o__Synechococcales(97);f__Synechococcaceae(97);g__Synechococcus(97);s__(97);
Otu0851,k__Bacteria(100);p__Actinobacteria(62);c__Actinobacteria(61);o__Actinomycetales(60);unclassified;unclassified;unclassified;
Otu0852,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0853,k__Bacteria(100);p__Chlamydiae(78);c__Chlamydiia(78);o__Chlamydiales(78);f__Parachlamydiaceae(77);g__Parachlamydia(67);s__acanthamoebae(67);
Otu0854,k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhodospirillales(100);f__Acetobacteraceae(100);g__(65);s__(65);
Otu0855,k__Bacteria(100);p__Proteobacteria(97);c__Alphaproteobacteria(96);o__Rhodospirillales(96);f__Acetobacteraceae(96);unclassified;unclassified;
Otu0856,k__Bacteria(100);p__Proteobacteria(97);c__Gammaproteobacteria(83);unclassified;unclassified;unclassified;unclassified;
Otu0857,k__Bacteria(100);p__Verrucomicrobia(100);c__[Pedosphaerae](99);o__[Pedosphaerales](99);f__auto67_4W(65);g__(65);s__(65);
Otu0858,k__Bacteria(100);p__Proteobacteria(99);c__Alphaproteobacteria(98);o__Rhodospirillales(98);f__Acetobacteraceae(98);unclassified;unclassified;
Otu0859,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0860,k__Bacteria(100);p__Proteobacteria(99);c__Alphaproteobacteria(99);o__Rhodospirillales(99);f__Acetobacteraceae(99);unclassified;unclassified;
Otu0861,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0862,k__Bacteria(100);p__Proteobacteria(99);c__Betaproteobacteria(85);unclassified;unclassified;unclassified;unclassified;
Otu0863,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0864,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0865,k__Bacteria(100);p__TM7(94);c__SC3(94);o__(94);f__(94);g__(94);s__(94);
Otu0866,k__Bacteria(100);p__TM7(71);c__TM7-1(67);o__(67);f__(67);g__(67);s__(67);
Otu0867,k__Bacteria(100);p__Bacteroidetes(100);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0868,k__Bacteria(100);p__Proteobacteria(99);c__Deltaproteobacteria(97);o__MIZ46(94);f__(94);g__(94);s__(94);
Otu0869,k__Bacteria(100);p__Proteobacteria(69);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0870,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0871,k__Bacteria(100);p__Lentisphaerae(95);c__[Lentisphaeria](95);o__Z20(95);f__(95);g__(95);s__(95);
Otu0872,k__Bacteria(100);p__Proteobacteria(100);c__Betaproteobacteria(100);o__Burkholderiales(82);f__Oxalobacteraceae(82);g__Oxalobacter(82);s__(82);
Otu0873,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0874,k__Bacteria(100);p__Bacteroidetes(100);c__[Saprospirae](100);o__[Saprospirales](100);bacI(100);unclassified;unclassified;unclassified;
Otu0875,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0876,k__Bacteria(100);p__Proteobacteria(100);c__Deltaproteobacteria(99);o__Syntrophobacterales(92);f__Syntrophaceae(90);g__Syntrophus(87);s__(87);
Otu0877,k__Bacteria(100);p__Chlamydiae(81);c__Chlamydiia(81);o__Chlamydiales(81);f__Parachlamydiaceae(64);g__Parachlamydia(61);s__acanthamoebae(61);
Otu0878,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0879,k__Bacteria(100);p__Verrucomicrobia(100);c__[Pedosphaerae](100);o__[Pedosphaerales](100);f__auto67_4W(100);g__(100);s__(100);
Otu0880,k__Bacteria(100);p__Proteobacteria(100);c__Gammaproteobacteria(96);unclassified;unclassified;unclassified;unclassified;
Otu0881,k__Bacteria(100);p__Bacteroidetes(96);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0882,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0883,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0884,k__Bacteria(100);p__Actinobacteria(70);c__Actinobacteria(69);o__Actinomycetales(68);unclassified;unclassified;unclassified;
Otu0885,k__Bacteria(100);p__Proteobacteria(88);c__Gammaproteobacteria(85);o__Legionellales(81);f__Legionellaceae(81);g__Legionella(70);s__pneumophila(70);
Otu0886,k__Bacteria(100);p__Proteobacteria(85);c__Alphaproteobacteria(78);unclassified;unclassified;unclassified;unclassified;
Otu0887,k__Bacteria(100);p__Bacteroidetes(100);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0888,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0889,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0890,k__Bacteria(100);p__Proteobacteria(84);c__Alphaproteobacteria(69);unclassified;unclassified;unclassified;unclassified;
Otu0891,k__Bacteria(100);p__Proteobacteria(90);c__Gammaproteobacteria(69);unclassified;unclassified;unclassified;unclassified;
Otu0892,k__Bacteria(100);p__Verrucomicrobia(91);c__[Methylacidiphilae](66);unclassified;unclassified;unclassified;unclassified;
Otu0893,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0894,k__Bacteria(100);p__Proteobacteria(91);c__Gammaproteobacteria(90);unclassified;unclassified;unclassified;unclassified;
Otu0895,k__Bacteria(100);p__Verrucomicrobia(93);c__[Spartobacteria](89);o__[Chthoniobacterales](89);f__[Chthoniobacteraceae](89);g__CandidatusXiphinematobacter(88);s__(88);
Otu0896,k__Bacteria(100);p__Verrucomicrobia(100);c__[Spartobacteria](100);o__[Chthoniobacterales](100);f__[Chthoniobacteraceae](100);g__(100);s__(100);
Otu0897,k__Bacteria(100);p__Cyanobacteria(100);c__4C0d-2(100);o__YS2(100);f__(100);g__(100);s__(100);
Otu0898,k__Bacteria(100);p__Cyanobacteria(88);c__Oscillatoriophycideae(73);unclassified;unclassified;unclassified;unclassified;
Otu0899,k__Bacteria(100);p__Bacteroidetes(93);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0900,k__Bacteria(100);p__Bacteroidetes(99);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0901,k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhodospirillales(100);f__Acetobacteraceae(100);unclassified;unclassified;
Otu0902,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0903,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0904,k__Bacteria(100);p__Verrucomicrobia(96);c__[Spartobacteria](92);o__[Chthoniobacterales](92);f__[Chthoniobacteraceae](88);unclassified;unclassified;
Otu0905,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0906,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0907,k__Bacteria(100);p__Proteobacteria(100);c__Deltaproteobacteria(99);o__MIZ46(99);f__(99);g__(99);s__(99);
Otu0908,k__Bacteria(100);p__Bacteroidetes(100);c__Sphingobacteriia(100);o__Sphingobacteriales(100);f__Sphingobacteriaceae(100);g__Pedobacter(100);s__(100);
Otu0909,k__Bacteria(100);p__Proteobacteria(85);c__Gammaproteobacteria(66);unclassified;unclassified;unclassified;unclassified;
Otu0910,k__Bacteria(100);p__Acidobacteria(100);c__Solibacteres(100);o__Solibacterales(100);f__Solibacteraceae(94);g__CandidatusSolibacter(94);s__(94);
Otu0911,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0912,k__Bacteria(100);p__Proteobacteria(99);c__Deltaproteobacteria(98);o__Myxococcales(96);f__0319-6G20(96);g__(96);s__(96);
Otu0913,k__Bacteria(100);p__OD1(81);c__ABY1(81);o__(81);f__(81);g__(81);s__(81);
Otu0914,k__Bacteria(100);p__Proteobacteria(98);c__Alphaproteobacteria(97);o__Rickettsiales(95);f__Rickettsiaceae(95);g__Rickettsia(85);s__(85);
Otu0915,k__Bacteria(100);p__OP3(96);c__BD4-9(96);o__(96);f__(96);g__(96);s__(96);
Otu0916,k__Bacteria(100);p__Proteobacteria(96);c__Gammaproteobacteria(87);unclassified;unclassified;unclassified;unclassified;
Otu0917,k__Bacteria(100);p__Bacteroidetes(100);c__[Saprospirae](89);o__[Saprospirales](89);f__Chitinophagaceae(89);g__(88);s__(88);
Otu0918,k__Bacteria(100);p__Verrucomicrobia(97);c__[Pedosphaerae](96);o__[Pedosphaerales](96);f__auto67_4W(96);g__(96);s__(96);
Otu0919,k__Bacteria(100);p__Bacteroidetes(99);c__Flavobacteriia(80);o__Flavobacteriales(80);unclassified;unclassified;unclassified;
Otu0920,k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhodospirillales(100);alfVIII(100);unclassified;unclassified;unclassified;
Otu0921,k__Bacteria(100);p__Proteobacteria(84);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0922,k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);f__Microbacteriaceae(80);unclassified;unclassified;
Otu0923,k__Bacteria(100);p__Bacteroidetes(100);c__[Saprospirae](100);o__[Saprospirales](100);bacI(100);bacI-A(100);bacI-A1(100);unclassified;
Otu0924,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0925,k__Bacteria(100);p__Elusimicrobia(85);c__Elusimicrobia(85);o__Elusimicrobiales(85);f__(85);g__(85);s__(85);
Otu0926,k__Bacteria(100);p__Bacteroidetes(98);c__Flavobacteriia(89);o__Flavobacteriales(89);f__[Weeksellaceae](65);unclassified;unclassified;
Otu0927,k__Bacteria(100);p__OP3(74);c__BD4-9(74);o__(74);f__(74);g__(74);s__(74);
Otu0928,k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);acI(100);acI-A(100);acI-A4(100);unclassified;
Otu0929,k__Bacteria(100);p__Chlorobi(85);c__SJA-28(78);o__(78);f__(78);g__(78);s__(78);
Otu0930,k__Bacteria(100);p__Proteobacteria(98);c__Deltaproteobacteria(89);o__GW-28(87);f__(87);g__(87);s__(87);
Otu0931,k__Bacteria(100);p__Verrucomicrobia(99);c__Opitutae(99);o__Opitutales(99);f__Opitutaceae(99);g__Opitutus(99);s__(99);
Otu0932,k__Bacteria(100);p__Proteobacteria(68);c__Deltaproteobacteria(63);unclassified;unclassified;unclassified;unclassified;
Otu0933,k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Sphingomonadales(100);unclassified;unclassified;unclassified;
Otu0934,k__Bacteria(100);p__Acidobacteria(99);c__Acidobacteriia(99);o__Acidobacteriales(99);f__Acidobacteriaceae(99);g__Acidobacterium(87);s__(87);
Otu0935,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0936,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0937,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0938,k__Bacteria(100);p__Proteobacteria(96);c__Deltaproteobacteria(90);unclassified;unclassified;unclassified;unclassified;
Otu0939,k__Bacteria(100);p__Cyanobacteria(98);c__Oscillatoriophycideae(61);o__Chroococcales(60);unclassified;unclassified;unclassified;
Otu0940,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0941,k__Bacteria(100);p__Verrucomicrobia(100);c__[Spartobacteria](100);o__[Chthoniobacterales](100);f__[Chthoniobacteraceae](100);g__heteroC45_4W(64);s__(64);
Otu0942,k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);f__Intrasporangiaceae(100);g__Janibacter(100);s__(100);
Otu0943,k__Bacteria(100);p__Proteobacteria(80);c__Deltaproteobacteria(61);unclassified;unclassified;unclassified;unclassified;
Otu0944,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0945,k__Bacteria(100);p__Proteobacteria(90);c__Gammaproteobacteria(62);unclassified;unclassified;unclassified;unclassified;
Otu0946,k__Bacteria(100);p__TM6(93);c__SJA-4(91);o__(80);f__(80);g__(80);s__(80);
Otu0947,k__Bacteria(100);p__Verrucomicrobia(94);c__[Spartobacteria](90);o__[Chthoniobacterales](90);f__[Chthoniobacteraceae](90);g__CandidatusXiphinematobacter(75);s__(75);
Otu0948,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0949,k__Bacteria(100);p__Armatimonadetes(99);c__SJA-176(99);o__RB046(99);f__(99);g__(99);s__(99);
Otu0950,k__Bacteria(100);p__Proteobacteria(95);c__Deltaproteobacteria(86);o__MIZ46(78);f__(78);g__(78);s__(78);
Otu0951,k__Bacteria(100);p__Proteobacteria(89);c__Deltaproteobacteria(87);o__Desulfuromonadales(76);f__Geobacteraceae(74);g__Geobacter(74);unclassified;
Otu0952,k__Bacteria(100);p__Acidobacteria(100);c__Acidobacteriia(100);o__Acidobacteriales(100);f__Acidobacteriaceae(100);g__Acidobacterium(89);s__(89);
Otu0953,k__Bacteria(100);p__OP3(98);c__BD4-9(98);o__(98);f__(98);g__(98);s__(98);
Otu0954,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0955,k__Bacteria(100);p__Proteobacteria(99);c__Alphaproteobacteria(93);o__Caulobacterales(84);f__Caulobacteraceae(84);unclassified;unclassified;
Otu0956,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0957,k__Bacteria(100);p__Proteobacteria(97);c__Deltaproteobacteria(97);o__Bdellovibrionales(90);f__Bdellovibrionaceae(90);g__Bdellovibrio(90);s__(90);
Otu0958,k__Bacteria(100);p__Armatimonadetes(99);c__[Fimbriimonadia](99);o__[Fimbriimonadales](99);f__[Fimbriimonadaceae](86);g__Fimbriimonas(76);s__(76);
Otu0959,k__Bacteria(100);p__Bacteroidetes(100);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0960,k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhodospirillales(100);f__Rhodospirillaceae(100);g__Telmatospirillum(100);s__(65);
Otu0961,k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(94);unclassified;unclassified;unclassified;unclassified;
Otu0962,k__Bacteria(100);p__OP3(91);c__BD4-9(91);o__(91);f__(91);g__(91);s__(91);
Otu0963,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0964,k__Bacteria(100);p__Proteobacteria(77);c__Gammaproteobacteria(74);unclassified;unclassified;unclassified;unclassified;
Otu0965,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0966,k__Bacteria(100);p__Proteobacteria(98);c__Betaproteobacteria(95);o__Burkholderiales(90);f__Oxalobacteraceae(68);g__Oxalobacter(64);s__(64);
Otu0967,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0968,k__Bacteria(100);p__Proteobacteria(86);c__Alphaproteobacteria(80);unclassified;unclassified;unclassified;unclassified;
Otu0969,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0970,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0971,k__Bacteria(100);p__SR1(70);c__(70);o__(70);f__(70);g__(70);s__(70);
Otu0972,k__Bacteria(100);p__Proteobacteria(95);unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0973,k__Bacteria(100);p__Proteobacteria(100);c__Deltaproteobacteria(99);o__(79);f__(79);g__(79);s__(79);
Otu0974,k__Bacteria(100);p__Lentisphaerae(62);c__[Lentisphaeria](62);o__Victivallales(62);f__Victivallaceae(62);g__(62);s__(62);
Otu0975,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0976,k__Bacteria(100);p__Acidobacteria(100);c__Solibacteres(100);o__Solibacterales(100);f__Solibacteraceae(100);g__CandidatusSolibacter(100);s__(100);
Otu0977,k__Bacteria(100);p__Actinobacteria(74);c__Actinobacteria(73);o__Actinomycetales(72);unclassified;unclassified;unclassified;
Otu0978,k__Bacteria(100);p__Planctomycetes(86);c__Phycisphaerae(85);o__WD2101(84);f__(84);g__(84);s__(84);
Otu0979,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0980,k__Bacteria(100);p__Proteobacteria(97);c__Deltaproteobacteria(96);o__Syntrophobacterales(85);f__Syntrophaceae(85);unclassified;unclassified;
Otu0981,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0982,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0983,k__Bacteria(100);p__Verrucomicrobia(92);c__[Pedosphaerae](82);o__[Pedosphaerales](82);unclassified;unclassified;unclassified;
Otu0984,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0985,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
