OTU,Taxonomy
Otu0087,k__Bacteria(100);p__Proteobacteria(100);c__Deltaproteobacteria(100);o__MIZ46(100);f__(100);g__(100);s__(100);
Otu0088,k__Bacteria(100);p__Bacteroidetes(100);c__Flavobacteriia(71);o__Flavobacteriales(71);unclassified;unclassified;unclassified;
Otu0089,k__Bacteria(100);p__Spirochaetes(64);c__Spirochaetes(64);o__Spirochaetales(64);f__Spirochaetaceae(64);g__Treponema(64);s__phagedenis(64);
Otu0090,k__Bacteria(100);p__Planctomycetes(86);c__Planctomycetia(86);o__Pirellulales(86);f__Pirellulaceae(86);g__(85);s__(85);
Otu0091,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0092,k__Bacteria(100);p__Actinobacteria(99);c__Actinobacteria(99);o__Actinomycetales(99);unclassified;unclassified;unclassified;
Otu0093,k__Bacteria(100);p__OP3(97);c__PBS-25(97);o__(97);f__(97);g__(97);s__(97);
Otu0094,k__Bacteria(100);p__Bacteroidetes(100);c__[Saprospirae](100);o__[Saprospirales](100);bacI(100);unclassified;unclassified;unclassified;
Otu0095,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0096,k__Bacteria(100);p__Verrucomicrobia(99);c__[Spartobacteria](89);o__[Chthoniobacterales](89);f__[Chthoniobacteraceae](89);g__heteroC45_4W(68);s__(68);
Otu0097,k__Bacteria(100);p__Proteobacteria(100);c__Betaproteobacteria(100);o__Burkholderiales(100);betII(100);Pnec(100);PnecC(100);unclassified;
Otu0098,k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(96);Luna1(96);Luna1-A(96);unclassified;unclassified;
Otu0099,k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhizobiales(95);f__Bradyrhizobiaceae(72);g__Afipia(71);s__(71);
Otu0100,k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhizobiales(100);f__Methylobacteriaceae(100);g__Methylobacterium(100);s__mesophilicum(98);
Otu0101,k__Bacteria(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;
Otu0102,k__Bacteria(100);p__OP3(100);c__BD4-9(100);o__(100);f__(100);g__(100);s__(100);
