Sample_Name,Depth,DO,Temperature,pH,Secchi Depth
CBE18MAY05,0,,,,
CBE18MAY05,0.5,,,,
CBE18MAY05,1,,,,
CBE18MAY05,1.5,,,,
CBE18MAY05,2,,,,
CBE18MAY05,2.5,,,,
CBH18MAY05,0,,,,
CBH18MAY05,0.5,,,,
CBH18MAY05,1,,,,
CBH18MAY05,1.5,,,,
CBH18MAY05,2,,,,
CBH18MAY05,2.5,,,,
CBE01JUN05,0,7.4,22.5,,
CBE01JUN05,0.5,5.65,17.5,,
CBE01JUN05,1,6.49,14.3,,
CBE01JUN05,1.5,3.55,11,,
CBE01JUN05,2,0.6,8.9,,
CBE01JUN05,2.5,,,,
CBH01JUN05,0,7.4,22.5,,
CBH01JUN05,0.5,5.65,17.5,,
CBH01JUN05,1,6.49,14.3,,
CBH01JUN05,1.5,3.55,11,,
CBH01JUN05,2,0.6,8.9,,
CBH01JUN05,2.5,,,,
CBE08JUN05,0,6.9,21.9,,
CBE08JUN05,0.5,6.2,21.2,,
CBE08JUN05,1,5.4,17.6,,
CBE08JUN05,1.5,3.3,13.5,,
CBE08JUN05,2,0.8,10.3,,
CBE08JUN05,2.5,,,,
CBH08JUN05,0,6.9,21.9,,
CBH08JUN05,0.5,6.2,21.2,,
CBH08JUN05,1,5.4,17.6,,
CBH08JUN05,1.5,3.3,13.5,,
CBH08JUN05,2,0.8,10.3,,
CBH08JUN05,2.5,,,,
CBE15JUN05,0,5.4,20.7,,
CBE15JUN05,0.5,5.4,20.7,,
CBE15JUN05,1,2.9,15,,
CBE15JUN05,1.5,0.4,10.6,,
CBE15JUN05,2,0.3,9.8,,
CBE15JUN05,2.5,,,,
CBH15JUN05,0,5.4,20.7,,
CBH15JUN05,0.5,5.4,20.7,,
CBH15JUN05,1,2.9,15,,
CBH15JUN05,1.5,0.4,10.6,,
CBH15JUN05,2,0.3,9.8,,
CBH15JUN05,2.5,,,,
CBE22JUN05,0,8.2,24.6,,
CBE22JUN05,0.5,7.9,23.5,,
CBE22JUN05,1,8.1,23,,
CBE22JUN05,1.5,8,19.8,,
CBE22JUN05,2,2.6,16.1,,
CBE22JUN05,2.5,,,,
CBH22JUN05,0,8.2,24.6,,
CBH22JUN05,0.5,7.9,23.5,,
CBH22JUN05,1,8.1,23,,
CBH22JUN05,1.5,8,19.8,,
CBH22JUN05,2,2.6,16.1,,
CBH22JUN05,2.5,,,,
CBE29JUN05,0,6.6,25.1,,
CBE29JUN05,0.5,6.6,24.9,,
CBE29JUN05,1,6.1,24.4,,
CBE29JUN05,1.5,4.6,22.4,,
CBE29JUN05,2,0.8,19.5,,
