"","Phi","% of Community"
"Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B3",0.671926843047061,0.496112884952106
"Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B",0.625818895396663,1.46958904109589
"Actinobacteria;Actinobacteria;Actinomycetales;acI",0.596510426813629,1.64950458337625
"Verrucomicrobia;Spartobacteria;Chthoniobacterales;Chthoniobacteraceae;CandidatusXiphinematobacter",0.596295886073625,0.465872901431661
"Proteobacteria;Betaproteobacteria;Burkholderiales;betI;betI-A",0.590979632301341,0.385057163456587
"Verrucomicrobia;Spartobacteria",0.551340898390243,0.55392316407457
"Actinobacteria",0.512213987014292,2.30909877433309
"Bacteroidetes;Saprospirae;Saprospirales;bacI;bacI-A",0.419373745241043,0.544084869708518
"Proteobacteria;Betaproteobacteria;Burkholderiales;betI",0.404716499722741,0.71600782778865
"Verrucomicrobia",0.382038679713038,1.27582243279431
