"","sample","UnifracW","Date"
"1","NSH02AUG09.R1",0.4429311875,2009-08-02
"2","NSH02AUG09.R2",0.437552625,2009-08-02
"3","NSH02JUN09.R1",0.44073175,2009-06-02
"4","NSH02JUN09.R2",0.4329343125,2009-06-02
"5","NSH05JUN09.R1",0.4500859375,2009-06-05
"6","NSH05JUN09.R2",0.45049225,2009-06-05
"7","NSH06MAY09.R1",0.3949958125,2009-05-06
"8","NSH06MAY09.R2",0.3919049375,2009-05-06
"9","NSH07JUL09.R1",0.4515425,2009-07-07
"10","NSH07JUL09.R2",0.433019375,2009-07-07
"11","NSH08JUN09",0.45148025,2009-06-08
"12","NSH10JUL09",0.4319309375,2009-07-10
"13","NSH12JUN09.R1",0.4424794375,2009-06-12
"14","NSH12JUN09.R2",0.4470586875,2009-06-12
"15","NSH13JUL09",0.4537529375,2009-07-13
"16","NSH15JUN09.R1",0.4450775625,2009-06-15
"17","NSH15JUN09.R2",0.4420195625,2009-06-15
"18","NSH17JUL09.R1",0.4435278125,2009-07-17
"19","NSH17JUL09.R2",0.435263375,2009-07-17
"20","NSH19JUN09.R1",0.43278625,2009-06-19
"21","NSH19JUN09.R2",0.4185608125,2009-06-19
"22","NSH21JUL09.R1",0.44137075,2009-07-21
"23","NSH21JUL09.R2",0.4238530625,2009-07-21
"24","NSH23JUN09",0.44688025,2009-06-23
"25","NSH24JUL09.R1",0.4567958125,2009-07-24
"26","NSH24JUL09.R2",0.454794625,2009-07-24
"27","NSH26JUN09.R1",0.45291625,2009-06-26
"28","NSH26JUN09.R2",0.447584875,2009-06-26
"29","NSH27JUL09.R1",0.4302471875,2009-07-27
"30","NSH27JUL09.R2",0.435201625,2009-07-27
"31","NSH29JUN09.R1",0.4424893125,2009-06-29
"32","NSH29JUN09.R2",0.429246625,2009-06-29
"33","NSH29MAY09",0.4443429375,2009-05-29
"34","NSH31JUL09.R1",0.4465644375,2009-07-31
"35","NSH31JUL09.R2",0.4452165,2009-07-31
