"","sample","UnifracW","Date"
"1","MAH03AUG09.R2",0.326994928571429,2009-08-03
"2","MAH03AUG09.R3",0.357157642857143,2009-08-03
"3","MAH03JUN09",0.387938214285714,2009-06-03
"4","MAH06JUL09",0.376154928571429,2009-07-06
"5","MAH09JUN09",0.378875357142857,2009-06-09
"6","MAH13AUG09",0.334084,2009-08-13
"7","MAH14JUL09",0.378070428571429,2009-07-14
"8","MAH16JUN09",0.376306642857143,2009-06-16
"9","MAH19AUG09",0.349040857142857,2009-08-19
"10","MAH20JUL09",0.368271642857143,2009-07-20
"11","MAH24AUG09",0.355933785714286,2009-08-24
"12","MAH24JUN09",0.379788642857143,2009-06-24
"13","MAH28JUL09.R1",0.331762,2009-07-28
"14","MAH28JUL09.R2",0.352043071428571,2009-07-28
"15","MAH30JUN09",0.373867,2009-06-30
"16","MAH30MAY09",0.327703928571429,2009-05-30
