"","sample","UnifracW","Date"
"1","SSH02AUG09",0.4410529375,2009-08-02
"2","SSH02JUN09",0.419991375,2009-06-02
"3","SSH07JUL09",0.4685591875,2009-07-07
"4","SSH08JUN09",0.3804595625,2009-06-08
"5","SSH12AUG09",0.3658559375,2009-08-12
"6","SSH13JUL09",0.4415380625,2009-07-13
"7","SSH15JUN09",0.4722689375,2009-06-15
"8","SSH21JUL09",0.428282875,2009-07-21
"9","SSH23JUN09",0.47016325,2009-06-23
"10","SSH24AUG09",0.4894998125,2009-08-24
"11","SSH27JUL09",0.4558070625,2009-07-27
"12","SSH29JUN09",0.4672576875,2009-06-29
"13","SSH29MAY09",0.456365625,2009-05-29
