"","sample","UnifracW","Date"
"1","WSH02OCT07.R1",0.30700084,2007-10-02
"2","WSH02OCT07.R2",0.31342228,2007-10-02
"3","WSH05JUL07.R1",0.3061373,2007-07-05
"4","WSH05JUL07.R2",0.30376048,2007-07-05
"5","WSH07AUG07.R1",0.31960192,2007-08-07
"6","WSH07AUG07.R2",0.32044532,2007-08-07
"7","WSH08NOV07.R1",0.31455478,2007-11-08
"8","WSH08NOV07.R2",0.31043956,2007-11-08
"9","WSH09AUG07.R1",0.3245306,2007-08-09
"10","WSH09AUG07.R2",0.31366402,2007-08-09
"11","WSH10SEP07.R1",0.3231798,2007-09-10
"12","WSH10SEP07.R2",0.31839326,2007-09-10
"13","WSH11JUL07.R1",0.31317592,2007-07-11
"14","WSH11JUL07.R2",0.30829532,2007-07-11
"15","WSH13JUL07.R1",0.32266026,2007-07-13
"16","WSH13JUL07.R2",0.31966096,2007-07-13
"17","WSH16JUL07.R1",0.30905684,2007-07-16
"18","WSH16JUL07.R2",0.31488182,2007-07-16
"19","WSH16OCT07.R1",0.31800638,2007-10-16
"20","WSH16OCT07.R2",0.31679008,2007-10-16
"21","WSH17SEP07.R1",0.31564714,2007-09-17
"22","WSH17SEP07.R2",0.31399704,2007-09-17
"23","WSH19JUL07",0.33527888,2007-07-19
"24","WSH19JUN07",0.29516368,2007-06-19
"25","WSH21AUG07.R1",0.33911536,2007-08-21
"26","WSH21AUG07.R2",0.33389184,2007-08-21
"27","WSH22JUN07",0.29427836,2007-06-22
"28","WSH23AUG07.R1",0.32341896,2007-08-23
"29","WSH23AUG07.R2",0.31998174,2007-08-23
"30","WSH24JUL07",0.34275436,2007-07-24
"31","WSH25SEP07.R1",0.33355202,2007-09-25
"32","WSH25SEP07.R2",0.32790764,2007-09-25
"33","WSH27AUG07.R1",0.33471714,2007-08-27
"34","WSH27AUG07.R2",0.3306207,2007-08-27
"35","WSH27JUL07.R1",0.44046992,2007-07-27
"36","WSH27JUL07.R2",0.43998986,2007-07-27
"37","WSH27JUN07",0.30370694,2007-06-27
"38","WSH29JUL07",0.25554462,2007-07-29
"39","WSH30OCT07.R1",0.3114332,2007-10-30
"40","WSH30OCT07.R2",0.30663798,2007-10-30
"41","WSH31JUL07.R1",0.32925358,2007-07-31
"42","WSH31JUL07.R2",0.32786086,2007-07-31
"43","WSH31MAY07.R1",0.31749274,2007-05-31
"44","WSH31MAY07.R2",0.31334354,2007-05-31
