"","sample","UnifracW","Date"
"1","TBH01OCT07.R1",0.38425764,2007-10-01
"2","TBH01OCT07.R2",0.3813484,2007-10-01
"3","TBH02AUG07.R1",0.3922368,2007-08-02
"4","TBH02AUG07.R2",0.38305426,2007-08-02
"5","TBH02JUL07.R1",0.38023794,2007-07-02
"6","TBH02JUL07.R2",0.38907582,2007-07-02
"7","TBH05JUL07.R1",0.38030216,2007-07-05
"8","TBH05JUL07.R2",0.3738488,2007-07-05
"9","TBH05NOV07.R1",0.45832214,2007-11-05
"10","TBH05NOV07.R2",0.4590998,2007-11-05
"11","TBH06AUG07.R1",0.40132556,2007-08-06
"12","TBH06AUG07.R2",0.39004278,2007-08-06
"13","TBH06NOV07.R1",0.41825882,2007-11-06
"14","TBH06NOV07.R2",0.42062016,2007-11-06
"15","TBH07NOV07.R1",0.33621182,2007-11-07
"16","TBH07NOV07.R2",0.33722644,2007-11-07
"17","TBH08NOV07.R1",0.31865112,2007-11-08
"18","TBH08NOV07.R2",0.31846256,2007-11-08
"19","TBH09AUG07.R1",0.38589976,2007-08-09
"20","TBH09AUG07.R2",0.38192358,2007-08-09
"21","TBH09NOV07.R1",0.30818156,2007-11-09
"22","TBH09NOV07.R2",0.30522714,2007-11-09
"23","TBH10JUL07.R1",0.37279934,2007-07-10
"24","TBH10JUL07.R2",0.37089462,2007-07-10
"25","TBH10NOV07.R1",0.29555288,2007-11-10
"26","TBH10NOV07.R2",0.2906211,2007-11-10
"27","TBH10SEP07.R1",0.38816498,2007-09-10
"28","TBH10SEP07.R2",0.39325538,2007-09-10
"29","TBH11NOV07.R1",0.28947498,2007-11-11
"30","TBH11NOV07.R2",0.28428042,2007-11-11
"31","TBH12JUL07.R1",0.37696862,2007-07-12
"32","TBH12JUL07.R2",0.37362938,2007-07-12
"33","TBH13JAN07.R1",0.3257721,2007-01-13
"34","TBH13JAN07.R2",0.32360828,2007-01-13
"35","TBH13JUN07.R1",0.33942558,2007-06-13
"36","TBH13JUN07.R2",0.33874992,2007-06-13
"37","TBH14NOV07.R1",0.28966976,2007-11-14
"38","TBH14NOV07.R2",0.29152648,2007-11-14
"39","TBH15NOV07.R1",0.29935518,2007-11-15
"40","TBH15NOV07.R2",0.2886421,2007-11-15
"41","TBH16JUL07.R1",0.38478512,2007-07-16
"42","TBH16JUL07.R2",0.37925054,2007-07-16
"43","TBH16NOV07.R1",0.2972847,2007-11-16
"44","TBH16NOV07.R2",0.29896724,2007-11-16
"45","TBH16OCT07.R1",0.4391188,2007-10-16
"46","TBH16OCT07.R2",0.43977968,2007-10-16
"47","TBH17AUG07.R1",0.37905516,2007-08-17
"48","TBH17AUG07.R2",0.37670272,2007-08-17
"49","TBH17NOV07.R1",0.29657548,2007-11-17
"50","TBH17NOV07.R2",0.29385698,2007-11-17
"51","TBH17SEP07.R1",0.43229814,2007-09-17
"52","TBH17SEP07.R2",0.43352282,2007-09-17
"53","TBH18JUL07.R1",0.36607318,2007-07-18
"54","TBH18JUL07.R2",0.36760136,2007-07-18
"55","TBH18NOV07.R1",0.30033946,2007-11-18
"56","TBH18NOV07.R2",0.29198146,2007-11-18
"57","TBH19JUN07.R1",0.38165418,2007-06-19
"58","TBH19JUN07.R2",0.38224222,2007-06-19
"59","TBH21JUN07.R1",0.36276846,2007-06-21
"60","TBH21JUN07.R2",0.36856924,2007-06-21
"61","TBH22OCT07.R1",0.44812734,2007-10-22
"62","TBH22OCT07.R2",0.4529673,2007-10-22
"63","TBH23AUG07.R1",0.3966818,2007-08-23
"64","TBH23AUG07.R2",0.39254692,2007-08-23
"65","TBH24SEP07.R1",0.43548698,2007-09-24
"66","TBH24SEP07.R2",0.4442581,2007-09-24
"67","TBH25JUL07.R1",0.39126672,2007-07-25
"68","TBH25JUL07.R2",0.38894384,2007-07-25
"69","TBH27JUL07.R1",0.42643854,2007-07-27
"70","TBH27JUL07.R2",0.41831282,2007-07-27
"71","TBH27JUN07.R1",0.39391732,2007-06-27
"72","TBH27JUN07.R2",0.39078322,2007-06-27
"73","TBH29JUN07.R1",0.3718793,2007-06-29
"74","TBH29JUN07.R2",0.36928802,2007-06-29
"75","TBH29OCT07.R1",0.45187878,2007-10-29
"76","TBH29OCT07.R2",0.454838,2007-10-29
"77","TBH31JUL07.R1",0.38493992,2007-07-31
"78","TBH31JUL07.R2",0.376386,2007-07-31
"79","TBH31MAY07.R1",0.3282726,2007-05-31
"80","TBH31MAY07.R2",0.33742258,2007-05-31
