index1	index2	LSA	lag	p.valueBound
Otu0002	Otu0197	0.787008	0	0.000371933
Otu0002	Otu0257	0.907256	0	0
Otu0002	Otu0732	0.779281	0	0.000386238
Otu0003	Otu0053	0.83472	0	0
Otu0003	Otu0081	0.822863	0	0
Otu0003	Otu0180	0.767453	0	0.000419617
Otu0003	Otu0223	0.886818	0	0
Otu0003	Otu0332	0.769979	0	0.00041008
Otu0003	Otu0470	0.792942	0	0
Otu0014	Otu0053	0.85176	0	0
Otu0014	Otu0074	0.916274	0	0
Otu0014	Otu0081	0.770642	0	0.00041008
Otu0014	Otu0198	0.934816	0	0
Otu0014	Otu0332	0.784955	0	0.000371933
Otu0014	Otu1107	0.862979	0	0
Otu0014	Otu1180	0.868159	0	0
Otu0014	Otu1194	0.839761	0	0
Otu0032	Otu1008	0.855305	0	0
Otu0032	Otu1211	0.796447	0	0
Otu0044	Otu0891	0.787466	0	0.000367165
Otu0045	Otu4239	0.752298	0	0.000481606
Otu0045	Otu4616	0.756538	0	0.000452995
Otu0053	Otu0074	0.896689	0	0
Otu0053	Otu0081	0.875214	0	0
Otu0053	Otu0198	0.787554	0	0.000367165
Otu0053	Otu0332	0.81065	0	0
Otu0053	Otu0407	0.820434	0	0
Otu0053	Otu0470	0.807935	0	0
Otu0053	Otu0917	0.799258	0	0
Otu0053	Otu1194	0.77425	0	0.000400543
Otu0053	Otu1211	0.791565	0	0
Otu0057	Otu0891	0.756953	0	0.000452995
Otu0072	Otu0470	0.779473	0	0.000386238
Otu0072	Otu0917	0.764218	0	0.000429153
Otu0074	Otu0081	0.804818	0	0
Otu0074	Otu0198	0.865152	0	0
Otu0074	Otu0407	0.76394	0	0.000429153
Otu0074	Otu1107	0.831519	0	0
Otu0074	Otu1180	0.785092	0	0.000371933
Otu0074	Otu1194	0.836375	0	0
Otu0081	Otu0180	0.80446	0	0
Otu0081	Otu0223	0.816152	0	0
Otu0081	Otu0407	0.770224	0	0.00041008
Otu0081	Otu0470	0.88196	0	0
Otu0081	Otu0917	0.781903	0	0.000376701
Otu0122	Otu0678	0.78942	0	0.000367165
Otu0130	Otu0687	0.763043	0	0.000429153
Otu0136	Otu0269	0.845688	0	0
Otu0136	Otu1411	0.767363	0	0.000419617
Otu0179	Otu5162	0.755082	0	0.0004673
Otu0180	Otu0223	0.856382	0	0
Otu0180	Otu0470	0.7947	0	0
Otu0180	Otu0917	0.754308	0	0.0004673
Otu0184	Otu3305	0.800315	0	0
Otu0197	Otu0257	0.761991	0	0.00043869
Otu0197	Otu0732	0.789628	0	0.000367165
Otu0197	Otu1757	0.767646	0	0.000419617
Otu0197	Otu2139	0.763327	0	0.000429153
Otu0198	Otu0332	0.759733	0	0.00043869
Otu0198	Otu1107	0.836021	0	0
Otu0198	Otu1180	0.815161	0	0
Otu0198	Otu1194	0.798205	0	0
Otu0213	Otu1757	0.796072	0	0
Otu0223	Otu0470	0.884122	0	0
Otu0223	Otu0917	0.779608	0	0.000386238
Otu0230	Otu3305	0.83269	0	0
Otu0244	Otu0525	0.806991	0	0
Otu0244	Otu1554	0.784185	0	0.000376701
Otu0257	Otu0732	0.800075	0	0
Otu0269	Otu1411	0.760702	0	0.00043869
Otu0311	Otu4239	0.832169	0	0
Otu0311	Otu4616	0.829331	0	0
Otu0338	Otu0595	0.811848	0	0
Otu0338	Otu0640	0.761261	0	0.00043869
Otu0338	Otu1082	0.76932	0	0.00041008
Otu0338	Otu2139	0.772966	0	0.000400543
Otu0394	Otu0443	0.780639	0	0.000386238
Otu0407	Otu0470	0.759576	0	0.00043869
Otu0407	Otu0917	0.811358	0	0
Otu0443	Otu3684	0.902406	0	0
Otu0470	Otu0917	0.872151	0	0
Otu0472	Otu0522	0.761058	0	0.00043869
Otu0522	Otu0735	0.751522	0	0.000481606
Otu0525	Otu1554	0.799511	0	0
Otu0525	Otu2721	0.82574	0	0
Otu0538	Otu0576	0.87368	0	0
Otu0538	Otu0640	0.89973	0	0
Otu0538	Otu0658	0.827386	0	0
Otu0538	Otu1082	0.787251	0	0.000371933
Otu0538	Otu1340	0.961951	0	0
Otu0538	Otu1748	0.930771	0	0
Otu0538	Otu2139	0.78148	0	0.000376701
Otu0576	Otu0640	0.842788	0	0
Otu0576	Otu0658	0.815169	0	0
Otu0576	Otu1340	0.859268	0	0
Otu0576	Otu1748	0.830434	0	0
Otu0576	Otu2139	0.777225	0	0.000391006
Otu0576	Otu4202	0.77721	0	0.000391006
Otu0595	Otu0640	0.7742	0	0.000400543
Otu0595	Otu1082	0.751354	0	0.000481606
Otu0595	Otu1757	0.884969	0	0
Otu0595	Otu2139	0.882279	0	0
Otu0601	Otu1411	0.771793	0	0.000400543
Otu0601	Otu4419	0.785969	0	0.000371933
Otu0634	Otu1359	0.753777	0	0.0004673
Otu0640	Otu1082	0.782018	0	0.000376701
Otu0640	Otu1340	0.890444	0	0
Otu0640	Otu1680	0.758113	0	0.000452995
Otu0640	Otu1748	0.875602	0	0
Otu0640	Otu2139	0.857487	0	0
Otu0658	Otu1340	0.798934	0	0
Otu0658	Otu1748	0.785277	0	0.000371933
Otu0658	Otu1752	0.815075	0	0
Otu0687	Otu5566	0.774908	0	0.000391006
Otu0723	Otu1462	0.755204	0	0.0004673
Otu0727	Otu0735	0.779359	0	0.000386238
Otu0727	Otu3684	0.75298	0	0.0004673
Otu0727	Otu4605	0.804268	0	0
Otu0735	Otu4435	0.752774	0	0.0004673
Otu0735	Otu5204	0.752936	0	0.0004673
Otu0813	Otu1206	0.799745	0	0
Otu0891	Otu1258	0.760516	0	0.00043869
Otu0891	Otu5264	0.869331	0	0
Otu1008	Otu3391	0.816878	0	0
Otu1082	Otu1340	0.80858	0	0
Otu1082	Otu1748	0.78928	0	0.000367165
Otu1082	Otu2139	0.836168	0	0
Otu1107	Otu1180	0.846804	0	0
Otu1107	Otu1194	0.816405	0	0
Otu1180	Otu1194	0.822094	0	0
Otu1206	Otu2372	0.758248	0	0.000452995
Otu1258	Otu1359	0.790822	0	0
Otu1258	Otu5264	0.777928	0	0.000386238
Otu1340	Otu1748	0.929888	0	0
Otu1340	Otu2139	0.784582	0	0.000371933
Otu1411	Otu4419	0.776406	0	0.000391006
Otu1462	Otu1554	0.853085	0	0
Otu1748	Otu2139	0.750031	0	0.000481606
Otu1757	Otu2139	0.785201	0	0.000371933
Otu2721	Otu4853	0.761537	0	0.00043869
Otu4239	Otu4616	0.965366	0	0
