index1	index2	LSA	lag	p.valueBound
Otu0002	Otu0005	0.788741	0	0
Otu0002	Otu0058	0.755921	0	0
Otu0002	Otu0108	0.781279	0	0
Otu0002	Otu0109	0.799591	0	0
Otu0002	Otu0456	0.752625	0	0
Otu0002	Otu6114	0.754076	0	0
Otu0005	Otu0108	0.910205	0	0
Otu0005	Otu0109	0.804056	0	0
Otu0005	Otu6114	0.810182	0	0
Otu0011	Otu0685	0.764704	0	0
Otu0016	Otu0038	0.821558	0	0
Otu0016	Otu0325	0.800805	0	0
Otu0031	Otu0390	0.763457	0	0
Otu0034	Otu0522	0.752996	0	0
Otu0038	Otu0325	0.835558	0	0
Otu0039	Otu1582	0.758553	0	0
Otu0045	Otu0224	0.836034	0	0
Otu0055	Otu0255	0.798077	0	0
Otu0055	Otu0488	0.866483	0	0
Otu0055	Otu0772	0.769378	0	0
Otu0055	Otu0941	0.841956	0	0
Otu0055	Otu1467	0.849601	0	0
Otu0055	Otu1473	0.897992	0	0
Otu0055	Otu4517	0.75668	0	0
Otu0055	Otu5470	0.893401	0	0
Otu0058	Otu0108	0.773262	0	0
Otu0058	Otu0109	0.764687	0	0
Otu0058	Otu0224	0.762386	0	0
Otu0059	Otu0134	0.788514	0	0
Otu0059	Otu0685	0.857011	0	0
Otu0074	Otu0198	0.860991	0	0
Otu0076	Otu1259	0.757438	0	0
Otu0088	Otu0531	0.777548	0	0
Otu0088	Otu0887	0.816009	0	0
Otu0088	Otu0919	0.785511	0	0
Otu0108	Otu0109	0.854732	0	0
Otu0108	Otu4616	0.769596	0	0
Otu0108	Otu6114	0.819954	0	0
Otu0109	Otu6114	0.823931	0	0
Otu0122	Otu0311	0.80321	0	0
Otu0122	Otu1942	0.814938	0	0
Otu0122	Otu3879	0.931401	0	0
Otu0134	Otu0685	0.801436	0	0
Otu0136	Otu0179	0.877683	0	0
Otu0184	Otu0230	0.796957	0	0
Otu0184	Otu5264	0.786047	0	0
Otu0215	Otu0685	0.752456	0	0
Otu0216	Otu4616	0.762209	0	0
Otu0232	Otu4529	0.783197	0	0
Otu0235	Otu1402	0.771009	0	0
Otu0255	Otu0488	0.756482	0	0
Otu0255	Otu1473	0.800698	0	0
Otu0282	Otu0297	0.80892	0	0
Otu0311	Otu3879	0.804022	0	0
Otu0331	Otu0505	0.814744	0	0
Otu0331	Otu1138	0.859254	0	0
Otu0331	Otu5985	0.806101	0	0
Otu0345	Otu5470	0.768783	0	0
Otu0361	Otu1354	0.790192	0	0
Otu0390	Otu0488	0.938673	0	0
Otu0390	Otu0773	0.884778	0	0
Otu0390	Otu0941	0.845158	0	0
Otu0390	Otu1473	0.760932	0	0
Otu0390	Otu3400	0.827435	0	0
Otu0390	Otu4896	0.853327	0	0
Otu0456	Otu6114	0.833973	0	0
Otu0488	Otu0773	0.876469	0	0
Otu0488	Otu0941	0.890695	0	0
Otu0488	Otu1467	0.754593	0	0
Otu0488	Otu1473	0.862241	0	0
Otu0488	Otu1582	0.765104	0	0
Otu0488	Otu4896	0.868407	0	0
Otu0488	Otu5470	0.859121	0	0
Otu0505	Otu1138	0.817539	0	0
Otu0505	Otu1402	0.759778	0	0
Otu0518	Otu0876	0.760866	0	0
Otu0518	Otu2479	0.754242	0	0
Otu0531	Otu0919	0.820795	0	0
Otu0531	Otu1478	0.80214	0	0
Otu0685	Otu1354	0.835324	0	0
Otu0708	Otu1354	0.787796	0	0
Otu0772	Otu1467	0.893204	0	0
Otu0772	Otu1473	0.775141	0	0
Otu0772	Otu4517	0.797108	0	0
Otu0772	Otu5470	0.811923	0	0
Otu0773	Otu0941	0.781837	0	0
Otu0773	Otu4896	0.801992	0	0
Otu0813	Otu3305	0.767217	0	0
Otu0876	Otu2479	0.782817	0	0
Otu0887	Otu0919	0.751547	0	0
Otu0919	Otu1478	0.751608	0	0
Otu0941	Otu1473	0.780407	0	0
Otu0941	Otu1977	0.781837	0	0
Otu0941	Otu4896	0.802814	0	0
Otu0941	Otu5470	0.877893	0	0
Otu1031	Otu4616	0.816892	0	0
Otu1354	Otu1402	0.780217	0	0
Otu1380	Otu2112	0.807972	0	0
Otu1467	Otu1473	0.822853	0	0
Otu1467	Otu4517	0.808294	0	0
Otu1467	Otu5470	0.847587	0	0
Otu1473	Otu4896	0.779611	0	0
Otu1473	Otu5470	0.836347	0	0
Otu1582	Otu5424	0.904171	0	0
Otu1942	Otu3879	0.774181	0	0
Otu3400	Otu4896	0.78841	0	0
Otu4517	Otu5470	0.805614	0	0
Otu4517	Otu6113	0.766503	0	0
Otu4616	Otu4697	0.757699	0	0
Otu4896	Otu5470	0.750098	0	0
