index1	index2	LSA	lag	p.valueBound
Otu0003	Otu1346	0.904959	0	0
Otu0004	Otu0369	0.796743	0	0
Otu0017	Otu0051	0.753597	0	0
Otu0017	Otu2790	0.802575	0	0
Otu0018	Otu0451	0.786421	0	0
Otu0018	Otu1367	0.806427	0	0
Otu0018	Otu1708	0.771751	0	0
Otu0020	Otu0573	0.768752	0	0
Otu0051	Otu0203	0.807324	0	0
Otu0051	Otu0211	0.774949	0	0
Otu0051	Otu0757	0.821849	0	0
Otu0051	Otu0769	0.789781	0	0
Otu0051	Otu0805	0.800368	0	0
Otu0051	Otu0883	0.808768	0	0
Otu0051	Otu1863	0.804857	0	0
Otu0051	Otu1873	0.823485	0	0
Otu0051	Otu2790	0.850705	0	0
Otu0062	Otu0573	0.76616	0	0
Otu0062	Otu2704	0.761933	0	0
Otu0134	Otu0685	0.822844	0	0
Otu0136	Otu0179	0.766603	0	0
Otu0167	Otu0205	0.772067	0	0
Otu0167	Otu0568	0.77883	0	0
Otu0167	Otu0715	0.808936	0	0
Otu0167	Otu1281	0.75008	0	0
Otu0203	Otu0582	0.761942	0	0
Otu0203	Otu0715	0.761415	0	0
Otu0203	Otu0769	0.764928	0	0
Otu0203	Otu0805	0.777384	0	0
Otu0203	Otu1281	0.788621	0	0
Otu0203	Otu1873	0.826001	0	0
Otu0205	Otu0451	0.806151	0	0
Otu0205	Otu0568	0.847597	0	0
Otu0205	Otu0582	0.84721	0	0
Otu0205	Otu0715	0.783309	0	0
Otu0205	Otu0805	0.768093	0	0
Otu0205	Otu1367	0.777089	0	0
Otu0205	Otu2949	0.816837	0	0
Otu0211	Otu0426	0.784882	0	0
Otu0211	Otu0480	0.8177	0	0
Otu0211	Otu0573	0.783861	0	0
Otu0211	Otu0757	0.820096	0	0
Otu0213	Otu0385	0.770162	0	0
Otu0306	Otu0347	0.786565	0	0
Otu0390	Otu0488	0.893559	0	0
Otu0426	Otu0480	0.784696	0	0
Otu0426	Otu0757	0.764192	0	0
Otu0451	Otu1153	0.80771	0	0
Otu0451	Otu1367	0.777167	0	0
Otu0480	Otu0573	0.851745	0	0
Otu0480	Otu0757	0.793607	0	0
Otu0480	Otu1308	0.756077	0	0
Otu0488	Otu1473	0.827253	0	0
Otu0568	Otu0582	0.831903	0	0
Otu0568	Otu0715	0.861922	0	0
Otu0568	Otu0805	0.79812	0	0
Otu0568	Otu1281	0.80136	0	0
Otu0568	Otu2949	0.785174	0	0
Otu0573	Otu0757	0.818921	0	0
Otu0573	Otu1308	0.807382	0	0
Otu0582	Otu0715	0.851315	0	0
Otu0582	Otu1281	0.800502	0	0
Otu0582	Otu2949	0.832799	0	0
Otu0595	Otu1757	0.771465	0	0
Otu0715	Otu0805	0.847204	0	0
Otu0715	Otu1281	0.918374	0	0
Otu0715	Otu2949	0.775417	0	0
Otu0757	Otu1863	0.799704	0	0
Otu0757	Otu1873	0.793317	0	0
Otu0757	Otu2790	0.759047	0	0
Otu0769	Otu0805	0.765198	0	0
Otu0769	Otu1873	0.767178	0	0
Otu0772	Otu1473	0.795005	0	0
Otu0805	Otu1281	0.798116	0	0
Otu0805	Otu1873	0.771828	0	0
Otu0805	Otu2790	0.766267	0	0
Otu0805	Otu3029	0.788079	0	0
Otu0883	Otu1873	0.791997	0	0
Otu0928	Otu1481	0.771449	0	0
Otu1153	Otu1308	0.779214	0	0
Otu1153	Otu2428	0.885612	0	0
Otu1541	Otu2428	0.770457	0	0
Otu1863	Otu1873	0.852754	0	0
Otu1863	Otu2790	0.864754	0	0
Otu1873	Otu2790	0.824785	0	0
Otu1873	Otu3029	0.786733	0	0
Otu2790	Otu3029	0.751718	0	0
