index1	index2	LSA	lag	p.valueBound
Otu0001	Otu0015	0.883816	0	0.000545502
Otu0001	Otu0034	0.92083	0	0.000350237
Otu0001	Otu0058	0.903166	0	0.000415325
Otu0001	Otu0108	0.92342	0	0.00033474
Otu0001	Otu0522	0.885094	0	0.000545502
Otu0001	Otu0535	0.938811	0	0.000294447
Otu0001	Otu3028	0.872074	0	0.000653982
Otu0001	Otu5162	0.855219	0	0.000883341
Otu0001	Otu6102	0.937461	0	0.000294447
Otu0014	Otu0331	0.852297	0	0.000948429
Otu0014	Otu1478	0.854868	0	0.000883341
Otu0015	Otu0034	0.880363	0	0.000576496
Otu0015	Otu0058	0.859335	0	0.000796556
Otu0015	Otu0108	0.86687	0	0.000697374
Otu0015	Otu0522	0.88725	0	0.000514507
Otu0015	Otu0535	0.896641	0	0.000461817
Otu0015	Otu6102	0.900305	0	0.000437021
Otu0034	Otu0058	0.887149	0	0.000514507
Otu0034	Otu0108	0.897756	0	0.000461817
Otu0034	Otu0522	0.873713	0	0.000653982
Otu0034	Otu0535	0.930111	0	0.000313044
Otu0034	Otu3028	0.874257	0	0.000653982
Otu0034	Otu6102	0.936793	0	0.000303745
Otu0058	Otu0108	0.879994	0	0.000576496
Otu0058	Otu0522	0.897312	0	0.000461817
Otu0058	Otu0535	0.929883	0	0.000313044
Otu0058	Otu3028	0.934528	0	0.000303745
Otu0058	Otu5162	0.883822	0	0.000545502
Otu0058	Otu6102	0.914935	0	0.000362635
Otu0108	Otu0189	0.86153	0	0.000796556
Otu0108	Otu0522	0.880846	0	0.000576496
Otu0108	Otu0535	0.91871	0	0.000350237
Otu0108	Otu3028	0.888708	0	0.000514507
Otu0108	Otu5162	0.853718	0	0.000883341
Otu0108	Otu6102	0.913474	0	0.000381231
Otu0136	Otu0179	0.948798	0	0.00027895
Otu0143	Otu6114	0.906726	0	0.000396729
Otu0257	Otu1031	0.863917	0	0.000743866
Otu0522	Otu0535	0.913453	0	0.000381231
Otu0522	Otu3028	0.885779	0	0.000545502
Otu0522	Otu5162	0.860281	0	0.000796556
Otu0522	Otu6102	0.901347	0	0.000437021
Otu0535	Otu3028	0.906966	0	0.000396729
Otu0535	Otu5162	0.878819	0	0.000576496
Otu0535	Otu6102	0.95768	0	0.000260353
Otu1108	Otu5900	0.860947	0	0.000796556
Otu3028	Otu5162	0.885703	0	0.000545502
Otu3028	Otu6102	0.897098	0	0.000461817
Otu5162	Otu6102	0.875826	0	0.000613689
