index1	index2	LSA	lag	p.valueBound
Otu0003	Otu1346	0.78616	0	0
Otu0016	Otu0019	0.878994	0	0
Otu0016	Otu0096	0.872607	0	0
Otu0016	Otu0103	0.850881	0	0
Otu0016	Otu0306	0.942315	0	0
Otu0016	Otu0347	0.846541	0	0
Otu0016	Otu0390	0.832379	0	0
Otu0016	Otu0426	0.89062	0	0
Otu0016	Otu1209	0.896556	0	0
Otu0016	Otu3230	0.81947	0	0
Otu0016	Otu3400	0.75256	0	0
Otu0019	Otu0029	0.75021	0	0
Otu0019	Otu0096	0.805828	0	0
Otu0019	Otu0103	0.808887	0	0
Otu0019	Otu0306	0.861927	0	0
Otu0019	Otu0347	0.805261	0	0
Otu0019	Otu0390	0.809022	0	0
Otu0019	Otu0426	0.84696	0	0
Otu0019	Otu1209	0.837641	0	0
Otu0019	Otu3230	0.774654	0	0
Otu0019	Otu3400	0.785279	0	0
Otu0021	Otu0231	0.81189	0	0
Otu0029	Otu3400	0.8348	0	0
Otu0042	Otu0055	0.875033	0	0
Otu0042	Otu0172	0.803488	0	0
Otu0042	Otu0237	0.779322	0	0
Otu0042	Otu3168	0.828757	0	0
Otu0042	Otu5128	0.873525	0	0
Otu0044	Otu0295	0.886915	0	0
Otu0044	Otu1183	0.813778	0	0
Otu0044	Otu4584	0.907808	0	0
Otu0055	Otu0172	0.762992	0	0
Otu0055	Otu3168	0.847053	0	0
Otu0055	Otu5128	0.853015	0	0
Otu0069	Otu0297	0.752918	0	0
Otu0069	Otu1680	0.752664	0	0
Otu0076	Otu0184	0.802895	0	0
Otu0076	Otu3028	0.836062	0	0
Otu0088	Otu0361	0.772135	0	0
Otu0096	Otu0103	0.790828	0	0
Otu0096	Otu0306	0.843241	0	0
Otu0096	Otu0347	0.767216	0	0
Otu0096	Otu0390	0.794364	0	0
Otu0096	Otu0426	0.824777	0	0
Otu0096	Otu1209	0.834376	0	0
Otu0103	Otu0306	0.776054	0	0
Otu0103	Otu0347	0.821465	0	0
Otu0103	Otu0390	0.828802	0	0
Otu0103	Otu0426	0.913285	0	0
Otu0103	Otu1209	0.949044	0	0
Otu0103	Otu3230	0.755674	0	0
Otu0103	Otu3400	0.812713	0	0
Otu0107	Otu0489	0.759024	0	0
Otu0109	Otu0338	0.826217	0	0
Otu0109	Otu0606	0.843876	0	0
Otu0136	Otu0179	0.951185	0	0
Otu0172	Otu3168	0.885244	0	0
Otu0172	Otu5128	0.798746	0	0
Otu0180	Otu3085	0.85704	0	0
Otu0198	Otu2372	0.834254	0	0
Otu0230	Otu0678	0.765842	0	0
Otu0237	Otu5128	0.78307	0	0
Otu0257	Otu0640	0.766329	0	0
Otu0257	Otu0679	0.751682	0	0
Otu0257	Otu1545	0.8157	0	0
Otu0257	Otu3507	0.769432	0	0
Otu0257	Otu5401	0.753418	0	0
Otu0295	Otu1183	0.853156	0	0
Otu0295	Otu4584	0.920975	0	0
Otu0306	Otu0347	0.859714	0	0
Otu0306	Otu0390	0.830777	0	0
Otu0306	Otu0426	0.854716	0	0
Otu0306	Otu1209	0.841626	0	0
Otu0306	Otu3230	0.825168	0	0
Otu0306	Otu3400	0.777875	0	0
Otu0331	Otu0443	0.80119	0	0
Otu0331	Otu1583	0.830808	0	0
Otu0331	Otu5699	0.887328	0	0
Otu0338	Otu0606	0.859159	0	0
Otu0347	Otu0390	0.840261	0	0
Otu0347	Otu0426	0.855115	0	0
Otu0347	Otu1209	0.854318	0	0
Otu0347	Otu3230	0.79471	0	0
Otu0347	Otu3400	0.797091	0	0
Otu0390	Otu0426	0.867873	0	0
Otu0390	Otu1209	0.858555	0	0
Otu0390	Otu3230	0.85733	0	0
Otu0390	Otu3400	0.814695	0	0
Otu0425	Otu0551	0.753992	0	0
Otu0426	Otu0488	0.766006	0	0
Otu0426	Otu1209	0.922935	0	0
Otu0426	Otu3230	0.849622	0	0
Otu0426	Otu3400	0.786849	0	0
Otu0443	Otu5699	0.81497	0	0
Otu0488	Otu3230	0.843478	0	0
Otu0640	Otu1545	0.832125	0	0
Otu0640	Otu1748	0.941434	0	0
Otu0640	Otu3507	0.977382	0	0
Otu0640	Otu5401	0.964372	0	0
Otu0678	Otu1673	0.764926	0	0
Otu0840	Otu5762	0.844648	0	0
Otu1041	Otu3233	0.813617	0	0
Otu1183	Otu4584	0.857225	0	0
Otu1194	Otu1582	0.792298	0	0
Otu1194	Otu2637	0.850004	0	0
Otu1209	Otu3230	0.791804	0	0
Otu1209	Otu3400	0.805906	0	0
Otu1245	Otu1467	0.86337	0	0
Otu1245	Otu5851	0.780776	0	0
Otu1411	Otu1583	0.936406	0	0
Otu1411	Otu4643	0.772197	0	0
Otu1411	Otu5699	0.82292	0	0
Otu1467	Otu5851	0.779449	0	0
Otu1545	Otu1748	0.778636	0	0
Otu1545	Otu3507	0.845018	0	0
Otu1545	Otu5401	0.829928	0	0
Otu1582	Otu1723	0.828031	0	0
Otu1582	Otu2637	0.839292	0	0
Otu1583	Otu5699	0.893878	0	0
Otu1748	Otu3507	0.905746	0	0
Otu1748	Otu5401	0.87534	0	0
Otu3028	Otu3305	0.759335	0	0
Otu3168	Otu5128	0.831951	0	0
Otu3233	Otu3938	0.784791	0	0
Otu3507	Otu5401	0.976477	0	0
