lakeid,year4,daynum,sampledate,rep,sta,depth,chlor,phaeo,flagchlor,flagphaeo
"TB",2007,282,2007-10-09,1,1,3.00,93.7,-8.6,,"K"
"TB",2007,282,2007-10-09,1,1,5.00,8.7,6.8,,
"TB",2007,282,2007-10-09,2,1,5.00,7.1,8.9,,
"TB",2007,282,2007-10-09,1,1,6.00,5.1,11.9,,
"TB",2007,297,2007-10-24,1,1,0.00,19.9,-0.6,,"L"
"TB",2007,297,2007-10-24,2,1,0.00,22.4,-5.2,,"KL"
"TB",2007,297,2007-10-24,1,1,2.00,15.6,2.8,,
"TB",2007,297,2007-10-24,1,1,3.00,18.5,0.0,,
"TB",2007,297,2007-10-24,1,1,5.00,18.6,-3.5,,"K"
"TB",2007,297,2007-10-24,1,1,7.00,6.7,21.6,,
"TB",2007,319,2007-11-15,1,1,0.00,4.4,5.7,"G","G"
"TB",2007,319,2007-11-15,1,1,2.00,10.5,-3.2,"G","GK"
"TB",2007,319,2007-11-15,1,1,3.00,4.4,7.2,"GL","GL"
"TB",2007,319,2007-11-15,2,1,3.00,6.0,5.6,"GL","GL"
"TB",2007,319,2007-11-15,1,1,5.00,4.9,6.4,"G","G"
"TB",2007,319,2007-11-15,1,1,7.00,5.3,4.4,"G","G"
"TB",2008,28,2008-01-28,1,1,0.00,6.8,1.6,"G","G"
"TB",2008,28,2008-01-28,1,1,2.00,0.4,2.5,"G","G"
"TB",2008,28,2008-01-28,1,1,3.00,0.3,3.1,"G","G"
"TB",2008,28,2008-01-28,1,1,5.00,0.6,4.1,"G","G"
"TB",2008,28,2008-01-28,1,1,7.00,0.8,4.6,"G","G"
"TB",2008,28,2008-01-28,2,1,7.00,0.4,5.1,"G","G"
"TB",2008,56,2008-02-25,1,1,0.00,1.8,1.3,,
"TB",2008,56,2008-02-25,1,1,2.00,1.4,1.8,,
"TB",2008,56,2008-02-25,1,1,3.00,1.0,2.4,"L",
"TB",2008,56,2008-02-25,2,1,3.00,5.1,1.6,"L",
"TB",2008,56,2008-02-25,1,1,5.00,0.8,2.7,,
"TB",2008,56,2008-02-25,1,1,7.00,1.6,8.8,,
"TB",2008,87,2008-03-27,1,1,0.00,1.9,2.7,,
"TB",2008,87,2008-03-27,1,1,2.00,0.6,3.0,,
"TB",2008,87,2008-03-27,1,1,3.00,0.3,3.4,,
"TB",2008,87,2008-03-27,1,1,5.00,0.5,2.8,,
"TB",2008,87,2008-03-27,1,1,6.00,0.8,3.3,,
"TB",2008,87,2008-03-27,2,1,6.00,0.7,3.7,,
"TB",2008,129,2008-05-08,1,1,0.00,7.9,1.6,,
"TB",2008,129,2008-05-08,2,1,0.00,8.0,2.0,,
"TB",2008,129,2008-05-08,1,1,2.00,27.5,5.8,,
"TB",2008,129,2008-05-08,1,1,3.00,21.2,0.9,,
"TB",2008,129,2008-05-08,1,1,5.00,17.1,4.6,,
"TB",2008,129,2008-05-08,1,1,7.00,7.2,6.2,,
"TB",2008,142,2008-05-21,1,1,0.00,4.9,3.4,,
"TB",2008,142,2008-05-21,1,1,2.00,5.1,12.6,,
"TB",2008,142,2008-05-21,1,1,3.00,16.8,-5.3,"L","KL"
"TB",2008,142,2008-05-21,2,1,3.00,7.4,8.1,"L","L"
"TB",2008,142,2008-05-21,1,1,5.00,-7.4,30.6,"K","K"
"TB",2008,142,2008-05-21,1,1,7.00,-6.1,29.7,"K","K"
"TB",2008,155,2008-06-03,1,1,0.00,3.1,2.3,,
"TB",2008,155,2008-06-03,1,1,2.00,8.0,5.2,,
"TB",2008,155,2008-06-03,2,1,2.00,7.0,4.6,,
"TB",2008,155,2008-06-03,1,1,3.00,23.4,10.3,,
"TB",2008,155,2008-06-03,1,1,5.00,8.5,2.7,,
"TB",2008,155,2008-06-03,1,1,7.00,6.3,6.1,,
"TB",2008,172,2008-06-20,1,1,0.00,12.8,-2.6,"KL","K"
"TB",2008,172,2008-06-20,2,1,0.00,4.9,-0.8,"L","L"
"TB",2008,172,2008-06-20,1,1,2.00,10.6,-1.7,,"K"
"TB",2008,172,2008-06-20,1,1,3.00,88.9,-27.7,,"K"
"TB",2008,172,2008-06-20,1,1,5.00,9.8,-2.0,,"K"
"TB",2008,172,2008-06-20,1,1,7.00,6.4,3.9,,
"TB",2008,182,2008-06-30,1,1,0.00,10.4,8.7,,"L"
"TB",2008,182,2008-06-30,2,1,0.00,10.9,3.4,,"L"
"TB",2008,182,2008-06-30,1,1,2.00,67.0,2.6,,
"TB",2008,182,2008-06-30,1,1,3.00,101.3,6.4,,
"TB",2008,182,2008-06-30,1,1,5.00,-0.5,12.2,"K",
"TB",2008,182,2008-06-30,1,1,7.00,57.0,-45.8,,"K"
"TB",2008,210,2008-07-28,1,1,0.00,2.1,1.1,,
"TB",2008,210,2008-07-28,1,1,2.00,89.7,25.3,"L","L"
"TB",2008,210,2008-07-28,2,1,2.00,48.6,18.4,"L","L"
"TB",2008,210,2008-07-28,1,1,3.00,120.8,11.3,,
"TB",2008,210,2008-07-28,1,1,5.00,7.0,9.9,,
"TB",2008,210,2008-07-28,1,1,7.00,2.5,8.6,,
"TB",2008,226,2008-08-13,1,1,0.00,6.4,5.9,,
"TB",2008,226,2008-08-13,1,1,2.00,193.7,25.5,,
"TB",2008,226,2008-08-13,1,1,3.00,126.3,18.5,,
"TB",2008,226,2008-08-13,1,1,5.00,8.5,12.8,"L","L"
"TB",2008,226,2008-08-13,2,1,5.00,13.6,4.7,"L","L"
"TB",2008,226,2008-08-13,1,1,7.00,3.0,12.7,,
"TB",2008,239,2008-08-26,1,1,0.00,5.9,4.9,,
"TB",2008,239,2008-08-26,1,1,2.00,333.0,29.9,"L","L"
"TB",2008,239,2008-08-26,2,1,2.00,-473.6,830.8,"KL","L"
"TB",2008,239,2008-08-26,1,1,3.00,368.7,-209.6,,"K"
"TB",2008,239,2008-08-26,1,1,5.00,179.0,-147.9,,"K"
"TB",2008,239,2008-08-26,1,1,6.00,30.6,-3.8,,"K"
"TB",2008,255,2008-09-11,1,1,0.00,11.0,8.9,,
"TB",2008,255,2008-09-11,1,1,2.00,257.7,-4.2,"L","KL"
"TB",2008,255,2008-09-11,2,1,2.00,312.0,-52.0,"L","KL"
"TB",2008,255,2008-09-11,1,1,3.00,116.1,27.0,,
"TB",2008,255,2008-09-11,1,1,5.00,45.3,15.6,,
"TB",2008,255,2008-09-11,1,1,7.00,64.5,18.1,,
"TB",2008,267,2008-09-23,1,1,0.00,75.6,-46.7,"L","KL"
"TB",2008,267,2008-09-23,2,1,0.00,379.6,-320.3,"L","KL"
"TB",2008,267,2008-09-23,1,1,2.00,317.6,-212.1,,"K"
"TB",2008,267,2008-09-23,1,1,3.00,217.6,-172.0,,"K"
"TB",2008,267,2008-09-23,1,1,5.00,11.2,11.0,,
"TB",2008,267,2008-09-23,1,1,7.00,18.4,-6.5,,"K"
"TB",2008,280,2008-10-06,1,1,0.00,74.6,23.5,,"L"
"TB",2008,280,2008-10-06,2,1,0.00,73.4,30.9,,"L"
"TB",2008,280,2008-10-06,1,1,2.00,57.7,2.4,,
"TB",2008,280,2008-10-06,1,1,3.00,145.6,-5.5,,"K"
"TB",2008,280,2008-10-06,1,1,5.00,36.1,23.8,,
"TB",2008,280,2008-10-06,1,1,7.00,5.9,16.9,,
"TB",2008,295,2008-10-21,1,1,0.00,9.7,4.7,,
"TB",2008,295,2008-10-21,1,1,2.00,8.9,4.7,,
"TB",2008,295,2008-10-21,1,1,3.00,13.3,5.8,,
"TB",2008,295,2008-10-21,2,1,3.00,11.3,5.5,,
"TB",2008,295,2008-10-21,1,1,5.00,8.2,9.6,,
"TB",2008,295,2008-10-21,1,1,6.00,3.3,10.7,,
"TB",2008,316,2008-11-11,1,1,0.00,7.0,2.8,,
"TB",2008,316,2008-11-11,1,1,2.00,6.1,3.6,,
"TB",2008,316,2008-11-11,1,1,3.00,6.2,3.0,,
"TB",2008,316,2008-11-11,1,1,5.00,6.2,3.0,,
"TB",2008,316,2008-11-11,1,1,6.50,2.0,8.0,,
"TB",2008,316,2008-11-11,2,1,6.50,1.4,9.0,,
"TB",2009,22,2009-01-22,1,1,0.00,98.6,1.8,,
"TB",2009,22,2009-01-22,1,1,3.00,0.4,2.3,,
"TB",2009,22,2009-01-22,1,1,5.00,0.4,2.0,,
"TB",2009,22,2009-01-22,1,1,7.00,2.8,7.1,,"L"
"TB",2009,22,2009-01-22,2,1,7.00,3.0,5.4,,"L"
"TB",2009,48,2009-02-17,1,1,0.00,5.9,2.0,,
"TB",2009,48,2009-02-17,2,1,0.00,6.3,1.7,,
"TB",2009,48,2009-02-17,1,1,2.00,1.2,1.7,,
"TB",2009,48,2009-02-17,1,1,3.00,0.8,2.4,,
"TB",2009,48,2009-02-17,1,1,5.00,1.2,2.6,,
"TB",2009,48,2009-02-17,1,1,7.00,1.1,5.4,,
"TB",2009,84,2009-03-25,1,1,0.00,13.3,2.1,,
"TB",2009,84,2009-03-25,1,1,2.00,2.7,1.8,,
"TB",2009,84,2009-03-25,1,1,3.00,3.1,1.1,,
"TB",2009,84,2009-03-25,2,1,3.00,2.5,2.3,,
"TB",2009,84,2009-03-25,1,1,5.00,2.3,3.1,,
"TB",2009,84,2009-03-25,1,1,7.00,4.2,7.3,,
"TB",2009,118,2009-04-28,1,1,0.00,145.2,5.1,,
"TB",2009,118,2009-04-28,1,1,2.00,24.5,9.6,,
"TB",2009,118,2009-04-28,1,1,3.00,17.9,11.8,,
"TB",2009,118,2009-04-28,1,1,5.00,11.0,6.1,,
"TB",2009,118,2009-04-28,1,1,7.00,14.9,9.1,,"L"
"TB",2009,118,2009-04-28,2,1,7.00,12.7,12.2,,"L"
"TB",2009,134,2009-05-14,1,1,0.00,106.3,-11.2,,"K"
"TB",2009,134,2009-05-14,1,1,2.00,11.8,15.3,,
"TB",2009,134,2009-05-14,2,1,2.00,11.4,16.2,,
"TB",2009,134,2009-05-14,1,1,3.00,15.0,12.5,,
"TB",2009,134,2009-05-14,1,1,5.00,7.9,12.0,,
"TB",2009,134,2009-05-14,1,1,7.00,9.1,23.3,,
"TB",2009,149,2009-05-29,1,1,0.00,5.8,1.1,"L","L"
"TB",2009,149,2009-05-29,2,1,0.00,8.1,5.6,"L","L"
"TB",2009,149,2009-05-29,1,1,2.00,16.0,10.1,,
"TB",2009,149,2009-05-29,1,1,3.00,20.7,18.6,,
"TB",2009,149,2009-05-29,1,1,5.00,17.4,12.3,,
"TB",2009,149,2009-05-29,1,1,7.00,34.0,11.5,,
"TB",2009,160,2009-06-09,1,1,0.00,6.3,-1.1,"J","JK"
"TB",2009,160,2009-06-09,1,1,2.00,15.2,4.6,"J","J"
"TB",2009,160,2009-06-09,1,1,3.00,35.0,20.1,"J","J"
"TB",2009,160,2009-06-09,1,1,5.00,65.6,-19.5,"J","JK"
"TB",2009,160,2009-06-09,1,1,7.00,15.8,12.0,"J","JL"
"TB",2009,160,2009-06-09,2,1,7.00,19.1,0.6,"J","JL"
"TB",2009,173,2009-06-22,1,1,0.00,7.4,-0.5,,
"TB",2009,173,2009-06-22,1,1,2.00,128.0,13.1,,
"TB",2009,173,2009-06-22,1,1,3.00,39.7,16.6,,
"TB",2009,173,2009-06-22,1,1,5.00,12.5,10.8,,
"TB",2009,173,2009-06-22,2,1,5.00,15.4,8.4,,
"TB",2009,173,2009-06-22,1,1,7.00,4.1,12.3,,
"TB",2009,187,2009-07-06,1,1,0.00,19.0,-10.8,"L","KL"
"TB",2009,187,2009-07-06,2,1,0.00,3.7,2.5,"L","L"
"TB",2009,187,2009-07-06,1,1,2.00,217.0,5.4,,
"TB",2009,187,2009-07-06,1,1,3.00,78.4,-0.9,,
"TB",2009,187,2009-07-06,1,1,5.00,28.3,9.4,,
"TB",2009,187,2009-07-06,1,1,6.00,15.0,8.6,,
"TB",2009,202,2009-07-21,1,1,0.00,12.4,1.8,"LO","LO"
"TB",2009,202,2009-07-21,2,1,0.00,9.1,3.1,"LO","LO"
"TB",2009,202,2009-07-21,1,1,2.00,140.4,13.6,,
"TB",2009,202,2009-07-21,1,1,3.00,137.3,3.6,,
"TB",2009,202,2009-07-21,1,1,5.00,16.8,19.0,,
"TB",2009,202,2009-07-21,1,1,6.00,11.2,13.5,,
"TB",2009,217,2009-08-05,1,1,0.00,1.9,8.5,,
"TB",2009,217,2009-08-05,1,1,2.00,477.6,26.0,,
"TB",2009,217,2009-08-05,2,1,2.00,458.7,31.3,,
"TB",2009,217,2009-08-05,1,1,3.00,171.3,30.4,,
"TB",2009,217,2009-08-05,1,1,5.00,22.4,21.6,,
"TB",2009,217,2009-08-05,1,1,6.00,12.8,29.8,,
"TB",2009,229,2009-08-17,1,1,0.00,4.1,3.0,,
"TB",2009,229,2009-08-17,2,1,0.00,5.4,1.2,,
"TB",2009,229,2009-08-17,1,1,2.00,201.8,12.1,,
"TB",2009,229,2009-08-17,1,1,3.00,141.8,18.9,,
"TB",2009,229,2009-08-17,1,1,5.00,17.8,16.6,,
"TB",2009,229,2009-08-17,1,1,6.00,11.6,17.3,,
"TB",2009,245,2009-09-02,1,1,0.00,21.4,-10.4,"OJ","OJ"
"TB",2009,245,2009-09-02,1,1,2.00,153.6,-94.7,"OJ","OJ"
"TB",2009,245,2009-09-02,1,1,3.00,267.9,-201.1,"OJ","OJ"
"TB",2009,245,2009-09-02,1,1,5.00,55.2,-36.9,"OJ","OJ"
"TB",2009,245,2009-09-02,2,1,5.00,48.6,-27.7,"OJ","OJ"
"TB",2009,245,2009-09-02,1,1,6.00,40.2,-20.6,"OJ","OJ"
"TB",2009,258,2009-09-15,1,1,0.00,5.3,-2.1,"OJ","OJ"
"TB",2009,258,2009-09-15,1,1,2.00,69.3,-37.2,"OJ","OJ"
"TB",2009,258,2009-09-15,1,1,3.00,425.0,-327.2,"OJ","OJ"
"TB",2009,258,2009-09-15,1,1,5.00,47.5,-31.2,"OJ","OJ"
"TB",2009,258,2009-09-15,1,1,6.00,40.4,-25.7,"OJ","OJ"
"TB",2009,258,2009-09-15,2,1,6.00,41.2,-27.6,"OJ","OJ"
"TB",2009,271,2009-09-28,1,1,0.00,7.1,2.0,,
"TB",2009,271,2009-09-28,2,1,0.00,6.8,2.6,,
"TB",2009,271,2009-09-28,1,1,2.00,55.7,3.9,,
"TB",2009,271,2009-09-28,1,1,3.00,62.3,-5.1,,"K"
"TB",2009,271,2009-09-28,1,1,5.00,15.6,13.1,,
"TB",2009,271,2009-09-28,1,1,6.00,13.9,12.3,,
"TB",2009,285,2009-10-12,1,1,0.00,22.5,-10.5,"O","KO"
"TB",2009,285,2009-10-12,1,1,2.00,13.7,4.5,,
"TB",2009,285,2009-10-12,2,1,2.00,13.9,3.0,,
"TB",2009,285,2009-10-12,1,1,3.00,14.3,3.1,,
"TB",2009,285,2009-10-12,1,1,5.00,29.7,9.4,,
"TB",2009,285,2009-10-12,1,1,6.00,16.9,9.7,,
"TB",2009,300,2009-10-27,1,1,0.00,25.2,2.6,,
"TB",2009,300,2009-10-27,1,1,2.00,11.8,4.6,,
"TB",2009,300,2009-10-27,1,1,3.00,9.6,5.5,,
"TB",2009,300,2009-10-27,2,1,3.00,7.8,4.1,,
"TB",2009,300,2009-10-27,1,1,5.00,5.5,5.4,,
"TB",2009,300,2009-10-27,1,1,7.00,8.4,17.2,,
"TB",2009,320,2009-11-16,1,1,0.00,10.1,8.3,,
"TB",2009,320,2009-11-16,1,1,2.00,10.9,7.3,,
"TB",2009,320,2009-11-16,1,1,3.00,8.9,8.8,"L","L"
"TB",2009,320,2009-11-16,2,1,3.00,13.4,3.6,"L","L"
"TB",2009,320,2009-11-16,1,1,5.00,13.3,3.9,,
"TB",2009,320,2009-11-16,1,1,7.00,13.8,2.5,,
