YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless), AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg
2005-01-01,1:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,3,0.058,1,0.058,1,0.278,2,0.16,0
2005-01-01,2:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,3,0.058,1,0.058,1,0.261,2,0.16,0
2005-01-01,3:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,3,0.058,1,0.058,1,0.261,2,0.16,0
2005-01-01,4:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,3,0.058,1,0.058,1,0.261,2,0.16,0
2005-01-01,5:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,3,0.058,1,0.058,1,0.261,2,0.16,0
2005-01-01,6:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,3,0.058,1,0.058,1,0.261,2,0.16,0
2005-01-01,7:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,3,0.058,1,0.058,1,0.261,2,0.16,0
2005-01-01,8:00,88.9,125.0,8,413,2,1,9,24,1,21,2,1,9,1,10,0,16,1,10,2,10,38,16,1,10,-9900,99,-9900,99,-9900,99,0.8,3,0.058,1,0.065,1,0.261,2,0.16,0
2005-01-01,9:00,84.0,132.2,149,1415,71,0,9,176,0,21,53,0,9,59,24,82,27,51,24,67,10,384,16,27,10,-9900,99,-9900,99,-9900,99,0.8,3,0.058,1,0.065,1,0.261,2,0.16,0
2005-01-01,10:00,77.1,144.3,316,1415,36,0,9,0,0,21,36,0,9,44,10,24,16,39,10,182,10,634,16,41,10,-9900,99,-9900,99,-9900,99,0.9,3,0.058,1,0.065,1,0.261,2,0.16,0
2005-01-01,11:00,72.1,157.7,435,1415,283,0,9,489,0,21,133,0,9,241,10,123,16,203,10,278,10,742,16,50,10,-9900,99,-9900,99,-9900,99,0.9,3,0.058,1,0.065,1,0.261,2,0.16,0
