YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless), AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg
2006-01-01,1:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,51,0.058,1,0.058,1,0.272,2,0.16,0
2006-01-01,2:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,51,0.058,1,0.058,1,0.273,51,0.16,0
2006-01-01,3:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,3,0.058,1,0.058,1,0.274,51,0.16,0
2006-01-01,4:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,51,0.058,1,0.058,1,0.274,51,0.16,0
2006-01-01,5:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,51,0.058,1,0.058,1,0.275,51,0.16,0
2006-01-01,6:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,3,0.058,1,0.058,1,0.276,51,0.16,0
2006-01-01,7:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,51,0.058,1,0.058,1,0.277,51,0.16,0
2006-01-01,8:00,88.9,125.0,8,413,2,1,9,35,1,21,1,1,9,0,25,0,28,0,25,3,10,104,16,1,10,-9900,99,-9900,99,-9900,99,0.8,51,0.058,1,0.025,1,0.277,51,0.16,0
2006-01-01,9:00,84.0,132.3,149,1415,81,0,9,258,0,21,54,0,9,20,25,0,28,20,25,75,10,544,16,18,10,-9900,99,-9900,99,-9900,99,0.8,3,0.058,1,0.025,1,0.278,51,0.16,0
2006-01-01,10:00,77.1,144.4,315,1415,123,0,9,143,0,21,91,0,9,46,24,0,27,46,24,195,10,756,16,27,10,-9900,99,-9900,99,-9900,99,0.8,51,0.058,1,0.025,1,0.279,51,0.16,0
2006-01-01,11:00,72.1,157.7,435,1415,136,0,9,32,0,21,126,0,9,79,24,0,27,79,24,293,10,844,16,33,10,-9900,99,-9900,99,-9900,99,0.8,51,0.058,1,0.025,1,0.280,51,0.16,0
2006-01-01,12:00,69.4,172.0,499,1415,210,0,9,163,0,21,153,0,9,91,25,0,28,91,25,346,10,879,16,36,10,-9900,99,-9900,99,-9900,99,0.8,3,0.058,1,0.025,1,0.280,51,0.16,0
2006-01-01,13:00,69.2,186.7,501,1415,315,0,9,516,0,21,132,0,9,92,24,0,27,92,24,348,10,880,16,36,10,-9900,99,-9900,99,-9900,99,0.8,51,0.058,1,0.025,1,0.281,51,0.16,0
2006-01-01,14:00,71.7,201.1,443,1415,317,0,9,746,0,21,83,0,9,79,24,27,27,70,24,299,10,848,16,33,10,-9900,99,-9900,99,-9900,99,0.8,51,0.058,1,0.025,1,0.282,51,0.16,0
2006-01-01,15:00,76.6,214.5,328,1415,223,0,9,734,0,21,53,0,9,129,24,381,27,41,24,205,10,765,16,28,10,-9900,99,-9900,99,-9900,99,0.9,3,0.058,1,0.025,1,0.283,51,0.16,0
2006-01-01,16:00,83.3,226.7,165,1415,97,0,9,524,0,21,36,0,9,27,24,0,27,27,24,86,10,570,16,19,10,-9900,99,-9900,99,-9900,99,0.8,51,0.058,1,0.025,1,0.283,51,0.16,0
2006-01-01,17:00,88.5,234.5,13,531,4,1,9,92,1,21,2,1,9,1,24,0,27,1,24,5,10,132,16,2,10,-9900,99,-9900,99,-9900,99,0.8,51,0.058,1,0.025,1,0.284,51,0.16,0
2006-01-01,18:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,3,0.058,1,0.025,1,0.285,51,0.16,0
2006-01-01,19:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,51,0.058,1,0.025,1,0.286,51,0.16,0
2006-01-01,20:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,51,0.058,1,0.025,1,0.286,51,0.16,0
2006-01-01,21:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,3,0.058,1,0.025,1,0.287,51,0.16,0
