YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless), AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg
2009-01-01,1:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.4,51,0.058,1,0.058,1,0.375,2,0.16,0
2009-01-01,2:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.4,51,0.058,1,0.058,1,0.376,51,0.16,0
2009-01-01,3:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,3,0.058,1,0.058,1,0.376,51,0.16,0
2009-01-01,4:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,51,0.058,1,0.058,1,0.377,51,0.16,0
2009-01-01,5:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,51,0.058,1,0.058,1,0.377,51,0.16,0
2009-01-01,6:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,3,0.058,1,0.058,1,0.378,51,0.16,0
2009-01-01,7:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,51,0.058,1,0.058,1,0.379,51,0.16,0
2009-01-01,8:00,88.9,125.0,8,413,2,1,9,59,1,21,1,1,9,1,24,0,27,1,24,2,10,72,16,1,10,-9900,99,-9900,99,-9900,99,0.6,51,0.058,1,0.038,1,0.379,51,0.16,0
2009-01-01,9:00,84.0,132.2,149,1415,81,0,9,438,0,21,35,0,9,38,24,95,27,28,24,71,10,479,16,21,10,-9900,99,-9900,99,-9900,99,0.7,3,0.058,1,0.038,1,0.380,51,0.16,0
2009-01-01,10:00,77.1,144.3,316,1415,211,0,9,568,0,21,84,0,9,82,25,105,28,58,25,190,10,710,16,32,10,-9900,99,-9900,99,-9900,99,0.7,51,0.058,1,0.038,1,0.380,51,0.16,0
2009-01-01,11:00,72.1,157.7,435,1415,243,0,9,482,0,21,95,0,9,225,25,435,28,91,25,287,10,806,16,38,10,-9900,99,-9900,99,-9900,99,0.7,51,0.058,1,0.038,1,0.381,51,0.16,0
2009-01-01,12:00,69.3,172.0,499,1415,315,0,9,522,0,21,131,0,9,162,24,150,27,109,24,340,10,844,16,42,10,-9900,99,-9900,99,-9900,99,0.7,3,0.058,1,0.038,1,0.381,51,0.16,0
2009-01-01,13:00,69.2,186.7,502,1415,129,0,9,6,0,21,127,0,9,105,24,0,27,105,24,343,10,848,16,42,10,-9900,99,-9900,99,-9900,99,0.7,51,0.058,1,0.038,1,0.382,51,0.16,0
2009-01-01,14:00,71.7,201.1,444,1415,112,0,9,4,0,21,111,0,9,249,24,446,27,110,24,295,10,815,16,39,10,-9900,99,-9900,99,-9900,99,0.7,51,0.058,1,0.038,1,0.383,51,0.16,0
2009-01-01,15:00,76.5,214.5,329,1415,209,0,9,509,0,21,91,0,9,65,24,0,27,65,24,201,10,727,16,32,10,-9900,99,-9900,99,-9900,99,0.6,3,0.058,1,0.038,1,0.383,51,0.16,0
2009-01-01,16:00,83.3,226.7,166,1415,97,0,9,524,0,21,35,0,9,29,24,0,27,29,24,83,10,515,16,22,10,-9900,99,-9900,99,-9900,99,0.6,51,0.058,1,0.038,1,0.384,51,0.16,0
2009-01-01,17:00,88.6,234.6,14,554,4,1,9,93,1,21,1,1,9,1,25,0,28,1,25,4,10,99,16,2,10,-9900,99,-9900,99,-9900,99,0.6,51,0.058,1,0.038,1,0.384,51,0.16,0
2009-01-01,18:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,3,0.058,1,0.038,1,0.385,51,0.16,0
2009-01-01,19:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,51,0.058,1,0.038,1,0.386,51,0.16,0
2009-01-01,20:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,51,0.058,1,0.038,1,0.386,51,0.16,0
2009-01-01,21:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.4,3,0.058,1,0.038,1,0.387,51,0.16,0
2009-01-01,22:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.4,51,0.058,1,0.038,1,0.387,51,0.16,0
2009-01-01,23:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.4,51,0.058,1,0.038,1,0.388,51,0.16,0
2009-01-01,24:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.4,3,0.058,1,0.038,1,0.388,51,0.16,0
2009-01-02,1:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.4,51,0.058,1,0.038,1,0.389,2,0.16,0
2009-01-02,2:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.3,51,0.058,1,0.038,1,0.387,51,0.16,0
2009-01-02,3:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.3,3,0.058,1,0.038,1,0.385,51,0.16,0
2009-01-02,4:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.3,51,0.058,1,0.038,1,0.383,51,0.16,0
2009-01-02,5:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.3,51,0.058,1,0.038,1,0.381,51,0.16,0
2009-01-02,6:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.3,3,0.058,1,0.038,1,0.379,51,0.16,0
2009-01-02,7:00,99.0,-99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.3,51,0.058,1,0.038,1,0.378,51,0.16,0
2009-01-02,8:00,88.9,124.8,8,413,2,1,9,59,1,21,1,1,9,1,24,0,27,1,24,2,10,58,16,1,10,-9900,99,-9900,99,-9900,99,0.3,51,0.058,1,0.047,1,0.376,51,0.16,0
2009-01-02,9:00,83.9,132.1,149,1415,81,0,9,439,0,21,35,0,9,23,24,0,27,23,24,71,10,454,16,23,10,-9900,99,-9900,99,-9900,99,0.4,3,0.058,1,0.047,1,0.374,51,0.16,0
2009-01-02,10:00,77.1,144.2,316,1415,213,0,9,723,0,21,51,0,9,72,24,49,27,61,24,191,10,698,16,35,10,-9900,99,-9900,99,-9900,99,0.4,51,0.058,1,0.047,1,0.372,51,0.16,0
2009-01-02,11:00,72.0,157.5,437,1415,311,0,9,817,0,21,59,0,9,290,24,801,27,43,24,290,10,801,16,43,10,-9900,99,-9900,99,-9900,99,0.4,51,0.058,1,0.047,1,0.370,51,0.16,0
2009-01-02,12:00,69.3,171.8,501,1415,365,0,9,855,0,21,63,0,9,345,24,841,27,47,24,345,10,841,16,47,10,-9900,99,-9900,99,-9900,99,0.4,3,0.058,1,0.047,1,0.368,51,0.16,0
